scene,role,roi,condition,arm,n_rows,n_source,n_output_eval,n_reference,source_MSE_mm2,source_MAE_mm,source_p95_mm,improved_fraction,harmed_fraction,unchanged_band_fraction,benefit_sum_mm2,harm_sum_mm2,accepted_fraction,moved_fraction,move_RMS_mm,lost_source_fraction,E_sym_mm,accuracy_mm,completeness_mm,precision_1mm,recall_1mm,fscore_1mm,p95_mm,status
40,adaptation,scan40_roi1,minus1,A_all,44513,44504,21591,81439,0.6893687032588133,0.638300896570844,1.2683532884083755,0.2444274671939601,0.5611855114147043,0.19438702139133562,4210.4689569813845,23020.07384776108,1.0,0.9997079504863747,2.8224402480987476,0.006920726226856013,8.620447994210396,0.651242039187074,16.589653949233718,0.8839794358760594,0.3484694065496875,0.49988247595829416,1.3171030089475435,SCORED
40,adaptation,scan40_roi1,minus1,B_all,44513,44504,20887,81439,0.4932030091358247,0.5495701976330554,1.0856199623383156,0.2692566960273234,0.47973215890706455,0.25101114506561206,4376.630379144474,14456.077218674684,1.0,0.9995506930559612,2.349160929162442,0.008448678770447601,8.569234130963165,0.5569750224478098,16.581493239478522,0.9328769090822042,0.3592259236974914,0.5187103701958257,1.0971546569839472,SCORED
40,adaptation,scan40_roi1,minus1,post_A_keep,44513,44504,21735,81439,0.22035416013953463,0.3987037574850196,0.7807645671590839,0.16818712924680929,0.07134190185151897,0.7604709689016718,2979.3833584666463,915.9650222659619,0.2954193157055242,0.2953294543167165,0.8331153532608686,0.0006516268200611181,8.535228066446555,0.41611663481659467,16.654339498076514,0.9802622498274672,0.36995788258696694,0.537180179172137,0.7975214943834814,SCORED
40,adaptation,scan40_roi1,minus1,post_AB_keep,44513,44504,21540,81439,0.2475924181507633,0.4224241239199025,0.8233177055937008,0.1874662951644796,0.15182904907424052,0.6607046557612799,3229.8911244803753,2378.6842228114133,0.4336485970390672,0.4335362703030575,1.1865251582005283,0.0007864461621427287,8.532286719051724,0.446606235136437,16.617967202967012,0.9748375116063138,0.36790726801655227,0.5342039844025552,0.8338124919513674,SCORED
40,adaptation,scan40_roi1,minus1,random_A_keep,44513,44504,25554,81439,0.39317958728048436,0.4989940002716729,0.9801552907248502,0.0713643717418659,0.1658952004314219,0.7627404278267123,1229.6989600018273,6857.7034332819685,0.2954193157055242,0.2953519196639184,1.537964241658406,0.0021795793636527052,8.547392574530408,0.5250435340321381,16.569741615028676,0.9447444627064256,0.3712840285366962,0.5330713314877278,1.028004471583532,SCORED
40,adaptation,scan40_roi1,minus1,A_fit_reserved,44513,44504,22012,81439,0.3424085099249967,0.4517787004180807,0.9710529488358026,0.1703217688297681,0.13720115045838577,0.6924770807118461,3069.546809183763,6438.035255835284,,0.3554467234291106,1.4761371985353366,0.0003595182455509617,8.568771037394766,0.47763538581235926,16.659906688977173,0.9508449936398328,0.36152212085118923,0.5238648468187588,0.9935687508467351,SCORED
40,adaptation,scan40_roi1,plus1,identity,44513,44504,21869,81439,0.5094870837507022,0.6177379555332142,0.9836553053466632,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.002516627718856732,8.621408615864217,0.6238278880537721,16.618989343674663,0.9537701769628241,0.315978830781321,0.4746941064931049,0.9890595160919581,SCORED
40,adaptation,scan40_roi1,plus1,A_all,44513,44504,21487,81439,0.8615081015163513,0.6817298577195856,1.4631583629758824,0.402368326442567,0.3896503685062017,0.20798130505123136,9011.353428736838,24677.696803379284,1.0,0.9997079504863747,2.935578688462239,0.015436814668344418,8.666400705018443,0.6586635089680721,16.674137901068814,0.840508214269093,0.33654637213128846,0.48064039429789224,1.4273512975271394,SCORED
40,adaptation,scan40_roi1,plus1,B_all,44513,44504,20762,81439,0.6424784960231837,0.5993957339649241,1.2744443716121603,0.44056714003235664,0.31190454790580624,0.24752831206183715,9219.416468670552,15138.066280445068,1.0,0.999618089097567,2.350355248441851,0.007639762717957937,8.648907458627864,0.5976605673583688,16.70015434989736,0.8934592043155766,0.34877638477879147,0.5017043046652723,1.2807653597076516,SCORED
40,adaptation,scan40_roi1,plus1,post_A_keep,44513,44504,21837,81439,0.43234631218371017,0.543833810301906,0.9196753315339601,0.19742045658817184,0.034019413985259754,0.7685601294265684,4456.976890030353,1023.9039922129424,0.27097701794981244,0.2709545526026105,0.7914794762513513,0.0026289771705914075,8.595259271384606,0.5552387431092323,16.63527979965998,0.9622658790126849,0.3630815702550375,0.5272293036030796,0.927521304619888,SCORED
40,adaptation,scan40_roi1,plus1,post_AB_keep,44513,44504,21677,81439,0.4174815462656742,0.5337054115969366,0.9318285238729651,0.265234585655222,0.07210587812331476,0.6626595362214632,5993.133045869563,1898.518605635873,0.42681913148967715,0.4267742007952733,1.2672257013802133,0.0028087362933668886,8.588435087650108,0.5467107910316036,16.630159384268612,0.9606034045301471,0.3653654882795712,0.5293809437647816,0.9365495792617989,SCORED
40,adaptation,scan40_roi1,plus1,random_A_keep,44513,44504,25297,81439,0.5972703671615879,0.6329251415058644,1.1340940530049397,0.10900143807298221,0.10423782131943196,0.7867607406075858,2501.3139311370046,6408.021176055056,0.27097701794981244,0.2709320872554085,1.521035068717609,0.005707352148121517,8.588438987626981,0.6345279123693311,16.54235006288463,0.9139028343281812,0.36333943196748486,0.5199592050164876,1.1762505613880685,SCORED
40,adaptation,scan40_roi1,plus1,A_fit_reserved,44513,44504,22094,81439,0.5064131681365056,0.5724868194919258,1.0791399557327848,0.2015998561927018,0.07900413445982384,0.7193960093474744,4751.851641527516,4615.05010103331,,0.32255745512546896,1.4878847727701692,0.0033030738809994606,8.619161614466908,0.5830261262464776,16.65529710268734,0.9388521770616457,0.3592504819558197,0.5196555060598314,1.100548542929485,SCORED
40,adaptation,scan40_roi1,minus3,identity,44513,44504,21658,81439,1.342119546283337,0.8747032397877936,2.437140591176822,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0023818083767751215,9.151323115199881,0.8986115507765409,17.404034679623223,0.7237510388770892,0.24339689829197314,0.3642850307139379,2.4408493312030735,SCORED
40,adaptation,scan40_roi1,minus3,A_all,44513,44504,21421,81439,0.9257787670139977,0.707380681863113,1.5435710857982372,0.35237282042063633,0.45427377314398704,0.1933534064353766,46562.45706649312,28033.62702589046,1.0,0.9996854851391729,3.039409428677717,0.005123134999101204,8.70453936151738,0.7240742978779249,16.685004425156837,0.8289995798515476,0.33023489974091036,0.4723196177425256,1.625203097401514,SCORED
40,adaptation,scan40_roi1,minus3,B_all,44513,44504,20990,81439,0.5192980582207121,0.578420111808733,1.2589380177090888,0.4036491101923423,0.36102372820420636,0.23532716160345138,48898.245890563616,12279.398385824567,1.0,0.9994832970143553,2.6541096610328756,0.003325543771346396,8.603883677468978,0.5887594060865946,16.619007948851362,0.902334444973797,0.35103574454499686,0.5054398873832857,1.2779215653294498,SCORED
40,adaptation,scan40_roi1,minus3,post_A_keep,44513,44504,21697,81439,0.4254940761689003,0.5337426893927194,1.4613242458021403,0.20413895380190544,0.03842351249325903,0.7574375337048356,41895.42683875887,1101.9269167859798,0.27001100802012895,0.2699660773257251,1.4579882238861543,0.0023818083767751215,8.658578829818108,0.5516694835603219,16.765488176075895,0.9147347559570448,0.3455715320669458,0.5016340774536269,1.4875180802206447,SCORED
40,adaptation,scan40_roi1,minus3,post_AB_keep,44513,44504,21517,81439,0.4035791545358182,0.5274053146501877,1.3552995114285196,0.24204565881718498,0.09138504404098508,0.66656929714183,44299.09503205368,2530.2934377221213,0.393368229505987,0.3933232988115831,1.633564547109409,0.0023818083767751215,8.656191251453,0.5443931561195279,16.76798934678647,0.9203420551192081,0.3483711735163742,0.50542649755951,1.406923462798878,SCORED
40,adaptation,scan40_roi1,minus3,random_A_keep,44513,44504,25137,81439,1.2378779044965498,0.831310206229642,2.4166576676163305,0.09473305770267841,0.12324734855293906,0.7820195937443826,12453.676365571502,7814.506339492336,0.27001100802012895,0.2699660773257251,1.5805258362859582,0.0032356642099586556,8.752651293160032,0.861301707474106,16.644000878845958,0.7445200302343159,0.3441717113422316,0.47073514595278615,2.4333499093349715,SCORED
40,adaptation,scan40_roi1,minus3,A_fit_reserved,44513,44504,21759,81439,0.7068713274111293,0.592502457774396,1.5463471540064369,0.20431871292468093,0.07410569836419198,0.721575588711127,40517.370646728916,12246.283914040196,,0.30683171208411025,1.7891758379460543,0.0025390976092036673,8.635221989210459,0.627376502643294,16.643067475777624,0.8874029137368445,0.3362271147730203,0.4876783249431431,1.5881244038444047,SCORED
40,adaptation,scan40_roi1,plus3,identity,44513,44504,21637,81439,2.1098329745476794,1.2197374476169573,2.6434771679441775,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01831296063275211,8.973907510151742,1.2380915568535218,16.70972346344996,0.6889587281046355,0.22636574614128366,0.34076802475196327,2.6376575067021166,SCORED
40,adaptation,scan40_roi1,plus3,A_all,44513,44504,21000,81439,1.6171443781862522,0.8673894926961973,1.8364975669969112,0.569926298759662,0.301590868236563,0.12848283300377494,61253.78293242959,39327.16963996063,1.0,0.999595623750365,3.037821479647429,0.03321049793277009,8.68056089227017,0.77565657131833,16.58546521322201,0.7423333333333333,0.3043382163336976,0.4316930228276198,1.6954306845351135,SCORED
40,adaptation,scan40_roi1,plus3,B_all,44513,44504,20741,81439,0.9004987140525996,0.7283938847899418,1.5882176960890846,0.6375606687039367,0.222991191802984,0.13944813949307927,68506.7457087959,14686.533779722891,1.0,0.999618089097567,2.803418364642301,0.017886032716160346,8.68070317636193,0.7136676838307694,16.64773866889309,0.7919579576683863,0.32247449010916146,0.45832520238675517,1.5415895514714715,SCORED
