phase,case,seed,gap,sigma,method,status,shared_case_seconds,bias,retain,selected_family,identifiable,geometry_scored,surface_accuracy_mean_mm,surface_accuracy_rms_mm,surface_accuracy_p95_mm,reference_sample_coverage_1mm,reference_sample_coverage_2mm,reference_sample_distance_mean_mm,output_point_count_ratio,matched_point_rms_mm,matched_normal_mae_mm,within_source_layer_rms_mm,reported_model_k,model_k_note,layer_balanced_source_surface_mae_mm,worst_layer_source_surface_mae_mm,independent_surface_mae_mm,surface_mae_mm,balanced_source_mae_mm,worst_source_mae_mm,model_k,matched_rms_mm,k,fitted_normal_angle_deg,support,plane_vector_world,source_geometry_scope,single_false_split,source_group_gap_mm,source_group_gap_error_mm,source_group_gap_retention,fitted_vertical_gap_mm,fitted_gap_error_mm,fitted_perpendicular_gap_mm,source_gap_mm,source_gap_error_mm,counterfactual_source_gap_mm,counterfactual_source_gap_error_mm,fitted_source_plane_mae_mm,assignment_error,supported_assignment_error,counterfactual_geometry_mse_mm2,assignment_delta_mse_mm2,geometry_assignment_cross_mm2,total_mse_mm2,decomposition_error_mm2,supported_counterfactual_geometry_mse_mm2,supported_assignment_delta_mse_mm2,supported_geometry_assignment_cross_mm2,supported_total_mse_mm2,supported_decomposition_error_mm2
bridge,s9172111_g4_n0.5_b0_r1.0,9172111,4,0.5,rbf_only,OK,13.784209179000754,0,1.0,R,True,True,0.021092306060923063,0.051957658898463245,0.03928442994723182,1.0,1.0,0.021130270438258988,1.0,0.05196291296362848,0.021092306060923115,0.04865912304760154,2,self-report; not geometry-derived layer count or success,0.01947139953209082,0.025573635875929847,0.021092306060923063,0.021092306060923063,0.01947139953209082,0.025573635875929847,2,0.05196291296362848,2,0.028432403292855426,0.9895833333333334,"[0.000494331739978089, 4.3469292391463065e-05, 1.000000429268326]",V17 new-seed synthetic first returns; frozen upstream; not real geometry,,4.017136175066974,0.01713617506697407,1.0042840437667435,4.049853164520456,0.04985316452045563,4.0498526658758225,4.017136175066973,0.01713617506697318,4.017136175066973,0.01713617506697318,0.01694312344145588,0.0,0.0,0.0027001443236656293,0.0,0.0,0.0027001443236656293,0.0,0.000430468638915127,0.0,0.0,0.000430468638915127,0.0
bridge,s9172111_g4_n0.5_b4_r0.25,9172111,4,0.5,adaptive_bic,OK,8.087205361000088,4,0.25,L,True,True,0.19475442269638515,0.8526151141885657,0.16412666340277415,0.9658536585365853,0.9926829268292683,0.12624192863333372,1.0,0.8527040905730959,0.19475442269638515,0.8487208514085767,2,self-report; not geometry-derived layer count or success,0.1536300017883835,0.26311709641358255,0.19475442269638515,0.19475442269638515,0.1536300017883835,0.26311709641358255,2,0.8527040905730959,2,0.06165353045500771,0.9463414634146341,"[-0.00044504666868722034, 0.0009797128408838805, 1.000001730459511]",V17 new-seed synthetic first returns; frozen upstream; not real geometry,,4.110256779111216,0.11025677911121612,1.027564194777804,4.040362039294462,0.040362039294461916,4.0403597001293345,4.110256779111216,0.11025677911121612,4.110256779111216,0.11025677911121612,0.057820457536274406,0.0,0.0,0.7271042660800906,0.0,0.0,0.7271042660800906,0.0,0.00438899129268923,0.0,0.0,0.00438899129268923,0.0
bridge,s9172111_g4_n0.5_b4_r0.25,9172111,4,0.5,adaptive_cv,OK,8.087205361000088,4,0.25,R,True,True,0.19475412353799196,0.8526150904544857,0.16412653361286478,0.9658536585365853,0.9926829268292683,0.12624163982025835,1.0,0.8527040668408395,0.19475412353799196,0.8487208601480248,2,self-report; not geometry-derived layer count or success,0.15362977696103622,0.26311667369189234,0.19475412353799196,0.19475412353799196,0.15362977696103622,0.26311667369189234,2,0.8527040668408395,2,0.06165370816623756,0.9463414634146341,"[-0.0004450531202346208, 0.0009797133169002425, 1.00000173044285]",V17 new-seed synthetic first returns; frozen upstream; not real geometry,,4.1102565562012074,0.11025655620120745,1.0275641390503019,4.040361409762909,0.040361409762908806,4.04035907058466,4.110256556201208,0.11025655620120833,4.110256556201208,0.11025655620120833,0.05782014032876824,0.0,0.0,0.727104225606907,0.0,0.0,0.727104225606907,0.0,0.004388948524634366,0.0,0.0,0.004388948524634366,0.0
bridge,s9172111_g4_n0.5_b4_r0.25,9172111,4,0.5,constant_only,OK,8.087205361000088,4,0.25,C,True,True,0.19475438052262323,0.8526151139759149,0.16412738089327628,0.9658536585365853,0.9926829268292683,0.12624190914742597,1.0,0.8527040903548356,0.1947543805226232,0.8487208707447442,2,self-report; not geometry-derived layer count or success,0.1536300732604566,0.2631168653220691,0.19475438052262323,0.19475438052262323,0.1536300732604566,0.2631168653220691,2,0.8527040903548356,2,0.06165545739625699,0.9463414634146341,"[-0.0004451297131908712, 0.000979712052479455, 1.0000017302571058]",V17 new-seed synthetic first returns; frozen upstream; not real geometry,,4.110256278417835,0.11025627841783514,1.0275640696044588,4.040356635504834,0.040356635504833704,4.040354296196615,4.110256278417835,0.11025627841783514,4.110256278417835,0.11025627841783514,0.05782045052092241,0.0,0.0,0.7271042657078678,0.0,0.0,0.7271042657078678,0.0,0.004388990899360952,0.0,0.0,0.004388990899360952,0.0
bridge,s9172111_g4_n0.5_b4_r0.25,9172111,4,0.5,linear_only,OK,8.087205361000088,4,0.25,L,True,True,0.19475442269638515,0.8526151141885657,0.16412666340277415,0.9658536585365853,0.9926829268292683,0.12624192863333372,1.0,0.8527040905730959,0.19475442269638515,0.8487208514085767,2,self-report; not geometry-derived layer count or success,0.1536300017883835,0.26311709641358255,0.19475442269638515,0.19475442269638515,0.1536300017883835,0.26311709641358255,2,0.8527040905730959,2,0.06165353045500771,0.9463414634146341,"[-0.00044504666868722034, 0.0009797128408838805, 1.000001730459511]",V17 new-seed synthetic first returns; frozen upstream; not real geometry,,4.110256779111216,0.11025677911121612,1.027564194777804,4.040362039294462,0.040362039294461916,4.0403597001293345,4.110256779111216,0.11025677911121612,4.110256779111216,0.11025677911121612,0.057820457536274406,0.0,0.0,0.7271042660800906,0.0,0.0,0.7271042660800906,0.0,0.00438899129268923,0.0,0.0,0.00438899129268923,0.0
bridge,s9172111_g4_n0.5_b4_r0.25,9172111,4,0.5,old_constant64,OK,8.087205361000088,4,0.25,C,True,True,0.19475438052262345,0.8526151139759149,0.1641273808932769,0.9658536585365853,0.9926829268292683,0.12624190914742617,1.0,0.8527040903548356,0.1947543805226234,0.8487208707447442,2,self-report; not geometry-derived layer count or success,0.15363007326045683,0.2631168653220692,0.19475438052262345,0.19475438052262345,0.15363007326045683,0.2631168653220692,2,0.8527040903548356,2,0.06165545739625699,0.9463414634146341,"[-0.00044512971319093974, 0.000979712052479451, 1.0000017302571058]",V17 new-seed synthetic first returns; frozen upstream; not real geometry,,4.110256278417836,0.11025627841783603,1.027564069604459,4.040356635504828,0.040356635504828375,4.040354296196609,4.110256278417835,0.11025627841783514,4.110256278417835,0.11025627841783514,0.057820450520922634,0.0,0.0,0.7271042657078678,0.0,0.0,0.7271042657078678,0.0,0.004388990899360977,0.0,0.0,0.004388990899360977,0.0
bridge,s9172111_g4_n0.5_b4_r0.25,9172111,4,0.5,old_spatial36,OK,8.087205361000088,4,0.25,R,True,True,0.19475439156685576,0.8526151117469631,0.16412666474353407,0.9658536585365853,0.9926829268292683,0.1262418989266327,1.0,0.8527040881315565,0.19475439156685576,0.8487208527737377,2,self-report; not geometry-derived layer count or success,0.15362998115890447,0.2631170478294241,0.19475439156685576,0.19475439156685576,0.15362998115890447,0.2631170478294241,2,0.8527040881315565,2,0.06165358857683946,0.9463414634146341,"[-0.00044504905786302805, 0.0009797128697979062, 1.000001730453598]",V17 new-seed synthetic first returns; frozen upstream; not real geometry,,4.110256737533869,0.11025673753386922,1.0275641843834673,4.040361853850698,0.04036185385069757,4.040359514681267,4.110256737533869,0.11025673753386922,4.110256737533869,0.11025673753386922,0.05782042526172898,0.0,0.0,0.7271042619162694,2.0616934494060017e-31,-5.304105232550791e-18,0.7271042619162694,5.304105232550584e-18,0.004388986892775003,2.178593593444486e-31,-5.604853467386145e-18,0.004388986892774997,4.66678698532898e-19
bridge,s9172111_g4_n0.5_b4_r0.25,9172111,4,0.5,rbf_only,OK,8.087205361000088,4,0.25,R,True,True,0.19475412353799196,0.8526150904544857,0.16412653361286478,0.9658536585365853,0.9926829268292683,0.12624163982025835,1.0,0.8527040668408395,0.19475412353799196,0.8487208601480248,2,self-report; not geometry-derived layer count or success,0.15362977696103622,0.26311667369189234,0.19475412353799196,0.19475412353799196,0.15362977696103622,0.26311667369189234,2,0.8527040668408395,2,0.06165370816623756,0.9463414634146341,"[-0.0004450531202346208, 0.0009797133169002425, 1.00000173044285]",V17 new-seed synthetic first returns; frozen upstream; not real geometry,,4.1102565562012074,0.11025655620120745,1.0275641390503019,4.040361409762909,0.040361409762908806,4.04035907058466,4.110256556201208,0.11025655620120833,4.110256556201208,0.11025655620120833,0.05782014032876824,0.0,0.0,0.727104225606907,0.0,0.0,0.727104225606907,0.0,0.004388948524634366,0.0,0.0,0.004388948524634366,0.0
bridge,s9172111_g4_n0.5_b4_r1.0,9172111,4,0.5,adaptive_bic,OK,10.885040462999314,4,1.0,L,True,True,0.048742899785192445,0.4453656777866624,0.039366718595238256,0.99609375,0.9986979166666666,0.03036335942292871,1.0,0.5060212088913797,0.053951233118525815,0.505385723563279,2,self-report; not geometry-derived layer count or success,0.05182010213143945,0.05984318349458798,0.048742899785192445,0.048742899785192445,0.05182010213143945,0.05984318349458798,2,0.5060212088913797,2,0.02853555317410209,0.9895833333333334,"[0.0004959639556533718, 4.5422558260624184e-05, 1.0000004272267145]",V17 new-seed synthetic first returns; frozen upstream; not real geometry,,4.0435219717005015,0.04352197170050154,1.0108804929251254,4.0500408065277895,0.05004080652778953,4.050040304235257,4.043521971700501,0.04352197170050065,4.043521971700501,0.04352197170050065,0.016965473077342436,0.0,0.0,0.25605746384789335,0.0,0.0,0.25605746384789335,0.0,0.0004692840994132619,0.0,0.0,0.0004692840994132619,0.0
bridge,s9172111_g4_n0.5_b4_r1.0,9172111,4,0.5,adaptive_cv,OK,10.885040462999314,4,1.0,R,True,True,0.048742886042426554,0.44536567857028353,0.03936691660619953,0.99609375,0.9986979166666666,0.030363346600464247,1.0,0.5060212095811782,0.05395121937575992,0.5053857240487928,2,self-report; not geometry-derived layer count or success,0.05182009698879541,0.0598431459750146,0.048742886042426554,0.048742886042426554,0.05182009698879541,0.0598431459750146,2,0.5060212095811782,2,0.028535918638442997,0.9895833333333334,"[0.0004959707632951995, 4.541816202527062e-05, 1.0000004272154592]",V17 new-seed synthetic first returns; frozen upstream; not real geometry,,4.043522080270489,0.043522080270489205,1.0108805200676223,4.0500413500058565,0.05004135000585652,4.050040847700391,4.043522080270491,0.04352208027049098,4.043522080270491,0.04352208027049098,0.01696546095320954,0.0,0.0,0.2560574645459987,0.0,0.0,0.2560574645459987,0.0,0.00046928480486705217,0.0,0.0,0.00046928480486705217,0.0
bridge,s9172111_g4_n0.5_b4_r1.0,9172111,4,0.5,constant_only,OK,10.885040462999314,4,1.0,C,True,True,0.04874213331319977,0.4453655796949325,0.039357334361420235,0.99609375,0.9986979166666666,0.030362623046855376,1.0,0.5060211225538801,0.05395046664653313,0.5053856468340614,2,self-report; not geometry-derived layer count or success,0.05181897426039947,0.059843416184667285,0.04874213331319977,0.04874213331319977,0.05181897426039947,0.059843416184667285,2,0.5060211225538801,2,0.028519141447829636,0.9895833333333334,"[0.0004956742123584856, 4.5445521823928004e-05, 1.0000004276698988]",V17 new-seed synthetic first returns; frozen upstream; not real geometry,,4.043520507468548,0.043520507468548075,1.010880126867137,4.050021325546607,0.050021325546606654,4.050020823834092,4.043520507468549,0.04352050746854896,4.043520507468549,0.04352050746854896,0.016964644401689512,0.0,0.0,0.256057376470689,0.0,0.0,0.256057376470689,0.0,0.0004691958024488448,0.0,0.0,0.0004691958024488448,0.0
bridge,s9172111_g4_n0.5_b4_r1.0,9172111,4,0.5,linear_only,OK,10.885040462999314,4,1.0,L,True,True,0.048742899785192445,0.4453656777866624,0.039366718595238256,0.99609375,0.9986979166666666,0.03036335942292871,1.0,0.5060212088913797,0.053951233118525815,0.505385723563279,2,self-report; not geometry-derived layer count or success,0.05182010213143945,0.05984318349458798,0.048742899785192445,0.048742899785192445,0.05182010213143945,0.05984318349458798,2,0.5060212088913797,2,0.02853555317410209,0.9895833333333334,"[0.0004959639556533718, 4.5422558260624184e-05, 1.0000004272267145]",V17 new-seed synthetic first returns; frozen upstream; not real geometry,,4.0435219717005015,0.04352197170050154,1.0108804929251254,4.0500408065277895,0.05004080652778953,4.050040304235257,4.043521971700501,0.04352197170050065,4.043521971700501,0.04352197170050065,0.016965473077342436,0.0,0.0,0.25605746384789335,0.0,0.0,0.25605746384789335,0.0,0.0004692840994132619,0.0,0.0,0.0004692840994132619,0.0
bridge,s9172111_g4_n0.5_b4_r1.0,9172111,4,0.5,old_constant64,OK,10.885040462999314,4,1.0,C,True,True,0.04874213331319988,0.4453655796949325,0.039357334361420235,0.99609375,0.9986979166666666,0.03036262304685548,1.0,0.5060211225538801,0.05395046664653324,0.5053856468340614,2,self-report; not geometry-derived layer count or success,0.05181897426039958,0.05984341618466739,0.04874213331319988,0.04874213331319988,0.05181897426039958,0.05984341618466739,2,0.5060211225538801,2,0.028519141447829636,0.9895833333333334,"[0.000495674212358491, 4.5445521823928275e-05, 1.0000004276698988]",V17 new-seed synthetic first returns; frozen upstream; not real geometry,,4.043520507468548,0.043520507468548075,1.010880126867137,4.0500213255466075,0.05002132554660754,4.0500208238340925,4.043520507468548,0.043520507468548075,4.043520507468548,0.043520507468548075,0.016964644401689617,0.0,0.0,0.256057376470689,0.0,0.0,0.256057376470689,0.0,0.00046919580244885015,0.0,0.0,0.00046919580244885015,0.0
bridge,s9172111_g4_n0.5_b4_r1.0,9172111,4,0.5,old_spatial36,OK,10.885040462999314,4,1.0,R,True,True,0.048742905141857466,0.4453656782193673,0.03936674742211275,0.99609375,0.9986979166666666,0.030363364538405834,1.0,0.5060212092722262,0.05395123847519082,0.5053857238741707,2,self-report; not geometry-derived layer count or success,0.05182010833072141,0.05984318652166496,0.048742905141857466,0.048742905141857466,0.05182010833072141,0.05984318652166496,2,0.5060212092722262,2,0.02853560071257467,0.9895833333333334,"[0.0004959647605062303, 4.5422864144481706e-05, 1.0000004272255643]",V17 new-seed synthetic first returns; frozen upstream; not real geometry,,4.043521971088179,0.0435219710881789,1.0108804927720447,4.050040854887786,0.05004085488778642,4.050040352593575,4.043521971088178,0.04352197108817801,4.043521971088178,0.04352197108817801,0.016965478606216552,0.0,0.0,0.2560574642333261,1.9768595092166732e-31,-7.201097275015158e-19,0.2560574642333261,7.2010972750131815e-19,0.0004692844889032137,1.997668556682112e-31,-7.276898298962688e-19,0.00046928448890321304,7.71685264047664e-20
bridge,s9172111_g4_n0.5_b4_r1.0,9172111,4,0.5,rbf_only,OK,10.885040462999314,4,1.0,R,True,True,0.048742886042426554,0.44536567857028353,0.03936691660619953,0.99609375,0.9986979166666666,0.030363346600464247,1.0,0.5060212095811782,0.05395121937575992,0.5053857240487928,2,self-report; not geometry-derived layer count or success,0.05182009698879541,0.0598431459750146,0.048742886042426554,0.048742886042426554,0.05182009698879541,0.0598431459750146,2,0.5060212095811782,2,0.028535918638442997,0.9895833333333334,"[0.0004959707632951995, 4.541816202527062e-05, 1.0000004272154592]",V17 new-seed synthetic first returns; frozen upstream; not real geometry,,4.043522080270489,0.043522080270489205,1.0108805200676223,4.0500413500058565,0.05004135000585652,4.050040847700391,4.043522080270491,0.04352208027049098,4.043522080270491,0.04352208027049098,0.01696546095320954,0.0,0.0,0.2560574645459987,0.0,0.0,0.2560574645459987,0.0,0.00046928480486705217,0.0,0.0,0.00046928480486705217,0.0
bridge,s9172111_g4_n1.0_b0_r0.25,9172111,4,1.0,adaptive_bic,OK,6.725639795993629,0,0.25,L,True,True,0.09150879119219694,0.16235830361116754,0.22039983736636787,0.9926829268292683,0.9975609756097561,0.10263308827562263,1.0,0.256735417448293,0.10126488875317256,0.24402518341089965,2,self-report; not geometry-derived layer count or success,0.12873740078663343,0.20187850425234097,0.09150879119219694,0.09150879119219694,0.12873740078663343,0.20187850425234097,2,0.256735417448293,2,0.1528578924286559,0.9951219512195122,"[-0.0014886926965781491, 0.0022140443026674355, 1.0000432214261563]",V17 new-seed synthetic first returns; frozen upstream; not real geometry,,4.121911456058482,0.12191145605848241,1.0304778640146206,4.043615619495754,0.04361561949575421,4.043601229187997,4.1219114560584815,0.12191145605848153,4.153501484621268,0.1535014846212679,0.08366074757130801,0.00390625,0.003968253968253968,0.0264859649795649,0.039883513953469465,-0.00045640436068510477,0.06591307457234927,4.391018798566293e-18,0.010930412282528593,0.04007902137481,-0.00045864163696297296,0.05055079202037562,1.7889335846010823e-18
bridge,s9172111_g4_n1.0_b0_r0.25,9172111,4,1.0,adaptive_cv,OK,6.725639795993629,0,0.25,R,True,True,0.08939393749593734,0.16033797849843467,0.21737894174730749,0.9951219512195122,1.0,0.09078760739619378,1.0,0.16072883721903033,0.08939393749593735,0.13059577443250853,2,self-report; not geometry-derived layer count or success,0.11006357997543798,0.16509314761566696,0.08939393749593734,0.08939393749593734,0.11006357997543798,0.16509314761566696,2,0.16072883721903033,2,0.14862778494244347,0.9951219512195122,"[-0.001338438804155042, 0.0022222243428731588, 1.000044873289323]",V17 new-seed synthetic first returns; frozen upstream; not real geometry,,4.150628852574398,0.15062885257439795,1.0376572131435995,4.049620908344794,0.049620908344794046,4.049607283270569,4.150628852574398,0.15062885257439795,4.150628852574398,0.15062885257439795,0.081538525455276,0.0,0.0,0.025833759113781548,0.0,0.0,0.025833759113781548,0.0,0.010275009329167877,0.0,0.0,0.010275009329167877,0.0
bridge,s9172111_g4_n1.0_b0_r0.25,9172111,4,1.0,constant_only,OK,6.725639795993629,0,0.25,C,True,True,0.6712115204531224,0.8228204483293308,1.5815996914466153,0.7780487804878049,0.9878048780487805,0.6683484630910121,1.0,0.8445791390737261,0.680258336572622,0.8326947997700695,2,self-report; not geometry-derived layer count or success,0.7146281070534131,0.8061320414503246,0.6712115204531224,0.6712115204531224,0.7146281070534131,0.8061320414503246,2,0.8445791390737261,2,3.0014322348170284,0.9951219512195122,"[-0.052403994683770154, -0.00042807083377496965, 0.9994831074515672]",V17 new-seed synthetic first returns; frozen upstream; not real geometry,,3.7068791792576063,0.29312082074239365,0.9267197948144016,1.7470867148504918,2.252913285149508,1.744690107050413,3.7068791792576063,0.29312082074239365,4.891628435727719,0.8916284357277187,0.7548606101468595,0.3392619680851064,0.3421141506247889,0.8544403946573887,1.0114278105604635,-1.1525542830593363,0.7133139221585164,4.440892098500626e-16,0.842943442105832,1.0163857900239952,-1.158204058956686,0.7011251731731415,2.220446049250313e-16
bridge,s9172111_g4_n1.0_b0_r0.25,9172111,4,1.0,linear_only,OK,6.725639795993629,0,0.25,L,True,True,0.09150879119219694,0.16235830361116754,0.22039983736636787,0.9926829268292683,0.9975609756097561,0.10263308827562263,1.0,0.256735417448293,0.10126488875317256,0.24402518341089965,2,self-report; not geometry-derived layer count or success,0.12873740078663343,0.20187850425234097,0.09150879119219694,0.09150879119219694,0.12873740078663343,0.20187850425234097,2,0.256735417448293,2,0.1528578924286559,0.9951219512195122,"[-0.0014886926965781491, 0.0022140443026674355, 1.0000432214261563]",V17 new-seed synthetic first returns; frozen upstream; not real geometry,,4.121911456058482,0.12191145605848241,1.0304778640146206,4.043615619495754,0.04361561949575421,4.043601229187997,4.1219114560584815,0.12191145605848153,4.153501484621268,0.1535014846212679,0.08366074757130801,0.00390625,0.003968253968253968,0.0264859649795649,0.039883513953469465,-0.00045640436068510477,0.06591307457234927,4.391018798566293e-18,0.010930412282528593,0.04007902137481,-0.00045864163696297296,0.05055079202037562,1.7889335846010823e-18
