phase,case,seed,gap,sigma,method,status,shared_case_seconds,dependence,selected_family,surface_mae_mm,matched_rms_mm,balanced_source_mae_mm,worst_source_mae_mm,coverage_1mm,model_k,slope_error,slope_angle_deg,single_false_split,alpha,beta,assignment_error,fitted_gap_mm,fitted_perpendicular_gap_mm,source_gap_from_assignment_mm,source_gap_from_slope_mm,fitted_gap_error_mm,source_gap_mm,source_gap_error_mm,source_gap_relative_error,gap_identity_error_mm,balanced_midplane_crossing,counterfactual_source_gap_mm,counterfactual_geometry_mse_mm2,assignment_delta_mse_mm2,geometry_assignment_cross_mm2,total_mse_mm2,decomposition_error_mm2
confirmation,s9171171_g8_n1_l0.5,9171171,8.0,1.0,adaptive_cv,OK,11.661428234998311,0.5,R,0.05426984061518702,0.07113118585849397,0.054269840615187026,0.09941185054101719,1.0,2,0.017553773890383772,0.020115142342494768,,0.0,0.0,0.0,8.10639364857831,8.106393149005672,8.10639364857831,-0.009173797599513017,0.10639364857830991,8.097219850978796,0.09721985097879582,0.012152481372349477,1.7763568394002505e-15,0.0,8.097219850978798,0.005059645601635612,0.0,0.0,0.005059645601635612,0.0
confirmation,s9171171_g8_n1_l0.5,9171171,8.0,1.0,constant_only,OK,11.661428234998311,0.5,C,0.054270883200997065,0.0711325674153559,0.05427088320099707,0.09941384590730118,1.0,2,0.017554123771138883,0.020115543276257364,,0.0,0.0,0.0,8.106392859404707,8.106392359812201,8.106392859404707,-0.009172010693399695,0.106392859404707,8.097220848711306,0.09722084871130576,0.01215260608891322,1.7763568394002505e-15,0.0,8.097220848711306,0.005059842147100152,0.0,0.0,0.005059842147100152,0.0
confirmation,s9171171_g8_n1_l0.5,9171171,8.0,1.0,linear_only,OK,11.661428234998311,0.5,L,0.05427026730860374,0.07113167657736896,0.05427026730860372,0.09941251554032371,1.0,2,0.017554338948313875,0.02011578985110646,,0.0,0.0,0.0,8.106393334984949,8.106392835380166,8.106393334984949,-0.009173096099449132,0.10639333498494885,8.0972202388855,0.09722023888549991,0.012152529860687489,0.0,0.0,8.0972202388855,0.005059715412707421,0.0,0.0,0.005059715412707421,0.0
confirmation,s9171171_g8_n1_l0.5,9171171,8.0,1.0,old_constant64,OK,11.661428234998311,0.5,C,0.054270883200997065,0.0711325674153559,0.05427088320099707,0.09941384590730118,1.0,2,0.017554123771138883,0.020115543276257364,,0.0,0.0,0.0,8.106392859404707,8.106392359812201,8.106392859404707,-0.009172010693399695,0.106392859404707,8.097220848711306,0.09722084871130576,0.01215260608891322,1.7763568394002505e-15,0.0,8.097220848711306,0.005059842147100152,0.0,0.0,0.005059842147100152,0.0
confirmation,s9171171_g8_n1_l0.5,9171171,8.0,1.0,old_spatial36,OK,11.661428234998311,0.5,R,0.05426974074814183,0.07113093612344486,0.05426974074814182,0.09941142662237641,1.0,2,0.017554367395953688,0.02011582244969641,,0.0,0.0,0.0,8.106393546186755,8.10639304658034,8.106393546186755,-0.009173925661055907,0.10639354618675512,8.0972196205257,0.09721962052569921,0.012152452565712402,0.0,0.0,8.0972196205257,0.005059610073797592,0.0,0.0,0.005059610073797592,0.0
confirmation,s9171171_g8_n1_l0.5,9171171,8.0,1.0,rbf_only,OK,11.661428234998311,0.5,R,0.05426984061518702,0.07113118585849397,0.054269840615187026,0.09941185054101719,1.0,2,0.017553773890383772,0.020115142342494768,,0.0,0.0,0.0,8.10639364857831,8.106393149005672,8.10639364857831,-0.009173797599513017,0.10639364857830991,8.097219850978796,0.09721985097879582,0.012152481372349477,1.7763568394002505e-15,0.0,8.097219850978798,0.005059645601635612,0.0,0.0,0.005059645601635612,0.0
confirmation,s9171171_g8_n1_l1,9171171,8.0,1.0,adaptive_bic,OK,9.699941765000403,1.0,L,0.055160751073590274,0.06738712646509085,0.055160751073590274,0.08240932468545309,1.0,2,0.08805671319814612,0.10090545615845813,,0.0,0.0,0.0,8.16880833903831,8.16879567090474,8.16880833903831,-0.10559985006839998,0.1688083390383106,8.06320848896991,0.06320848896990938,0.007901061121238673,1.7763568394002505e-15,0.0,8.06320848896991,0.004541024813222151,0.0,0.0,0.004541024813222151,0.0
confirmation,s9171171_g8_n1_l1,9171171,8.0,1.0,adaptive_cv,OK,9.699941765000403,1.0,R,0.055160802897532474,0.06738718019691477,0.055160802897532474,0.08240937206541891,1.0,2,0.08805675110196323,0.10090549959289837,,0.0,0.0,0.0,8.168808311841296,8.168795643696862,8.168808311841296,-0.10559987122439404,0.1688083118412962,8.063208440616902,0.06320844061690245,0.007901055077112806,0.0,0.0,8.063208440616902,0.004541032054891466,0.0,0.0,0.004541032054891466,0.0
confirmation,s9171171_g8_n1_l1,9171171,8.0,1.0,constant_only,OK,9.699941765000403,1.0,C,0.0551602784690793,0.06738651184253588,0.05516027846907932,0.08240893123367012,1.0,2,0.08805445987046367,0.10090287404314531,,0.0,0.0,0.0,8.168805331846746,8.16879266436617,8.168805331846746,-0.1055970917627677,0.1688053318467464,8.063208240083979,0.06320824008397885,0.007901030010497356,0.0,0.0,8.063208240083979,0.0045409419783042325,0.0,0.0,0.0045409419783042325,0.0
confirmation,s9171171_g8_n1_l1,9171171,8.0,1.0,linear_only,OK,9.699941765000403,1.0,L,0.055160751073590274,0.06738712646509085,0.055160751073590274,0.08240932468545309,1.0,2,0.08805671319814612,0.10090545615845813,,0.0,0.0,0.0,8.16880833903831,8.16879567090474,8.16880833903831,-0.10559985006839998,0.1688083390383106,8.06320848896991,0.06320848896990938,0.007901061121238673,1.7763568394002505e-15,0.0,8.06320848896991,0.004541024813222151,0.0,0.0,0.004541024813222151,0.0
