phase,case,seed,gap,sigma,method,status,shared_case_seconds,dependence,selected_family,surface_mae_mm,matched_rms_mm,balanced_source_mae_mm,worst_source_mae_mm,coverage_1mm,model_k,slope_error,slope_angle_deg,single_false_split,alpha,beta,assignment_error,fitted_gap_mm,fitted_perpendicular_gap_mm,source_gap_from_assignment_mm,source_gap_from_slope_mm,fitted_gap_error_mm,source_gap_mm,source_gap_error_mm,source_gap_relative_error,gap_identity_error_mm,balanced_midplane_crossing,counterfactual_source_gap_mm,counterfactual_geometry_mse_mm2,assignment_delta_mse_mm2,geometry_assignment_cross_mm2,total_mse_mm2,decomposition_error_mm2
development,s9161111_g8_n1_l1,9161111,8.0,1.0,adaptive_cv,OK,7.476624122005887,1.0,R,0.01877040154095285,0.022712515811572458,0.018770401540952848,0.026874735186369614,1.0,2,0.02930691608690424,0.03358324820054109,,0.0,0.0,0.0,7.996855342491446,7.996853968799456,7.996855342491446,0.02998269167894847,0.003144657508554083,8.026838034170394,0.02683803417039421,0.003354754271299276,0.0,0.0,8.026838034170394,0.0005158583744909293,0.0,0.0,0.0005158583744909293,0.0
development,s9161111_g8_n1_l1,9161111,8.0,1.0,constant_only,OK,7.476624122005887,1.0,C,0.018771136034839347,0.022713616550338284,0.018771136034839347,0.026872606279546296,1.0,2,0.029323541806311495,0.03360229986506011,,0.0,0.0,0.0,7.996829535637833,7.996828160391259,7.996829535637833,0.030007070056415515,0.00317046436216728,8.026836605694248,0.02683660569424795,0.003354575711780994,0.0,0.0,8.026836605694248,0.0005159083767958012,0.0,0.0,0.0005159083767958012,0.0
development,s9161111_g8_n1_l1,9161111,8.0,1.0,linear_only,OK,7.476624122005887,1.0,L,0.018770257244711583,0.02271235620845922,0.018770257244711583,0.026874864278251424,1.0,2,0.029305996790735696,0.03358219476509139,,0.0,0.0,0.0,7.996856346928892,7.996854973322908,7.996856346928892,0.0299819961160625,0.003143653071107977,8.026838343044954,0.026838343044953916,0.0033547928806192395,0.0,0.0,8.026838343044956,0.0005158511245399361,0.0,0.0,0.0005158511245399361,0.0
development,s9161111_g8_n1_l1,9161111,8.0,1.0,old_constant64,OK,7.476624122005887,1.0,C,0.018771136034839226,0.02271361655033814,0.01877113603483923,0.026872606279546112,1.0,2,0.029323541806311238,0.03360229986505982,,0.0,0.0,0.0,7.996829535637833,7.996828160391259,7.996829535637833,0.030007070056415133,0.00317046436216728,8.026836605694246,0.026836605694246174,0.0033545757117807717,1.7763568394002505e-15,0.0,8.026836605694246,0.0005159083767957945,0.0,0.0,0.0005159083767957945,0.0
development,s9161111_g8_n1_l1,9161111,8.0,1.0,old_spatial36,OK,7.476624122005887,1.0,R,0.018770244032973296,0.02271234028177317,0.018770244032973296,0.026874866335905082,1.0,2,0.029305923698750055,0.0335821110078743,,0.0,0.0,0.0,7.9968563598951095,7.9968549862959755,7.9968563598951095,0.029981929771094692,0.003143640104890544,8.026838289666204,0.026838289666203607,0.003354786208275451,0.0,0.0,8.026838289666204,0.0005158504010750563,0.0,0.0,0.0005158504010750563,0.0
development,s9161111_g8_n1_l1,9161111,8.0,1.0,rbf_only,OK,7.476624122005887,1.0,R,0.01877040154095285,0.022712515811572458,0.018770401540952848,0.026874735186369614,1.0,2,0.02930691608690424,0.03358324820054109,,0.0,0.0,0.0,7.996855342491446,7.996853968799456,7.996855342491446,0.02998269167894847,0.003144657508554083,8.026838034170394,0.02683803417039421,0.003354754271299276,0.0,0.0,8.026838034170394,0.0005158583744909293,0.0,0.0,0.0005158583744909293,0.0
development,s9161111_g8_n2_l0,9161111,8.0,2.0,adaptive_bic,OK,6.5688824339958956,0.0,C,0.184305436887137,1.1178803679336913,0.33013877022047033,0.3675266064866077,0.984375,2,0.0884825511805905,0.10139342902064206,,0.020833333333333332,0.015625,0.018229166666666664,8.369804297273689,8.369791191593949,8.064655182268918,0.0007310556793858092,0.3698042972736886,8.065386237948305,0.06538623794830478,0.008173279743538098,0.0,0.018229166666666664,8.370535352953073,0.03711381404285453,1.2770191870380934,-0.06447648406938243,1.2496565170115657,9.71445146547012e-17
development,s9161111_g8_n2_l0,9161111,8.0,2.0,adaptive_cv,OK,6.5688824339958956,0.0,C,0.184305436887137,1.1178803679336913,0.33013877022047033,0.3675266064866077,0.984375,2,0.0884825511805905,0.10139342902064206,,0.020833333333333332,0.015625,0.018229166666666664,8.369804297273689,8.369791191593949,8.064655182268918,0.0007310556793858092,0.3698042972736886,8.065386237948305,0.06538623794830478,0.008173279743538098,0.0,0.018229166666666664,8.370535352953073,0.03711381404285453,1.2770191870380934,-0.06447648406938243,1.2496565170115657,9.71445146547012e-17
development,s9161111_g8_n2_l0,9161111,8.0,2.0,constant_only,OK,6.5688824339958956,0.0,C,0.184305436887137,1.1178803679336913,0.33013877022047033,0.3675266064866077,0.984375,2,0.0884825511805905,0.10139342902064206,,0.020833333333333332,0.015625,0.018229166666666664,8.369804297273689,8.369791191593949,8.064655182268918,0.0007310556793858092,0.3698042972736886,8.065386237948305,0.06538623794830478,0.008173279743538098,0.0,0.018229166666666664,8.370535352953073,0.03711381404285453,1.2770191870380934,-0.06447648406938243,1.2496565170115657,9.71445146547012e-17
development,s9161111_g8_n2_l0,9161111,8.0,2.0,linear_only,OK,6.5688824339958956,0.0,L,0.18395438198457936,0.9952560092579256,0.29853771531791273,0.3246998037785972,0.98828125,2,0.08972494971917779,0.1028171083539458,,0.015625,0.013020833333333334,0.014322916666666668,8.37268909397447,8.372675613028791,8.13284643763666,-0.003362749271019036,0.37268909397447025,8.129483688365642,0.12948368836564228,0.016185461045705285,1.7763568394002505e-15,0.014322916666666668,8.369326344703452,0.037098379989693224,1.0040639964947262,-0.050627852520407114,0.990534523964012,3.5388358909926865e-16
