status,n_output_raw,n_output_roi,n_output_eval,n_laser_eval,accuracy_mm,completeness_mm,accuracy_p95_mm,completeness_p95_mm,precision_1mm,recall_1mm,fscore_1mm,E_sym_mm,coverage_laser_points,voxel_mm,arm,roi_id,seconds,ply_sha256,kind,scene_id
SCORED,14196,13929,12710,95514,1.5156416691062664,17.87470770025653,7.086589322277831,53.97036795922368,0.5853658536585366,0.17575433967795298,0.27033992786023503,9.695174684681398,95514,0.8,restricted_single,scan24_gable_center,1.0329743969996343,b9be4c818fd28bf7092c9ad35b984e09a2f3fa89eed5853df6b7c6b18dc7b8c7,structure,24
SCORED,54212,53964,9487,95514,0.6787051196337827,2.3173104325972913,1.7940830836008512,4.9383119724063524,0.8108991251185833,0.198190841133237,0.31853013121993895,1.498007776115537,95514,0.8,restricted_point_move,scan24_gable_center,0.39724328000011155,159b6e504025f19405ec712da41fc5e07f5c48075fdca61f3d17732c09738666,structure,24
SCORED,33733,31647,28325,95514,4.360273639832874,8.738373829031183,19.9217107283368,34.82925325165856,0.3725684024713151,0.20799045166153654,0.2669519885992246,6.549323734432028,95514,0.8,v25_atlas,scan24_gable_center,0.7607177919999231,a7e7dfaf951bca64827476f051683fec65fdb538da503d5a27cd2ca9f9a32b70,structure,24
SCORED,28525,27378,25085,95514,2.9320149504311845,8.947531878863584,13.676971909843127,35.57559095637742,0.45513254933227026,0.2550620851393513,0.3269161759687054,5.939773414647385,95514,0.8,v25_wta_atlas,scan24_gable_center,0.6528419189999113,1e3077e9a7796f40b4ed61bebbf1d6b960ffbe81276c207184eaf40650093b14,structure,24
SCORED,9252,8662,7893,95514,2.332010377978462,8.347519418397127,13.483311691201358,31.456612759006312,0.5973647535791208,0.11525012040119773,0.19322178721553582,5.339764898187794,95514,0.8,v25_depth_cc,scan24_gable_center,0.4375101170007838,05302de7140472bbac17722242bb48faa41e4c6cde1c1f644fe0a832acb2fa60,structure,24
SCORED,54212,53662,33533,95514,0.38641814878752384,1.4958653991595916,0.9541358420067404,5.8375119900769565,0.9525243789699699,0.6697028707833407,0.7864598639732051,0.9411417739735577,95514,0.8,v25_gated_move,scan24_gable_center,0.4137523730023531,1bcbd1aabd77a305771d7b07145ae14f8d27dfd54dff5954de0c3400b446925f,structure,24
SCORED,42059,30347,24854,44150,0.44629062207171805,0.45865700647044827,1.0912503762735326,0.8566987421349374,0.9461656071457311,0.9713250283125707,0.9585802591724765,0.45247381427108313,44150,0.8,identity,scan24_turret_join,0.2453740690034465,5087ba53c12bea9282c93bb68525c58490ec809663ce226b6245ca7723c549db,structure,24
SCORED,14473,7384,7328,44150,8.21876900223752,3.283400823033932,22.381183789284467,6.8114195299888385,0.2033296943231441,0.08520951302378256,0.12009199301444061,5.751084912635726,44150,0.8,fusion_wta,scan24_turret_join,0.24859722799737938,ad59e14404f0333ecb19bf6b9741ff4c7d73cdcfdf35feab25570c074595b88a,structure,24
SCORED,7965,2804,2706,44150,16.01467888733656,36.36401949363426,26.36909836314011,66.37865518117385,0.025498891352549888,0.002446206115515289,0.004464149322559949,26.18934919048541,44150,0.8,restricted_single,scan24_turret_join,0.4733162709962926,3db3bb09b36e0f369c225df10e648cdbc7df89238a48e81439d846e0a7eddb61,structure,24
SCORED,42059,29614,2687,44150,1.017375797824704,2.8364103310497177,3.1988641526204433,5.54559219819525,0.6818012653516934,0.11075877689694225,0.19056089182313588,1.9268930644372109,44150,0.8,restricted_point_move,scan24_turret_join,0.21385163700324483,aa1e4eaa0b15fb4fb69a1d5ec001d5560b25231baffed3e2755ef65738e1d01c,structure,24
SCORED,26373,15374,14145,44150,8.19342417390456,7.282568599762499,22.25331603154347,18.72190172181144,0.17850830682219865,0.11146092865232163,0.13723319039687681,7.7379963868335295,44150,0.8,v25_atlas,scan24_turret_join,0.4051682549979887,4f4f510bc1903d5ac427d4534914bd6019ac2b6abf76c30cbaff8f4621c2b65d,structure,24
SCORED,20842,11603,10849,44150,9.549366839795999,8.730694430899272,23.05887283445809,18.37215197779932,0.10793621531938427,0.05166477916194791,0.06988052607284606,9.140030635347635,44150,0.8,v25_wta_atlas,scan24_turret_join,0.3614180419972399,2fcb251191433e82dd7f5ac7c36c32f279033f24637aa97141ceffbcadc8c1eb,structure,24
SCORED,4636,2688,2685,44150,6.777140158827175,11.844068302422173,20.51248453171336,30.274635308581203,0.2547486033519553,0.02958097395243488,0.05300687935188655,9.310604230624673,44150,0.8,v25_depth_cc,scan24_turret_join,0.22944344700226793,cb34e82a9229ad8a6ca96dc7588f5b410b147c8ce2bb689c066941b28be4565e,structure,24
