scene,patch,method,n,spacing_scene_units,status,model_layers,displacement_median_spacing,displacement_p95_spacing,displacement_max_spacing,edge_ratio_min,edge_ratio_max,moved_points,finite,seconds,incident_triangles,orientation_reversals,area_ratio_min,area_ratio_max
Courthouse,0,spatial_s2,1024,0.0013726279172432214,ok,2,1.4981021733050854,3.513219643645573,5.278652936234384,0.003500294191297093,13.258127384442055,1024,True,0.1329461689992968,2050,12,0.0015182692696689812,13.305295540372747
Courthouse,0,apss4,1024,0.0013726279172432214,ok,,0.1815776342373669,0.7285786151049624,1.6540435481803426,0.3844380642386062,1.1699469800777,1024,True,0.022129803000098036,2050,0,0.09097297826039838,3.638581914133456
Courthouse,1,identity,1024,0.0011649220159318562,ok,,0.0,0.0,0.0,1.0,1.0,0,True,0.0028814899997087196,1963,0,1.0,1.0
Courthouse,1,plane,1024,0.0011649220159318562,ok,1,5.438983698446596,16.46021213087233,25.384899591703572,0.0768412693486111,0.9999999634425436,1024,True,0.0028743660004693083,1963,7,0.0021651855355824664,16.597246940450553
Courthouse,1,spatial_s05,1024,0.0011649220159318562,ok,2,3.3186941814739677,8.82706357581964,15.465617285049124,0.07711949309789222,15.057191349866326,1024,True,0.1321682329999021,1963,54,0.0021913212526111143,18.255417483692728
Courthouse,1,spatial_s1,1024,0.0011649220159318562,ok,2,3.3211925929095063,8.833658645671504,15.452557638149347,0.07711818376956904,15.060054767200409,1024,True,0.12673760800043965,1963,54,0.002191417658753734,18.258550546462356
Courthouse,1,spatial_s2,1024,0.0011649220159318562,ok,2,3.3288289223434333,8.846400490298088,15.540800342288597,0.07712344417937479,18.386333897383963,1024,True,0.1273131600000852,1963,51,0.0021892834130461413,17.898782182974813
Courthouse,1,apss4,1024,0.0011649220159318562,ok,,0.25345922715299485,1.3264072573041958,3.269086514889333,0.11279197773915992,2.044595140128048,1024,True,0.013736873000198102,1963,3,0.09064001116365218,1.999782118073972
Courthouse,2,identity,1024,0.0012434123751775608,ok,,0.0,0.0,0.0,1.0,1.0,0,True,0.0028293639998082654,2180,0,1.0,1.0
Courthouse,2,plane,1024,0.0012434123751775608,ok,1,4.184748351723717,8.803080176953081,13.00552396622224,0.5601551994837419,0.9999999986631767,1024,True,0.0028191639994474826,2180,16,0.4986828829525902,42.32945567182836
Courthouse,2,spatial_s05,1024,0.0012434123751775608,ok,2,2.057929087104831,4.4183226070000465,6.39566755384057,0.5613102601484898,43.23440272807524,1024,True,0.12884343299992906,2180,15,0.4997291278274345,89.54502158042358
Courthouse,2,spatial_s1,1024,0.0012434123751775608,ok,2,2.0683024792492706,4.418943433992759,6.36080693010332,0.5613237968833249,87.57811674699848,1024,True,0.1284810289998859,2180,13,0.49974222811847496,89.57978902345039
Courthouse,2,spatial_s2,1024,0.0012434123751775608,ok,2,2.0940532844455717,4.4484211340156845,6.403896393065135,0.5612324923847893,9.5693770626335,1024,True,0.13239639200037345,2180,10,0.4996619270783931,22.430027428536558
Courthouse,2,apss4,1024,0.0012434123751775608,ok,,0.08358788179008736,0.27439169217923315,0.44576699592466495,0.9265785513009887,1.0227528159103199,1024,True,0.014125861999673361,2180,0,0.9167357017273841,2.0005344163205065
