case,phase,method,status,n_input,n_reference,accuracy_mm,p95_mm,completeness_mm,precision,recall,fscore,displacement_rms_mm
s37_confirm03,confirmation,multiscale_consensus,OK,738,5767,0.5040813777377123,2.099950642160788,0.5702127379524188,0.8319783197831978,0.8539968787931334,0.8428438199071631,0.05793388938334632
s37_confirm03,confirmation,multiscale_matched,OK,738,5767,0.5042828483174384,2.0937797823659374,0.5703927160989507,0.8319783197831978,0.8541702791746142,0.8429282616202218,0.05793388938334546
s37_confirm04,confirmation,identity,OK,921,2804,1.1156687639307608,2.5615703322225576,1.4132258423636992,0.509229098805646,0.49037089871611983,0.49962211175032956,0.0
s37_confirm04,confirmation,v18,OK,921,2804,1.1920635794295875,2.8340463567090057,1.6557444050020262,0.496199782844734,0.325962910128388,0.39345673697804556,1.0444081321917584
s37_confirm04,confirmation,apss2,OK,921,2804,1.1145631083241572,2.5647795459952327,1.441097536038745,0.509229098805646,0.4761055634807418,0.4921105819317766,0.11927485533155849
s37_confirm04,confirmation,rimls2,OK,921,2804,1.1131798313464503,2.5704485713871783,1.435520713278811,0.511400651465798,0.48002853067047074,0.4952182318823598,0.08832942593537055
s37_confirm04,confirmation,local_plane64,OK,921,2804,1.1047466234032124,2.5133961072396085,1.5233412763414058,0.504885993485342,0.4504279600570613,0.47610477636950194,0.36217180572313057
s37_confirm04,confirmation,quadratic64,OK,921,2804,1.1024674897972024,2.4971057527076663,1.4730625933401185,0.505971769815418,0.46469329529243936,0.48445482894627134,0.37285292683360693
s37_confirm04,confirmation,multiscale_full,OK,921,2804,1.0951760459301543,2.519506158960643,1.4875865429638688,0.507057546145494,0.4661198288159772,0.4857276436755312,0.3295251822973641
s37_confirm04,confirmation,multiscale_consensus,OK,921,2804,1.1020207517159852,2.568060773918635,1.474271984641653,0.504885993485342,0.46754636233951496,0.485499291002118,0.22208596040550496
s37_confirm04,confirmation,multiscale_matched,OK,921,2804,1.0999013240360416,2.5488542582450417,1.476365218492845,0.504885993485342,0.46754636233951496,0.485499291002118,0.22208596040550696
s37_confirm05,confirmation,identity,OK,666,3799,0.3878923629249495,0.5809430334508692,0.6213048400184017,1.0,0.9594630165833113,0.9793121977431488,0.0
s37_confirm05,confirmation,v18,OK,666,3799,0.3772218593400018,0.5231904635055025,0.6145456721795247,1.0,0.9642011055540932,0.981774323237738,0.10675580897651195
s37_confirm05,confirmation,apss2,OK,666,3799,0.3881049474112212,0.5904627354178714,0.6237635192755949,1.0,0.9573571992629639,0.9782140935987089,0.018330117660390624
s37_confirm05,confirmation,rimls2,OK,666,3799,0.3884463940237112,0.5920472632130656,0.6238585824835562,1.0,0.9563042906027902,0.9776641550053822,0.018545522736277444
s37_confirm05,confirmation,local_plane64,OK,666,3799,0.3845506496888414,0.5583380500877149,0.6219315872141389,1.0,0.962884969728876,0.9810915917929461,0.06245105711656661
s37_confirm05,confirmation,quadratic64,OK,666,3799,0.38779827483550605,0.5905987438188102,0.6245756710363378,1.0,0.9576204264280074,0.9783514858141723,0.03665637452397301
s37_confirm05,confirmation,multiscale_full,OK,666,3799,0.38735925284972955,0.5845246991142824,0.6243443722162366,1.0,0.9586733350881811,0.9789006853917485,0.03653132626183136
s37_confirm05,confirmation,multiscale_consensus,OK,666,3799,0.38733491022356853,0.584873425548238,0.6241284803794698,1.0,0.9586733350881811,0.9789006853917485,0.02969137183631103
s37_confirm05,confirmation,multiscale_matched,OK,666,3799,0.3874207965085012,0.5856947548131746,0.6242012542587594,1.0,0.959199789418268,0.9791750638183528,0.029691371836310942
s37_confirm06,confirmation,identity,OK,664,3064,0.20272213948150353,0.3583740153692952,0.37732247462259466,1.0,0.9944516971279374,0.9972181312387498,0.0
s37_confirm06,confirmation,v18,OK,664,3064,0.1969095110993218,0.3256202660534253,0.37140721229974233,1.0,0.993798955613577,0.9968898346701587,0.10809128291753327
s37_confirm06,confirmation,apss2,OK,664,3064,0.20198410893901134,0.3540995783958527,0.37804027303865856,1.0,0.9944516971279374,0.9972181312387498,0.02153486311168451
s37_confirm06,confirmation,rimls2,OK,664,3064,0.20260060209645855,0.3554525056906805,0.37860813709261154,1.0,0.9944516971279374,0.9972181312387498,0.02100363083386979
s37_confirm06,confirmation,local_plane64,OK,664,3064,0.19877594111169763,0.33398027654528706,0.3747993686228116,1.0,0.9944516971279374,0.9972181312387498,0.08672864951264633
s37_confirm06,confirmation,quadratic64,OK,664,3064,0.20193518235235888,0.3468122020104491,0.377557483344194,1.0,0.9941253263707572,0.9970540098199673,0.05450580623191883
s37_confirm06,confirmation,multiscale_full,OK,664,3064,0.20159984275169068,0.34890545205849427,0.3776739432329806,1.0,0.9941253263707572,0.9970540098199673,0.05271460646110369
s37_confirm06,confirmation,multiscale_consensus,OK,664,3064,0.20159180552643222,0.3480554421234605,0.37758891927730726,1.0,0.9941253263707572,0.9970540098199673,0.04103083443880706
s37_confirm06,confirmation,multiscale_matched,OK,664,3064,0.20141756097288757,0.3486591907274272,0.3775587667042908,1.0,0.9941253263707572,0.9970540098199673,0.0410308344388065
s37_confirm07,confirmation,identity,OK,712,5904,0.2636235729033767,1.0927796087517287,0.4495152009066261,0.9424157303370787,0.9332655826558266,0.9378183378856074,0.0
s37_confirm07,confirmation,v18,OK,712,5904,0.3403890264349666,1.0654842281720378,0.5498938294639838,0.9311797752808989,0.8958333333333334,0.9131646380525305,0.5629536593462924
s37_confirm07,confirmation,apss2,OK,712,5904,0.26249614385386627,1.0897514292023902,0.44900034939524147,0.9424157303370787,0.9327574525745257,0.937561718465353,0.015231587199987993
s37_confirm07,confirmation,rimls2,OK,712,5904,0.26301965750466394,1.0899325093393124,0.44817055795984284,0.9424157303370787,0.9344512195121951,0.9384165761687915,0.016003787921128915
s37_confirm07,confirmation,local_plane64,OK,712,5904,0.2594724868873244,1.10928968985899,0.47052942849448015,0.9382022471910112,0.9109078590785907,0.9243536093105782,0.14108201830663117
s37_confirm07,confirmation,quadratic64,OK,712,5904,0.25693723127525453,1.0846811317596061,0.44391722534702,0.9438202247191011,0.9332655826558266,0.9385132299057309,0.04879586371662228
s37_confirm07,confirmation,multiscale_full,OK,712,5904,0.25638009244671545,1.082522042100811,0.44393907974532004,0.9438202247191011,0.9329268292682927,0.9383419121673421,0.043315971221650165
s37_confirm07,confirmation,multiscale_consensus,OK,712,5904,0.2582170309923897,1.0835456826552696,0.4452312563167268,0.9424157303370787,0.9330962059620597,0.9377328135289839,0.032793081902502755
s37_confirm07,confirmation,multiscale_matched,OK,712,5904,0.25801276472363777,1.0837127675624532,0.44530646247916505,0.9424157303370787,0.9330962059620597,0.9377328135289839,0.03279308190250243
s37_confirm08,confirmation,identity,OK,817,2595,0.6253592389229097,1.53909131839092,0.5693370657690254,0.7833537331701347,0.9194605009633912,0.8459675770782585,0.0
s37_confirm08,confirmation,v18,OK,817,2595,0.6237384235522435,1.7699333451340058,0.7325251469345798,0.7894736842105263,0.7680154142581889,0.7785967288259193,0.7437807129621274
s37_confirm08,confirmation,apss2,OK,817,2595,0.6254675945531428,1.5409477610801077,0.5774799199963468,0.784577723378213,0.9109826589595376,0.8430684133089535,0.0385632822200936
s37_confirm08,confirmation,rimls2,OK,817,2595,0.6259201598297094,1.5397919191274778,0.5738391465284206,0.780905752753978,0.915606936416185,0.8429087839697598,0.03720044814694432
s37_confirm08,confirmation,local_plane64,OK,817,2595,0.6215424381039547,1.5161832664992474,0.6413665812935746,0.7833537331701347,0.8624277456647399,0.820991125303289,0.2290489124242783
s37_confirm08,confirmation,quadratic64,OK,817,2595,0.6312148653960827,1.5479756989288587,0.602833672131334,0.7784577723378213,0.8955684007707129,0.8329167051737778,0.09826623460320563
s37_confirm08,confirmation,multiscale_full,OK,817,2595,0.6332902965091828,1.550528196282489,0.6021090928510504,0.7760097919216646,0.8971098265895954,0.8321772121495058,0.09117918036880192
s37_confirm08,confirmation,multiscale_consensus,OK,817,2595,0.6292039342351092,1.5493597680432136,0.591666058775274,0.7821297429620563,0.9028901734104047,0.8381826854280944,0.06668322271304956
s37_confirm08,confirmation,multiscale_matched,OK,817,2595,0.6308078173471643,1.5445227158769055,0.594560499301261,0.7796817625458996,0.9021194605009634,0.8364437858073173,0.06668322271304904
