phase,kind,case,seed,gap,sigma,method,status,shared_case_seconds,bias,retain,selected_family,replaced_r,surface_mae_mm,balanced_source_mae_mm,matched_rms_mm,coverage_1mm,model_k,distance_to_fitted_surface_mm,source_gap_mm,source_gap_error_mm,fitted_gap_mm,fitted_gap_error_mm
bridge,bridge,s9182101_g0_n2.0_b0_r0.25,9182101,0,2.0,old_spatial36,OK,1.916780348001339,0,0.25,,False,0.2575321714372473,0.2575321714372473,0.31008792031252497,1.0,1,6.8236235294174626e-18,,,,
bridge,bridge,s9182101_g0_n2.0_b0_r0.25,9182101,0,2.0,retained_half,OK,1.9167839210058446,0,0.25,S,False,0.2575321714372473,0.2575321714372473,0.31008792031252497,1.0,1,0.0,,,,
bridge,bridge,s9182101_g0_n2.0_b0_r0.25,9182101,0,2.0,retained_map,OK,1.9167826470002183,0,0.25,S,False,0.2575321714372473,0.2575321714372473,0.31008792031252497,1.0,1,0.0,,,,
bridge,bridge,s9182101_g0_n2.0_b0_r0.25,9182101,0,2.0,retained_mean,OK,1.9167848889992456,0,0.25,S,False,0.2575321714372473,0.2575321714372473,0.31008792031252497,1.0,1,0.0,,,,
bridge,bridge,s9182101_g0_n2.0_b0_r0.25,9182101,0,2.0,v17_map,OK,1.9167814110041945,0,0.25,,False,0.2575321714372473,0.2575321714372473,0.31008792031252497,1.0,1,6.8236235294174626e-18,,,,
bridge,bridge,s9182101_g0_n2.0_b0_r1.0,9182101,0,2.0,identity,OK,3.7703480290001608,0,1.0,,False,1.5628573610601257,1.5628573610601257,1.9469062552566487,0.4205729166666667,,,,,,
bridge,bridge,s9182101_g0_n2.0_b0_r1.0,9182101,0,2.0,old_spatial36,OK,3.770353839994641,0,1.0,,False,0.06432505007279711,0.06432505007279711,0.08471003157990886,1.0,1,2.8685137819372505e-17,,,,
bridge,bridge,s9182101_g0_n2.0_b0_r1.0,9182101,0,2.0,retained_half,OK,3.7703572049940703,0,1.0,S,False,0.06432505007279708,0.06432505007279708,0.08471003157990886,1.0,1,0.0,,,,
bridge,bridge,s9182101_g0_n2.0_b0_r1.0,9182101,0,2.0,retained_map,OK,3.7703561629969045,0,1.0,S,False,0.06432505007279708,0.06432505007279708,0.08471003157990886,1.0,1,0.0,,,,
bridge,bridge,s9182101_g0_n2.0_b0_r1.0,9182101,0,2.0,retained_mean,OK,3.7703582269969047,0,1.0,S,False,0.06432505007279708,0.06432505007279708,0.08471003157990886,1.0,1,0.0,,,,
bridge,bridge,s9182101_g0_n2.0_b0_r1.0,9182101,0,2.0,v17_map,OK,3.7703551419981522,0,1.0,,False,0.06432505007279708,0.06432505007279708,0.08471003157990885,1.0,1,2.8685137819372505e-17,,,,
bridge,bridge,s9182101_g0_n2.0_b4_r0.25,9182101,0,2.0,identity,OK,1.154390063995379,4,0.25,,False,3.7122271307962778,3.7122271307962778,4.446373260869853,0.17708333333333334,,,,,,
bridge,bridge,s9182101_g0_n2.0_b4_r0.25,9182101,0,2.0,old_spatial36,OK,1.1543947039972409,4,0.25,,False,0.32846130946808844,0.32846130946808844,0.37673606387789343,1.0,1,7.171467959906682e-18,,,,
bridge,bridge,s9182101_g0_n2.0_b4_r0.25,9182101,0,2.0,retained_half,OK,1.1543969039994408,4,0.25,S,False,0.32846130946808844,0.32846130946808844,0.37673606387789343,1.0,1,0.0,,,,
bridge,bridge,s9182101_g0_n2.0_b4_r0.25,9182101,0,2.0,retained_map,OK,1.1543961969946395,4,0.25,S,False,0.32846130946808844,0.32846130946808844,0.37673606387789343,1.0,1,0.0,,,,
bridge,bridge,s9182101_g0_n2.0_b4_r0.25,9182101,0,2.0,retained_mean,OK,1.1543975859967759,4,0.25,S,False,0.32846130946808844,0.32846130946808844,0.37673606387789343,1.0,1,0.0,,,,
bridge,bridge,s9182101_g0_n2.0_b4_r0.25,9182101,0,2.0,v17_map,OK,1.1543955199958873,4,0.25,,False,0.32846130946808844,0.32846130946808844,0.37673606387789343,1.0,1,7.171467959906682e-18,,,,
bridge,bridge,s9182101_g0_n2.0_b4_r1.0,9182101,0,2.0,identity,OK,3.773405437001202,4,1.0,,False,3.6883098815492943,3.6883098815492943,4.430747573243304,0.18359375,,,,,,
bridge,bridge,s9182101_g0_n2.0_b4_r1.0,9182101,0,2.0,old_spatial36,OK,3.7734100540037616,4,1.0,,False,0.06438124492821284,0.06438124492821284,0.10819012133875258,1.0,1,2.972868906641257e-17,,,,
bridge,bridge,s9182101_g0_n2.0_b4_r1.0,9182101,0,2.0,retained_half,OK,3.773412909999024,4,1.0,S,False,0.06438124492821282,0.06438124492821282,0.10819012133875257,1.0,1,0.0,,,,
bridge,bridge,s9182101_g0_n2.0_b4_r1.0,9182101,0,2.0,retained_map,OK,3.7734120189998066,4,1.0,S,False,0.06438124492821282,0.06438124492821282,0.10819012133875257,1.0,1,0.0,,,,
bridge,bridge,s9182101_g0_n2.0_b4_r1.0,9182101,0,2.0,retained_mean,OK,3.7734138009982416,4,1.0,S,False,0.06438124492821282,0.06438124492821282,0.10819012133875257,1.0,1,0.0,,,,
bridge,bridge,s9182101_g0_n2.0_b4_r1.0,9182101,0,2.0,v17_map,OK,3.7734111649988336,4,1.0,,False,0.06438124492821282,0.06438124492821282,0.10819012133875257,1.0,1,2.972868906641257e-17,,,,
bridge,bridge,s9182101_g2_n0.5_b0_r0.25,9182101,2,0.5,identity,OK,1.8031488479973632,0,0.25,,True,0.3837319219487313,0.3833123005414624,0.48274410224045666,0.9719626168224299,,,2.024268327096834,0.024268327096833797,,
bridge,bridge,s9182101_g2_n0.5_b0_r0.25,9182101,2,0.5,old_spatial36,OK,1.8031528950014035,0,0.25,,True,0.05728439306013385,0.0689434280973292,0.10899605721806634,0.9953271028037384,2,0.0,2.048447252387569,0.04844725238756897,2.07788840236596,0.07788840236595984
bridge,bridge,s9182101_g2_n0.5_b0_r0.25,9182101,2,0.5,retained_half,OK,1.8031552969987388,0,0.25,L,True,0.05697547789535848,0.0676256267688742,0.10889747675065832,0.9953271028037384,2,0.0019941542136198065,2.043237127424339,0.04323712742433905,2.0692031513587037,0.0692031513587037
bridge,bridge,s9182101_g2_n0.5_b0_r0.25,9182101,2,0.5,retained_map,OK,1.8031544650002616,0,0.25,L,True,0.05594925634820986,0.06736214817128816,0.10804384667525638,0.9953271028037384,2,0.0,2.047424443692015,0.04742444369201504,2.0692031513587037,0.0692031513587037
bridge,bridge,s9182101_g2_n0.5_b0_r0.25,9182101,2,0.5,retained_mean,OK,1.8031565109995427,0,0.25,L,True,0.05852528980422777,0.06889854984761545,0.11151391702985089,0.9953271028037384,2,0.0039883084272396155,2.039049811156663,0.03904981115666306,2.0692031513587037,0.0692031513587037
