phase,kind,case,seed,gap,sigma,method,status,shared_case_seconds,dependence,selected_family,replaced_r,surface_mae_mm,balanced_source_mae_mm,matched_rms_mm,coverage_1mm,model_k,distance_to_fitted_surface_mm,source_gap_mm,source_gap_error_mm,fitted_gap_mm,fitted_gap_error_mm,bias,retain
development,statistical,s9171141_g2_n2_l1,9171141,2.0,2.0,identity,OK,0.04401128699828405,1.0,,False,1.0308944736129004,1.4865935964013524,1.8673391824654915,0.4296875,,,1.8602937724087385,0.1397062275912615,,,,
development,statistical,s9171141_g2_n2_l1,9171141,2.0,2.0,old_spatial36,OK,0.04401509599847486,1.0,,False,0.41207634847362895,0.4181461567260338,0.5136065368350664,0.9674479166666666,1,7.647739685395269e-17,1.355979338568555,0.644020661431445,0.0,2.0,,
development,statistical,s9171141_g2_n2_l1,9171141,2.0,2.0,retained_half,OK,0.044017305997840595,1.0,S,False,0.41207634847362895,0.41814615672603384,0.5136065368350664,0.9674479166666666,1,0.0,1.355979338568555,0.644020661431445,0.0,2.0,,
development,statistical,s9171141_g2_n2_l1,9171141,2.0,2.0,retained_map,OK,0.04401671300001908,1.0,S,False,0.41207634847362895,0.41814615672603384,0.5136065368350664,0.9674479166666666,1,0.0,1.355979338568555,0.644020661431445,0.0,2.0,,
development,statistical,s9171141_g2_n2_l1,9171141,2.0,2.0,retained_mean,OK,0.04401799300103448,1.0,S,False,0.41207634847362895,0.41814615672603384,0.5136065368350664,0.9674479166666666,1,0.0,1.355979338568555,0.644020661431445,0.0,2.0,,
development,statistical,s9171141_g2_n2_l1,9171141,2.0,2.0,v17_map,OK,0.04401593299553497,1.0,,False,0.41207634847362895,0.4181461567260338,0.5136065368350664,0.9674479166666666,1,7.647739685395269e-17,1.355979338568555,0.644020661431445,0.0,2.0,,
development,statistical,s9171141_g8_n1_l0,9171141,8.0,1.0,identity,OK,0.052419671999814454,0.0,,True,0.7432967982006761,0.743296798200676,0.9336695912327457,0.7486979166666666,,,7.956224866554616,0.04377513344538375,,,,
development,statistical,s9171141_g8_n1_l0,9171141,8.0,1.0,old_spatial36,OK,0.052423054999962915,0.0,,True,0.054997503759216214,0.054997503759216214,0.06738075753031075,1.0,2,0.0,7.956224175370965,0.0437758246290354,7.95142506855777,0.04857493144223035,,
development,statistical,s9171141_g8_n1_l0,9171141,8.0,1.0,retained_half,OK,0.0524251370006823,0.0,C,True,0.05499771957961048,0.054997719579610485,0.06738106755632045,1.0,2,6.086390433243929e-07,7.956222856046008,0.04377714395399224,7.951424966030262,0.048575033969737724,,
development,statistical,s9171141_g8_n1_l0,9171141,8.0,1.0,retained_map,OK,0.0524246100030723,0.0,C,True,0.054997578785273116,0.054997578785273116,0.06738084925075122,1.0,2,0.0,7.956224073325584,0.04377592667441643,7.951424966030262,0.048575033969737724,,
