phase,kind,case,seed,gap,sigma,method,status,shared_case_seconds,dependence,selected_family,replaced_r,surface_mae_mm,balanced_source_mae_mm,matched_rms_mm,coverage_1mm,model_k,distance_to_fitted_surface_mm,source_gap_mm,source_gap_error_mm,fitted_gap_mm,fitted_gap_error_mm
confirmation,statistical,s9181151_g8_n2_l0,9181151,8.0,2.0,retained_half,OK,1.8342547499996726,0.0,C,True,0.18191643898296217,0.31693552977115413,1.0820979317171395,0.9661458333333334,2,0.08731637341069569,7.824917610194969,0.17508238980503066,8.267658658794252,0.267658658794252
confirmation,statistical,s9181151_g8_n2_l0,9181151,8.0,2.0,retained_map,OK,1.8342541149977478,0.0,C,True,0.13880426353870481,0.3158394905516329,1.2174183199059136,0.9791666666666666,2,0.0,7.905566576797333,0.09443342320266712,8.267658658794252,0.267658658794252
confirmation,statistical,s9181151_g8_n2_l0,9181151,8.0,2.0,retained_mean,OK,1.8342552210015128,0.0,C,True,0.25690223964493714,0.3452115022829754,1.018891835293642,0.9479166666666666,2,0.17463274682139143,7.744268643592603,0.25573135640739686,8.267658658794252,0.267658658794252
confirmation,statistical,s9181151_g8_n2_l0,9181151,8.0,2.0,v17_map,OK,1.834253519999038,0.0,,True,0.13880426353870481,0.3158394905516329,1.2174183199059136,0.9791666666666666,2,0.0,7.905566576797333,0.09443342320266712,8.267658658794252,0.267658658794252
confirmation,statistical,s9181151_g8_n2_l0.5,9181151,8.0,2.0,identity,OK,3.043305405000865,0.5,,True,1.6089998735032103,1.6419903343932756,2.057868579017198,0.4036458333333333,,,8.144564113015226,0.14456411301522643,,
confirmation,statistical,s9181151_g8_n2_l0.5,9181151,8.0,2.0,old_spatial36,OK,3.043310446002579,0.5,,True,0.10668366545845272,0.26085158751809967,1.1235326070680547,0.9830729166666666,2,0.0,7.83266689639713,0.16733310360286957,8.075711421844899,0.07571142184489865
confirmation,statistical,s9181151_g8_n2_l0.5,9181151,8.0,2.0,retained_half,OK,3.0433130780002102,0.5,L,True,0.1595466038249311,0.2610249249164847,0.952044228786933,0.97265625,2,0.08930937551916794,7.758278255927046,0.24172174407295444,8.082427898004926,0.08242789800492645
confirmation,statistical,s9181151_g8_n2_l0.5,9181151,8.0,2.0,retained_map,OK,3.0433123120019445,0.5,L,True,0.095994052928097,0.23045243180394726,1.0497756562881209,0.9869791666666666,2,0.0,7.868070687686802,0.13192931231319793,8.082427898004926,0.08242789800492645
confirmation,statistical,s9181151_g8_n2_l0.5,9181151,8.0,2.0,retained_mean,OK,3.0433138580046943,0.5,L,True,0.24259016988772833,0.3097963719813235,0.9424914102147922,0.9466145833333334,2,0.17861875103833588,7.648485824167287,0.3515141758327127,8.082427898004926,0.08242789800492645
confirmation,statistical,s9181151_g8_n2_l0.5,9181151,8.0,2.0,v17_map,OK,3.0433114740008023,0.5,,True,0.095994052928097,0.23045243180394726,1.0497756562881209,0.9869791666666666,2,0.0,7.868070687686802,0.13192931231319793,8.082427898004926,0.08242789800492645
confirmation,statistical,s9181151_g8_n2_l1,9181151,8.0,2.0,identity,OK,2.4121650040033273,1.0,,True,1.6021770395981374,1.6419903343932751,2.057868579017198,0.4114583333333333,,,8.01741133452359,0.017411334523590227,,
confirmation,statistical,s9181151_g8_n2_l1,9181151,8.0,2.0,old_spatial36,OK,2.4121687410006416,1.0,,True,0.06631610134743902,0.06631610134743902,0.07994230481283321,1.0,2,0.0,8.015634376864007,0.015634376864007038,7.84407899829599,0.15592100170400958
confirmation,statistical,s9181151_g8_n2_l1,9181151,8.0,2.0,retained_half,OK,2.4121706240039202,1.0,R,True,0.0751689305217941,0.0751689305217941,0.11779999640695292,0.9973958333333334,2,0.009080923402453624,7.997472444859887,0.002527555140113158,7.84407899829599,0.15592100170400958
confirmation,statistical,s9181151_g8_n2_l1,9181151,8.0,2.0,retained_map,OK,2.4121700399991823,1.0,R,True,0.06631610134743902,0.06631610134743902,0.07994230481283321,1.0,2,0.0,8.015634376864007,0.015634376864007038,7.84407899829599,0.15592100170400958
confirmation,statistical,s9181151_g8_n2_l1,9181151,8.0,2.0,retained_mean,OK,2.4121711629995843,1.0,R,True,0.08416926250980694,0.08416926250980693,0.18555627530648058,0.99609375,2,0.018161846804907237,7.979310512855766,0.020689487144234242,7.84407899829599,0.15592100170400958
confirmation,statistical,s9181151_g8_n2_l1,9181151,8.0,2.0,v17_map,OK,2.412169546005316,1.0,,True,0.06631548791174693,0.06631548791174693,0.07994142457028927,1.0,2,0.0,8.015634967136394,0.01563496713639445,7.844085126130961,0.15591487386903857
confirmation,statistical,s9181161_g0_n1_l0,9181161,0.0,1.0,identity,OK,2.2919804269986344,0.0,,False,0.8029479173173163,0.8029479173173163,0.9971507501317571,0.72265625,,,,,,
confirmation,statistical,s9181161_g0_n1_l0,9181161,0.0,1.0,old_spatial36,OK,2.291985233001469,0.0,,False,0.05543453058444662,0.05543453058444662,0.06774061962763124,1.0,1,4.087489825706134e-18,,,,
confirmation,statistical,s9181161_g0_n1_l0,9181161,0.0,1.0,retained_half,OK,2.291987311000412,0.0,S,False,0.05543453058444662,0.05543453058444662,0.06774061962763124,1.0,1,0.0,,,,
confirmation,statistical,s9181161_g0_n1_l0,9181161,0.0,1.0,retained_map,OK,2.291986818003352,0.0,S,False,0.05543453058444662,0.05543453058444662,0.06774061962763124,1.0,1,0.0,,,,
confirmation,statistical,s9181161_g0_n1_l0,9181161,0.0,1.0,retained_mean,OK,2.2919877930035,0.0,S,False,0.05543453058444662,0.05543453058444662,0.06774061962763124,1.0,1,0.0,,,,
