case,domain,method,output,output_sha256,prepare_seconds,decode_seconds,association_change_fraction,fallback_components,gap_mm,amplitude_mm,surface_accuracy_mean_mm,surface_accuracy_p95_mm,matched_point_rms_mm
dual_g8_s9134101_b4_a2,synthetic,atlas_tied_256,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/dual_g8_s9134101_b4_a2__atlas_tied_256.npz,fd11c9cc9e121730bbd02a58cca39ac4d17d74933cfc6d34d81e9df738a56e51,0.03909693899993272,0.001173696000023483,0.0,2,8,2,0.20001105527587684,0.4729866993815224,0.5385440192518055
dual_g8_s9134101_b4_a2,synthetic,atlas_relax_96,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/dual_g8_s9134101_b4_a2__atlas_relax_96.npz,e9401f82481e7a1166c18ebb0715d24ea9161791c27c6ab84c4f7e7ad609316b,0.03909693899993272,0.015431948000014017,0.0,11,8,2,0.19400922755185435,0.5051262997266797,0.5434985945134135
dual_g8_s9134101_b4_a2,synthetic,atlas_relax_256,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/dual_g8_s9134101_b4_a2__atlas_relax_256.npz,2460e07e9af74c16a4e871f143a41757e41e8708beb6105deb38e55f3681f4c0,0.03909693899993272,0.00882827400005226,0.0,2,8,2,0.18362479408446286,0.40682211082772474,0.5322655436873245
dual_g8_s9134101_b4_a2,synthetic,bias_only,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/dual_g8_s9134101_b4_a2__bias_only.npz,fc5eabbc69cd033da8b658a2e0045a3c3a967b268589951c47c5bca29cf270eb,,,,,8,2,0.834491634427748,1.988861189256419,1.1043704200969027
dual_g8_s9134101_b4_a2,synthetic,old_original,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/dual_g8_s9134101_b4_a2__old_original.npz,443f48bdf24ef7eb6f9ffd789be93f211d0bbfc07ff17f50c2af73d0b7042506,,,0.0,,8,2,0.28737972057165556,1.1221033944066354,0.6816807514005585
dual_g8_s9134101_b4_a2,synthetic,whole_spatial,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/dual_g8_s9134101_b4_a2__whole_spatial.npz,09caf7c125a05c29edad149fb8c7bca6d36a218cec961e0d9fc823275b6e57aa,,,,,8,2,0.449521737067899,1.1392003591115432,0.7216803846932244
dual_g8_s9134101_b4_a2,synthetic,local_spatial_96,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/dual_g8_s9134101_b4_a2__local_spatial_96.npz,02bc91e30e682335c0ba364adb7abb88dbb58ff4d56d158b91b65922025e9429,,,,,8,2,0.390001605444033,1.7158759427753476,0.8019110131188184
dual_g8_s9134101_b4_a2,synthetic,apss_2,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/dual_g8_s9134101_b4_a2__apss_2.npz,c3b4dd4c77e2c416795cea90cb2d1f52f3cc53c42146c0498418e37f0ab45070,,,,,8,2,0.4580423712568256,1.121160978306059,0.7339312236858513
dual_g8_s9134101_b4_a2,synthetic,rimls_2,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/dual_g8_s9134101_b4_a2__rimls_2.npz,b6cb63d9e87b1e7b468415ad790af1677a04b8061652189f7312756f5a527d8a,,,,,8,2,0.4741351730937271,1.128390524331502,0.7481757501250298
dual_g8_s9134101_b4_a8,synthetic,global_hard,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/dual_g8_s9134101_b4_a8__global_hard.npz,b5fc08c0fd094157b4fe59a53da63d09e23b6883257d707847cbf9055c165403,0.03815300300004765,0.00014689800002543052,0.0,0,8,8,1.1033444359780662,2.6782611450526,1.442303975430852
dual_g8_s9134101_b4_a8,synthetic,atlas_hard_96,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/dual_g8_s9134101_b4_a8__atlas_hard_96.npz,a82187af2b610ebc07f9d7ac27069be288aa25086e8a7ccedf9180630140488b,0.03815300300004765,0.0020773180000333014,0.0,5,8,8,0.38227826175882207,1.1427043925716915,0.709174606342165
dual_g8_s9134101_b4_a8,synthetic,atlas_hard_256,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/dual_g8_s9134101_b4_a8__atlas_hard_256.npz,97c236ad2dd6ab959b9775b9b879e44343ce01c761caf419523316d4c6698bb0,0.03815300300004765,0.0012767780000331186,0.0,1,8,8,0.7783883044906769,2.2578255239335703,1.12849079293674
dual_g8_s9134101_b4_a8,synthetic,atlas_tied_96,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/dual_g8_s9134101_b4_a8__atlas_tied_96.npz,e24adc16ddbf96902b21c572bef9aa144b17b5b2a263413bc7868a24153ba57c,0.03815300300004765,0.001747833999957038,0.0,5,8,8,0.8592270237097162,2.422049945188989,1.1990032033301052
dual_g8_s9134101_b4_a8,synthetic,atlas_tied_256,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/dual_g8_s9134101_b4_a8__atlas_tied_256.npz,056e0a88b41c2d7e422662e2fef457a3921cc09dcd69c4ff14cb2b46e59acf04,0.03815300300004765,0.0011396900000590904,0.0,1,8,8,0.9618627628107573,2.581892417012156,1.352512881246834
dual_g8_s9134101_b4_a8,synthetic,atlas_relax_96,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/dual_g8_s9134101_b4_a8__atlas_relax_96.npz,c1759a1e4e9f6e34797688a0204afbaa37e67235ac825a7dd7288c9012dc43f0,0.03815300300004765,0.015939322999997785,0.0234375,5,8,8,0.3157990407780074,0.8604298394036184,0.639420326077841
dual_g8_s9134101_b4_a8,synthetic,atlas_relax_256,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/dual_g8_s9134101_b4_a8__atlas_relax_256.npz,00eef7d4dfb58493fb7214344f8260dda2c29dc959e0dd042657dc877e502522,0.03815300300004765,0.008726111999976638,0.07552083333333333,1,8,8,0.520868774759723,1.4531000532989262,0.8271096646561302
dual_g8_s9134101_b4_a8,synthetic,bias_only,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/dual_g8_s9134101_b4_a8__bias_only.npz,1a7d4846ac8fa3e4f419572b5be18ff577465d74432fd1bc0a44fd891c9ab4f5,,,,,8,8,0.8256259502474826,1.9873929707375653,1.1010163091903615
