phase,case,seed,gap,sigma,supplied_sigma,ratio,dependence,sigma_factor,kind,method,status,seconds,surface_mae_mm,balanced_source_mae_mm,vertical_w1_mm,representation,model_k,n,risk_rms_mm,matched_rms_mm,coverage_1mm,single_false_split,posterior_brier,upper_mass,upper_mass_error,source_gap_error_mm,cross_midplane_mass,fitted_gap_error_mm,dual_missed,bias,retain
confirmation,s9191111_g2_n2_p0.8_l1,9191111,2.0,2.0,2.0,0.8,1.0,1.0,statistical,a_insample_gate_map,OK,3.2285699249914614,0.14943309792918777,0.3371259917698496,0.17195734951191835,points,2,768,0.4131270295664466,0.4131270295664466,0.96484375,,0.023303286801869993,0.8138020833333334,0.01432291666666674,0.11846998329815461,0.06820296966876771,0.17036413296178932,0,,
confirmation,s9191111_g8_n1_p0.2_l0,9191111,8.0,1.0,1.0,0.2,0.0,1.0,statistical,a_crossfit_gate_map,OK,2.828332435004995,0.05959361618147658,0.06908806757461108,0.0595936161815032,points,2,768,0.07316956527002333,0.07316956527002333,1.0,,2.005880018938804e-11,0.20052083333333334,0.0,0.10553473492558663,0.0,0.112045744415191,0,,
confirmation,s9191111_g8_n1_p0.2_l0,9191111,8.0,1.0,1.0,0.2,0.0,1.0,statistical,a_insample_gate_map,OK,2.8283384640089935,0.059593623882349456,0.06908807053764174,0.05959362388237609,points,2,768,0.07316957388463419,0.07316957388463419,1.0,,1.9907877047414463e-11,0.20052083333333334,0.0,0.10553473366576682,0.0,0.11204574368426279,0,,
confirmation,s9191111_g8_n1_p0.2_l1,9191111,8.0,1.0,1.0,0.2,1.0,1.0,statistical,a_crossfit_gate_map,OK,2.892891215000418,0.04918227171544378,0.07488506547710246,0.04918227171547144,points,2,768,0.0637006569649618,0.0637006569649618,1.0,,3.0328697408041863e-12,0.20052083333333334,0.0,0.14633523588316244,0.0,0.0902094808901932,0,,
confirmation,s9191111_g8_n1_p0.2_l1,9191111,8.0,1.0,1.0,0.2,1.0,1.0,statistical,a_insample_gate_map,OK,2.8928990339918528,0.04918219334194781,0.0748849262861282,0.04918219334197546,points,2,768,0.0637005328579622,0.0637005328579622,1.0,,1.7044805876323757e-12,0.20052083333333334,0.0,0.1463351015629737,0.0,0.09020973256440001,0,,
confirmation,s9191111_g8_n1_p0.5_l0,9191111,8.0,1.0,1.0,0.5,0.0,1.0,statistical,a_crossfit_gate_map,OK,2.832184574988787,0.04962226291533284,0.04962226291533284,0.04962226291539933,points,2,768,0.058004650586535055,0.058004650586535055,1.0,,1.2642225071866176e-10,0.5,0.0,0.013402794534492557,0.0,0.007276035725514163,0,,
confirmation,s9191111_g8_n1_p0.5_l0,9191111,8.0,1.0,1.0,0.5,0.0,1.0,statistical,a_insample_gate_map,OK,2.832189288994414,0.049622115690191204,0.049622115690191204,0.0496221156902577,points,2,768,0.05800448335162475,0.05800448335162475,1.0,,1.3449075325058988e-10,0.5,0.0,0.01340273888265564,0.0,0.007275988629187324,0,,
confirmation,s9191111_g8_n1_p0.5_l1,9191111,8.0,1.0,1.0,0.5,1.0,1.0,statistical,a_crossfit_gate_map,OK,2.8177771240007132,1.0578831950186587,1.0594148081684032,1.0587268122119222,points,2,768,1.3131913746532047,1.3131913746532047,0.53125,,0.4443659345957913,0.5026041666666666,0.0026041666666666297,0.5448049634049452,0.0026041666666666665,3.9790064404829923,0,,
confirmation,s9191111_g8_n1_p0.5_l1,9191111,8.0,1.0,1.0,0.5,1.0,1.0,statistical,a_insample_gate_map,OK,2.817782532001729,1.0505415555005821,1.0520850231857677,1.0513981313043441,points,2,768,1.3017385949488463,1.3017385949488463,0.53125,,0.4449178200985519,0.5026041666666666,0.0026041666666666297,0.5723131191446305,0.0026041666666666665,3.9774377551944777,0,,
confirmation,s9191111_g8_n1_p0.8_l0,9191111,8.0,1.0,1.0,0.8,0.0,1.0,statistical,a_crossfit_gate_map,OK,2.7916542349994415,0.04977855204953822,0.050248876062067446,0.049778552049553185,points,2,768,0.0582510473066894,0.0582510473066894,1.0,,3.8453284589750124e-11,0.7994791666666666,0.0,0.012695836654737391,0.0,0.016006450462339394,0,,
