case,seed,gap,sigma,bias,retain,phase,kind,supplied_sigma,sigma_factor,method,status,seconds,surface_mae_mm,balanced_source_mae_mm,vertical_w1_mm,representation,model_k,n,risk_rms_mm,matched_rms_mm,coverage_1mm,single_false_split,posterior_brier,upper_mass,upper_mass_error,source_gap_error_mm,cross_midplane_mass,fitted_gap_error_mm,dual_missed,ratio,dependence
s9182101_g2_n2.0_b4_r0.25,9182101,2,2.0,4,0.25,development,bridge,2.0,1.0,a_insample_gate_map,OK,0.0056811589893186465,0.4091290983008391,0.4288504873369081,0.40991759652044907,points,1,428,0.49707339479244134,0.49707339479244134,0.9883177570093458,,0.25934579439252337,0.24766355140186916,0.011682242990654207,0.507025218366461,0.02252252252252252,2.0,1,,
s9182101_g2_n2.0_b4_r1.0,9182101,2,2.0,4,1.0,development,bridge,2.0,1.0,a_crossfit_gate_map,OK,3.0222877049964154,0.3151249641644533,0.33699118015989366,0.3104401095906645,points,2,768,0.4796667239789367,0.4796667239789367,0.9361979166666666,,0.08427105567364428,0.6510416666666666,0.06380208333333326,0.5110729879856013,0.08803080431148447,0.8911987315698573,0,,
s9182101_g2_n2.0_b4_r1.0,9182101,2,2.0,4,1.0,development,bridge,2.0,1.0,a_insample_gate_map,OK,3.0222919219959294,0.16646116857151783,0.20894261336410186,0.13484726030593366,points,2,768,0.46762352532007495,0.46762352532007495,0.96875,,0.026914939359795897,0.59765625,0.01041666666666663,0.22427379467901565,0.04484951072625151,0.2705914862191454,0,,
s9182101_g4_n0.5_b0_r0.25,9182101,4,0.5,0,0.25,development,bridge,0.5,1.0,a_crossfit_gate_map,OK,2.4393351690087,0.08917018506147488,0.08592062869276793,0.08917018506148015,points,2,432,0.1421056639675391,0.1421056639675391,0.9953703703703703,,5.331013528098679e-12,0.2569444444444444,0.0,0.00480502894890078,0.0,0.09756976896599667,0,,
s9182101_g4_n0.5_b0_r0.25,9182101,4,0.5,0,0.25,development,bridge,0.5,1.0,a_insample_gate_map,OK,2.4393395690131,0.08917026082191006,0.0859207152128259,0.08917026082191533,points,2,432,0.14210572465685525,0.14210572465685525,0.9953703703703703,,9.905827916990955e-13,0.2569444444444444,0.0,0.0048045704942811795,0.0,0.09756703569338532,0,,
s9182101_g4_n0.5_b0_r1.0,9182101,4,0.5,0,1.0,development,bridge,0.5,1.0,a_crossfit_gate_map,OK,2.813246560996049,0.05346625631916865,0.05431405586560881,0.05346625631918281,points,2,768,0.08747638819748746,0.08747638819748746,0.9986979166666666,,1.693664519801444e-11,0.58203125,0.0,0.0568554108413859,0.0,0.12884467971624414,0,,
s9182101_g4_n0.5_b0_r1.0,9182101,4,0.5,0,1.0,development,bridge,0.5,1.0,a_insample_gate_map,OK,2.813251842002501,0.05346628737779141,0.054314070608715195,0.05346628737780556,points,2,768,0.08747640812837751,0.08747640812837751,0.9986979166666666,,8.242843251495675e-12,0.58203125,0.0,0.05685521504957869,0.0,0.12884407202839077,0,,
s9182101_g4_n0.5_b4_r0.25,9182101,4,0.5,4,0.25,development,bridge,0.5,1.0,a_crossfit_gate_map,OK,2.453122439997969,0.3034306964429148,0.267192506080701,0.2941698306554012,points,2,432,0.9331549603118079,0.9331549603118079,0.9606481481481481,,5.329032129852459e-12,0.2708333333333333,0.013888888888888895,0.026133684319455952,0.015407931295781763,0.09737034433601366,0,,
s9182101_g4_n0.5_b4_r0.25,9182101,4,0.5,4,0.25,development,bridge,0.5,1.0,a_insample_gate_map,OK,2.4531272819876904,0.30343094670052245,0.2671928616777692,0.29417008954037593,points,2,432,0.9331549952681787,0.9331549952681787,0.9606481481481481,,9.769817829510058e-13,0.2708333333333333,0.013888888888888895,0.026133217346038684,0.015407931295781763,0.09736758181735317,0,,
s9182101_g4_n0.5_b4_r1.0,9182101,4,0.5,4,1.0,development,bridge,0.5,1.0,a_crossfit_gate_map,OK,2.7777897079940885,0.079876125624318,0.0872165355824474,0.08924908565367907,points,2,768,0.42834394640367374,0.42834394640367374,0.9934895833333334,,1.841553199982885e-11,0.5794270833333334,0.0026041666666666297,0.031885882839120416,0.0022371364653243847,0.12878100964339412,0,,
s9182101_g4_n0.5_b4_r1.0,9182101,4,0.5,4,1.0,development,bridge,0.5,1.0,a_insample_gate_map,OK,2.7777951390016824,0.07987612951364194,0.08721652550767586,0.08924908969078926,points,2,768,0.42834394619290506,0.42834394619290506,0.9934895833333334,,8.206056607498166e-12,0.5794270833333334,0.0026041666666666297,0.03188567450557178,0.0022371364653243847,0.12878027997865482,0,,
s9182101_g4_n1.0_b0_r0.25,9182101,4,1.0,0,0.25,development,bridge,1.0,1.0,a_crossfit_gate_map,OK,2.4975273640011437,0.15320717386741614,0.16324433330878432,0.1573038316198011,points,2,432,0.2864497884332928,0.2864497884332928,0.9930555555555556,,0.0025041941671276207,0.25925925925925924,0.002314814814814825,0.0007286976760325636,0.001557632398753894,0.23042743668416543,0,,
s9182101_g4_n1.0_b0_r0.25,9182101,4,1.0,0,0.25,development,bridge,1.0,1.0,a_insample_gate_map,OK,2.497531978006009,0.15338039745744628,0.16335093021203922,0.1574865065001253,points,2,432,0.28671022484771036,0.28671022484771036,0.9930555555555556,,0.002413691254023617,0.25925925925925924,0.002314814814814825,0.0005914964125790512,0.001557632398753894,0.22425838497703632,0,,
s9182101_g4_n1.0_b0_r1.0,9182101,4,1.0,0,1.0,development,bridge,1.0,1.0,a_crossfit_gate_map,OK,2.9531981030013412,0.1403419411562574,0.14541029132124875,0.1387730254821687,points,2,768,0.32302271620966183,0.32302271620966183,0.98046875,,0.0027022715758207357,0.5807291666666666,0.0013020833333333703,0.17529964166110812,0.003794768864078279,0.24821577660972638,0,,
s9182101_g4_n1.0_b0_r1.0,9182101,4,1.0,0,1.0,development,bridge,1.0,1.0,a_insample_gate_map,OK,2.953203462995589,0.14018803257058934,0.14529168083362987,0.138617183151209,points,2,768,0.3230002725391096,0.3230002725391096,0.98046875,,0.0024688200420402563,0.5807291666666666,0.0013020833333333703,0.1757881462735229,0.003794768864078279,0.24636395153200175,0,,
s9182101_g4_n1.0_b4_r0.25,9182101,4,1.0,4,0.25,development,bridge,1.0,1.0,a_crossfit_gate_map,OK,2.5325971169950208,0.2046301817153605,0.2100308384989519,0.20146354586583498,points,2,432,0.321671789357162,0.321671789357162,0.9930555555555556,,0.002441988003087021,0.25925925925925924,0.002314814814814825,0.04285713843773564,0.001557632398753894,0.22887075036259397,0,,
s9182101_g4_n1.0_b4_r0.25,9182101,4,1.0,4,0.25,development,bridge,1.0,1.0,a_insample_gate_map,OK,2.532603133993689,0.20478347202699024,0.2100878203606561,0.20161091453643795,points,2,432,0.3220432336840653,0.3220432336840653,0.9930555555555556,,0.002404252928999782,0.25925925925925924,0.002314814814814825,0.043106095062126926,0.001557632398753894,0.22346179519549736,0,,
s9182101_g4_n1.0_b4_r1.0,9182101,4,1.0,4,1.0,development,bridge,1.0,1.0,a_crossfit_gate_map,OK,2.9112517540052067,0.2502768192851626,0.3259913277772569,0.31573407964310357,points,2,768,1.152486344668003,1.152486344668003,0.9505208333333334,,0.0026791714935862024,0.5533854166666666,0.02864583333333337,0.3062367606242917,0.03263710301281649,0.24885701817687167,0,,
s9182101_g4_n1.0_b4_r1.0,9182101,4,1.0,4,1.0,development,bridge,1.0,1.0,a_insample_gate_map,OK,2.9112562780064764,0.2501243422073889,0.3258494165273537,0.3155953580814902,points,2,768,1.1524789624316096,1.1524789624316096,0.9505208333333334,,0.0024910977979380505,0.5533854166666666,0.02864583333333337,0.30641124306206446,0.03263710301281649,0.24690829060530506,0,,
