phase,case,seed,gap,sigma,supplied_sigma,ratio,dependence,sigma_factor,kind,method,status,seconds,surface_mae_mm,balanced_source_mae_mm,vertical_w1_mm,representation,model_k,n,risk_rms_mm,matched_rms_mm,coverage_1mm,single_false_split,posterior_brier,weighted_reference_near_mass,upper_mass,upper_mass_error,source_gap_error_mm,cross_midplane_mass,fitted_gap_error_mm,dual_missed,bias,retain
confirmation,s9192111_g0_n1.0_b0_r1.0,9192111,0,1.0,1.0,,,1.0,bridge,b_identity,OK,0.02049307999550365,0.8168951674656992,0.8168951674656992,0.8168951674657006,points,0,768,1.0188341814465025,1.0188341814465025,0.71484375,,,,,,,,,,0,1.0
confirmation,s9192111_g0_n1.0_b0_r1.0,9192111,0,1.0,1.0,,,1.0,bridge,b_map,OK,0.020487196001340635,0.02540822469404498,0.02540822469404498,0.025408224694044867,points,1,768,0.02782697826272011,0.02782697826272011,1.0,0,0.0,,,,,,,,0,1.0
confirmation,s9192111_g0_n1.0_b0_r1.0,9192111,0,1.0,1.0,,,1.0,bridge,b_mean,OK,0.020490654002060182,0.02540822469404498,0.02540822469404498,0.025408224694044867,points,1,768,0.02782697826272011,0.02782697826272011,1.0,0,0.0,,,,,,,,0,1.0
confirmation,s9192111_g0_n1.0_b0_r1.0,9192111,0,1.0,1.0,,,1.0,bridge,b_posterior_draw,OK,0.020492595998803154,0.02540822469404498,0.02540822469404498,0.025408224694044867,points,1,768,0.02782697826272011,0.02782697826272011,1.0,0,0.0,,,,,,,,0,1.0
confirmation,s9192111_g0_n1.0_b0_r1.0,9192111,0,1.0,1.0,,,1.0,bridge,b_quota_map,OK,0.020492030002060346,0.02540822469404498,0.02540822469404498,0.025408224694044867,points,1,768,0.02782697826272011,0.02782697826272011,1.0,0,0.0,,,,,,,,0,1.0
confirmation,s9192111_g0_n1.0_b0_r1.0,9192111,0,1.0,1.0,,,1.0,bridge,b_weighted_measure,OK,0.02049140600138344,0.02540822469404498,0.02540822469404498,0.025408224694044867,weighted,1,768,0.02782697826272011,,,0,0.0,1.0000000000000007,,,,,,,0,1.0
confirmation,s9192111_g0_n1.0_b4_r0.25,9192111,0,1.0,1.0,,,1.0,bridge,b_identity,OK,0.006563885996001773,3.413831966423029,3.413831966423029,3.413831966423032,points,0,201,4.215440976714022,4.215440976714022,0.2736318407960199,,,,,,,,,,4,0.25
confirmation,s9192111_g0_n1.0_b4_r0.25,9192111,0,1.0,1.0,,,1.0,bridge,b_map,OK,0.006557847998919897,0.09119364657761844,0.09119364657761844,0.09119364657761855,points,1,201,0.11229062564107403,0.11229062564107403,1.0,0,0.0,,,,,,,,4,0.25
confirmation,s9192111_g0_n1.0_b4_r0.25,9192111,0,1.0,1.0,,,1.0,bridge,b_mean,OK,0.00656176199845504,0.09119364657761844,0.09119364657761844,0.09119364657761855,points,1,201,0.11229062564107403,0.11229062564107403,1.0,0,0.0,,,,,,,,4,0.25
confirmation,s9192111_g0_n1.0_b4_r0.25,9192111,0,1.0,1.0,,,1.0,bridge,b_posterior_draw,OK,0.006563428993104026,0.09119364657761844,0.09119364657761844,0.09119364657761855,points,1,201,0.11229062564107403,0.11229062564107403,1.0,0,0.0,,,,,,,,4,0.25
confirmation,s9192111_g0_n1.0_b4_r0.25,9192111,0,1.0,1.0,,,1.0,bridge,b_quota_map,OK,0.006562971000676043,0.09119364657761844,0.09119364657761844,0.09119364657761855,points,1,201,0.11229062564107403,0.11229062564107403,1.0,0,0.0,,,,,,,,4,0.25
confirmation,s9192111_g0_n1.0_b4_r0.25,9192111,0,1.0,1.0,,,1.0,bridge,b_weighted_measure,OK,0.006562458991538733,0.09119364657761844,0.09119364657761844,0.09119364657761855,weighted,1,201,0.11229062564107403,,,0,0.0,0.9999999999999996,,,,,,,4,0.25
confirmation,s9192111_g0_n1.0_b4_r1.0,9192111,0,1.0,1.0,,,1.0,bridge,b_identity,OK,0.02085078500385862,3.4237038491964875,3.4237038491964875,3.4237038491964946,points,0,768,4.221582142651263,4.221582142651263,0.2955729166666667,,,,,,,,,,4,1.0
confirmation,s9192111_g0_n1.0_b4_r1.0,9192111,0,1.0,1.0,,,1.0,bridge,b_map,OK,0.020845129998633638,0.02540822469404531,0.02540822469404531,0.02540822469404519,points,1,768,0.037095177324796905,0.037095177324796905,1.0,0,0.0,,,,,,,,4,1.0
confirmation,s9192111_g0_n1.0_b4_r1.0,9192111,0,1.0,1.0,,,1.0,bridge,b_mean,OK,0.02084863699565176,0.02540822469404531,0.02540822469404531,0.02540822469404519,points,1,768,0.037095177324796905,0.037095177324796905,1.0,0,0.0,,,,,,,,4,1.0
confirmation,s9192111_g0_n1.0_b4_r1.0,9192111,0,1.0,1.0,,,1.0,bridge,b_posterior_draw,OK,0.020850307002547197,0.02540822469404531,0.02540822469404531,0.02540822469404519,points,1,768,0.037095177324796905,0.037095177324796905,1.0,0,0.0,,,,,,,,4,1.0
confirmation,s9192111_g0_n1.0_b4_r1.0,9192111,0,1.0,1.0,,,1.0,bridge,b_quota_map,OK,0.020849838998401538,0.02540822469404531,0.02540822469404531,0.02540822469404519,points,1,768,0.037095177324796905,0.037095177324796905,1.0,0,0.0,,,,,,,,4,1.0
confirmation,s9192111_g0_n1.0_b4_r1.0,9192111,0,1.0,1.0,,,1.0,bridge,b_weighted_measure,OK,0.02084936799656134,0.02540822469404531,0.02540822469404531,0.02540822469404519,weighted,1,768,0.037095177324796905,,,0,0.0,1.0000000000000007,,,,,,,4,1.0
confirmation,s9192111_g0_n2.0_b0_r0.25,9192111,0,2.0,2.0,,,1.0,bridge,b_identity,OK,0.007050343003356829,1.6084501393628734,1.6084501393628734,1.6084501393628745,points,0,201,2.060117128783368,2.060117128783368,0.40298507462686567,,,,,,,,,,0,0.25
confirmation,s9192111_g0_n2.0_b0_r0.25,9192111,0,2.0,2.0,,,1.0,bridge,b_map,OK,0.0070435810048365965,0.1574318101152798,0.1574318101152798,0.1574318101152799,points,1,201,0.18334802089551416,0.18334802089551416,1.0,0,0.0,,,,,,,,0,0.25
confirmation,s9192111_g0_n2.0_b0_r0.25,9192111,0,2.0,2.0,,,1.0,bridge,b_mean,OK,0.007048183004371822,0.1574318101152798,0.1574318101152798,0.1574318101152799,points,1,201,0.18334802089551416,0.18334802089551416,1.0,0,0.0,,,,,,,,0,0.25
confirmation,s9192111_g0_n2.0_b0_r0.25,9192111,0,2.0,2.0,,,1.0,bridge,b_posterior_draw,OK,0.007049859006656334,0.1574318101152798,0.1574318101152798,0.1574318101152799,points,1,201,0.18334802089551416,0.18334802089551416,1.0,0,0.0,,,,,,,,0,0.25
confirmation,s9192111_g0_n2.0_b0_r0.25,9192111,0,2.0,2.0,,,1.0,bridge,b_quota_map,OK,0.007049400999676436,0.1574318101152798,0.1574318101152798,0.1574318101152799,points,1,201,0.18334802089551416,0.18334802089551416,1.0,0,0.0,,,,,,,,0,0.25
confirmation,s9192111_g0_n2.0_b0_r0.25,9192111,0,2.0,2.0,,,1.0,bridge,b_weighted_measure,OK,0.007048910003504716,0.1574318101152798,0.1574318101152798,0.1574318101152799,weighted,1,201,0.18334802089551416,,,0,0.0,0.9999999999999996,,,,,,,0,0.25
confirmation,s9192111_g0_n2.0_b0_r1.0,9192111,0,2.0,2.0,,,1.0,bridge,b_identity,OK,0.02119138500711415,1.6337903349313985,1.6337903349313985,1.6337903349314011,points,0,768,2.037668362893005,2.037668362893005,0.41015625,,,,,,,,,,0,1.0
confirmation,s9192111_g0_n2.0_b0_r1.0,9192111,0,2.0,2.0,,,1.0,bridge,b_map,OK,0.021183691002079286,0.050816449388089824,0.050816449388089824,0.050816449388089574,points,1,768,0.05905225179844776,0.05905225179844776,1.0,0,0.0,,,,,,,,0,1.0
confirmation,s9192111_g0_n2.0_b0_r1.0,9192111,0,2.0,2.0,,,1.0,bridge,b_mean,OK,0.021188729006098583,0.050816449388089824,0.050816449388089824,0.050816449388089574,points,1,768,0.05905225179844776,0.05905225179844776,1.0,0,0.0,,,,,,,,0,1.0
confirmation,s9192111_g0_n2.0_b0_r1.0,9192111,0,2.0,2.0,,,1.0,bridge,b_posterior_draw,OK,0.021190921004745178,0.050816449388089824,0.050816449388089824,0.050816449388089574,points,1,768,0.05905225179844776,0.05905225179844776,1.0,0,0.0,,,,,,,,0,1.0
confirmation,s9192111_g0_n2.0_b0_r1.0,9192111,0,2.0,2.0,,,1.0,bridge,b_quota_map,OK,0.021190377010498196,0.050816449388089824,0.050816449388089824,0.050816449388089574,points,1,768,0.05905225179844776,0.05905225179844776,1.0,0,0.0,,,,,,,,0,1.0
confirmation,s9192111_g0_n2.0_b0_r1.0,9192111,0,2.0,2.0,,,1.0,bridge,b_weighted_measure,OK,0.021189544000662863,0.050816449388089824,0.050816449388089824,0.050816449388089574,weighted,1,768,0.05905225179844776,,,0,0.0,1.0000000000000007,,,,,,,0,1.0
confirmation,s9192111_g0_n2.0_b4_r0.25,9192111,0,2.0,2.0,,,1.0,bridge,b_identity,OK,0.017081583995604888,3.84060076654446,3.84060076654446,3.840600766544463,points,0,201,4.647621233451581,4.647621233451581,0.1791044776119403,,,,,,,,,,4,0.25
confirmation,s9192111_g0_n2.0_b4_r0.25,9192111,0,2.0,2.0,,,1.0,bridge,b_map,OK,0.017075269992346875,0.1669688754606759,0.1669688754606759,0.1669688754606761,points,1,201,0.20350609498023703,0.20350609498023703,1.0,0,0.0,,,,,,,,4,0.25
confirmation,s9192111_g0_n2.0_b4_r0.25,9192111,0,2.0,2.0,,,1.0,bridge,b_mean,OK,0.01707924199581612,0.1669688754606759,0.1669688754606759,0.1669688754606761,points,1,201,0.20350609498023703,0.20350609498023703,1.0,0,0.0,,,,,,,,4,0.25
confirmation,s9192111_g0_n2.0_b4_r0.25,9192111,0,2.0,2.0,,,1.0,bridge,b_posterior_draw,OK,0.01708106200385373,0.1669688754606759,0.1669688754606759,0.1669688754606761,points,1,201,0.20350609498023703,0.20350609498023703,1.0,0,0.0,,,,,,,,4,0.25
confirmation,s9192111_g0_n2.0_b4_r0.25,9192111,0,2.0,2.0,,,1.0,bridge,b_quota_map,OK,0.01708049199078232,0.1669688754606759,0.1669688754606759,0.1669688754606761,points,1,201,0.20350609498023703,0.20350609498023703,1.0,0,0.0,,,,,,,,4,0.25
confirmation,s9192111_g0_n2.0_b4_r0.25,9192111,0,2.0,2.0,,,1.0,bridge,b_weighted_measure,OK,0.017079949990147725,0.1669688754606759,0.1669688754606759,0.1669688754606761,weighted,1,201,0.20350609498023703,,,0,0.0,0.9999999999999996,,,,,,,4,0.25
confirmation,s9192111_g0_n2.0_b4_r1.0,9192111,0,2.0,2.0,,,1.0,bridge,b_identity,OK,0.02120823200675659,3.841417329525246,3.841417329525246,3.8414173295252527,points,0,768,4.660424632248822,4.660424632248822,0.16796875,,,,,,,,,,4,1.0
confirmation,s9192111_g0_n2.0_b4_r1.0,9192111,0,2.0,2.0,,,1.0,bridge,b_map,OK,0.0212020260078134,0.0508164493880899,0.0508164493880899,0.05081644938808965,points,1,768,0.07489211251230625,0.07489211251230625,1.0,0,0.0,,,,,,,,4,1.0
confirmation,s9192111_g0_n2.0_b4_r1.0,9192111,0,2.0,2.0,,,1.0,bridge,b_mean,OK,0.02120593099971302,0.0508164493880899,0.0508164493880899,0.05081644938808965,points,1,768,0.07489211251230625,0.07489211251230625,1.0,0,0.0,,,,,,,,4,1.0
