method,kind,field,allocation,seed,requested_budget_mm,actual_budget_mm,duplicate_budget,direction_informative,native_field_rms_mm,normalization_factor,status,displacement_rms_mm,displacement_p95_mm,displacement_max_mm,moved_fraction,case,scene,n_input,n_reference,accuracy_mm,p95_mm,completeness_mm,precision,recall,fscore,step
budget0.025__multiscale_full__alpha,budget,multiscale_full,alpha,,0.025,0.025,False,True,0.03279308190250281,0.762355916236466,OK,0.024999999999999682,0.05042514882074008,0.09140022013089857,1.0,s37_confirm07,scan37,712,5904,0.25946874511138746,1.0844679001033548,0.4462857925657316,0.9424157303370787,0.9336043360433605,0.9379893402693946,
budget0.025__multiscale_full__shuffle_92401,budget,multiscale_full,shuffle,92401,0.025,0.025,False,True,0.03581634952632527,0.6980052498545343,OK,0.024999999999999748,0.050213887813537104,0.12027013599283247,1.0,s37_confirm07,scan37,712,5904,0.25938408365005794,1.0845308630997552,0.4463540096821827,0.9424157303370787,0.9334349593495935,0.9379038467976832,
budget0.025__multiscale_full__shuffle_92402,budget,multiscale_full,shuffle,92402,0.025,0.025,False,True,0.03558393011295348,0.7025643294780233,OK,0.02500000000000169,0.05073321496759414,0.11190796698517057,1.0,s37_confirm07,scan37,712,5904,0.25936005886308744,1.084890541650865,0.4462643230590414,0.9424157303370787,0.9334349593495935,0.9379038467976832,
budget0.025__multiscale_full__shuffle_92403,budget,multiscale_full,shuffle,92403,0.025,0.025,False,True,0.03553806771582012,0.703470999040024,OK,0.025000000000000334,0.05074751240928058,0.10756876768649624,1.0,s37_confirm07,scan37,712,5904,0.2594693933173128,1.0852614949244321,0.44635520461633404,0.9424157303370787,0.9334349593495935,0.9379038467976832,
budget0.025__multiscale_full__shuffle_92404,budget,multiscale_full,shuffle,92404,0.025,0.025,False,True,0.0361443722398703,0.6916706101322985,OK,0.02500000000000051,0.049760056510855154,0.12515617325195708,1.0,s37_confirm07,scan37,712,5904,0.25944035704897833,1.0852798891573996,0.44630118407776875,0.9424157303370787,0.9330962059620597,0.9377328135289839,
budget0.025__multiscale_full__shuffle_92405,budget,multiscale_full,shuffle,92405,0.025,0.025,False,True,0.03594935336737177,0.6954228006418167,OK,0.025000000000000116,0.05118964896788989,0.12051961552111659,1.0,s37_confirm07,scan37,712,5904,0.25926985290703225,1.0850592958342957,0.4462097401091202,0.9424157303370787,0.9332655826558266,0.9378183378856074,
budget0.025__multiscale_full__uniform,budget,multiscale_full,uniform,,0.025,0.025,False,True,0.043315971221650165,0.5771543219491408,OK,0.024999999999999845,0.05085662680057101,0.10868434470249669,1.0,s37_confirm07,scan37,712,5904,0.25929909254965694,1.084814998590653,0.4463240443023322,0.9424157303370787,0.9336043360433605,0.9379893402693946,
budget0.025__quadratic64__uniform,budget,quadratic64,uniform,,0.025,0.025,False,True,0.04879586371662228,0.5123385077306003,OK,0.02500000000000035,0.04681616681619585,0.15509948064091908,1.0,s37_confirm07,scan37,712,5904,0.25982240222883296,1.086022276049228,0.44666847837940055,0.9424157303370787,0.9327574525745257,0.937561718465353,
budget0.05__local_plane64__uniform,budget,local_plane64,uniform,,0.05,0.043315971221650165,False,True,0.14108201830663117,0.3070268751578685,OK,0.04331597122164909,0.08134298802862529,0.15783775273333597,1.0,s37_confirm07,scan37,712,5904,0.2599770534235559,1.099525167518712,0.45285374630628583,0.9424157303370787,0.9269986449864499,0.9346436152072443,
budget0.05__multiscale_full__alpha,budget,multiscale_full,alpha,,0.05,0.043315971221650165,False,True,0.03279308190250281,1.3208874771341401,OK,0.043315971221651456,0.08736857180663544,0.15836357219368472,1.0,s37_confirm07,scan37,712,5904,0.25662703791096103,1.0823018006959322,0.44375699535462054,0.9438202247191011,0.9329268292682927,0.9383419121673421,
budget0.05__multiscale_full__shuffle_92401,budget,multiscale_full,shuffle,92401,0.05,0.043315971221650165,False,True,0.03581634952632527,1.2093910126103895,OK,0.04331597122165172,0.08700253277831375,0.20838470997959135,1.0,s37_confirm07,scan37,712,5904,0.25659888462056124,1.082410252835403,0.44393728488998124,0.9424157303370787,0.9330962059620597,0.9377328135289839,
budget0.05__multiscale_full__shuffle_92402,budget,multiscale_full,shuffle,92402,0.05,0.043315971221650165,False,True,0.03558393011295348,1.2172902510811199,OK,0.04331597122164996,0.08790233918071012,0.19389609109614236,1.0,s37_confirm07,scan37,712,5904,0.25653608046122917,1.0827747583633944,0.4437690649604099,0.9424157303370787,0.9325880758807588,0.9374761477499716,
budget0.05__multiscale_full__shuffle_92403,budget,multiscale_full,shuffle,92403,0.05,0.043315971221650165,False,True,0.03553806771582012,1.2188611819873267,OK,0.0433159712216505,0.08792711148358144,0.18637782581818885,1.0,s37_confirm07,scan37,712,5904,0.25679745403886295,1.0821508157016835,0.443939236225487,0.9438202247191011,0.9330962059620597,0.9384275787665642,
budget0.05__multiscale_full__shuffle_92404,budget,multiscale_full,shuffle,92404,0.05,0.043315971221650165,False,True,0.0361443722398703,1.198415369734074,OK,0.04331597122164991,0.0862162070324499,0.21685044795177774,1.0,s37_confirm07,scan37,712,5904,0.2566063168562357,1.0824343408152648,0.4438559011233916,0.9424157303370787,0.9330962059620597,0.9377328135289839,
budget0.05__multiscale_full__shuffle_92405,budget,multiscale_full,shuffle,92405,0.05,0.043315971221650165,False,True,0.03594935336737177,1.2049165607792118,OK,0.043315971221649936,0.08869317446158954,0.20881696790225254,1.0,s37_confirm07,scan37,712,5904,0.25637477924305624,1.0833242093550457,0.44366997744002673,0.9438202247191011,0.9325880758807588,0.9381705325719849,
budget0.05__multiscale_full__uniform,budget,multiscale_full,uniform,,0.05,0.043315971221650165,False,True,0.043315971221650165,1.0,OK,0.043315971221650165,0.08811616731696804,0.18831071789506149,1.0,s37_confirm07,scan37,712,5904,0.25638009244671545,1.082522042100811,0.44393907974532004,0.9438202247191011,0.9329268292682927,0.9383419121673421,
budget0.05__quadratic64__uniform,budget,quadratic64,uniform,,0.05,0.043315971221650165,False,True,0.04879586371662228,0.8876976022640749,OK,0.04331597122164948,0.08111550938072853,0.26873138559735893,1.0,s37_confirm07,scan37,712,5904,0.2575699541743516,1.0849899089458481,0.4445484510558587,0.9438202247191011,0.9330962059620597,0.9384275787665642,
budget0.1__local_plane64__uniform,budget,local_plane64,uniform,,0.1,0.043315971221650165,True,True,0.14108201830663117,0.3070268751578685,OK,0.04331597122164909,0.08134298802862529,0.15783775273333597,1.0,s37_confirm07,scan37,712,5904,0.2599770534235559,1.099525167518712,0.45285374630628583,0.9424157303370787,0.9269986449864499,0.9346436152072443,
budget0.1__multiscale_full__alpha,budget,multiscale_full,alpha,,0.1,0.043315971221650165,True,True,0.03279308190250281,1.3208874771341401,OK,0.043315971221651456,0.08736857180663544,0.15836357219368472,1.0,s37_confirm07,scan37,712,5904,0.25662703791096103,1.0823018006959322,0.44375699535462054,0.9438202247191011,0.9329268292682927,0.9383419121673421,
budget0.1__multiscale_full__shuffle_92401,budget,multiscale_full,shuffle,92401,0.1,0.043315971221650165,True,True,0.03581634952632527,1.2093910126103895,OK,0.04331597122165172,0.08700253277831375,0.20838470997959135,1.0,s37_confirm07,scan37,712,5904,0.25659888462056124,1.082410252835403,0.44393728488998124,0.9424157303370787,0.9330962059620597,0.9377328135289839,
budget0.1__multiscale_full__shuffle_92402,budget,multiscale_full,shuffle,92402,0.1,0.043315971221650165,True,True,0.03558393011295348,1.2172902510811199,OK,0.04331597122164996,0.08790233918071012,0.19389609109614236,1.0,s37_confirm07,scan37,712,5904,0.25653608046122917,1.0827747583633944,0.4437690649604099,0.9424157303370787,0.9325880758807588,0.9374761477499716,
budget0.1__multiscale_full__shuffle_92403,budget,multiscale_full,shuffle,92403,0.1,0.043315971221650165,True,True,0.03553806771582012,1.2188611819873267,OK,0.0433159712216505,0.08792711148358144,0.18637782581818885,1.0,s37_confirm07,scan37,712,5904,0.25679745403886295,1.0821508157016835,0.443939236225487,0.9438202247191011,0.9330962059620597,0.9384275787665642,
budget0.1__multiscale_full__shuffle_92404,budget,multiscale_full,shuffle,92404,0.1,0.043315971221650165,True,True,0.0361443722398703,1.198415369734074,OK,0.04331597122164991,0.0862162070324499,0.21685044795177774,1.0,s37_confirm07,scan37,712,5904,0.2566063168562357,1.0824343408152648,0.4438559011233916,0.9424157303370787,0.9330962059620597,0.9377328135289839,
budget0.1__multiscale_full__shuffle_92405,budget,multiscale_full,shuffle,92405,0.1,0.043315971221650165,True,True,0.03594935336737177,1.2049165607792118,OK,0.043315971221649936,0.08869317446158954,0.20881696790225254,1.0,s37_confirm07,scan37,712,5904,0.25637477924305624,1.0833242093550457,0.44366997744002673,0.9438202247191011,0.9325880758807588,0.9381705325719849,
budget0.1__multiscale_full__uniform,budget,multiscale_full,uniform,,0.1,0.043315971221650165,True,True,0.043315971221650165,1.0,OK,0.043315971221650165,0.08811616731696804,0.18831071789506149,1.0,s37_confirm07,scan37,712,5904,0.25638009244671545,1.082522042100811,0.44393907974532004,0.9438202247191011,0.9329268292682927,0.9383419121673421,
budget0.1__quadratic64__uniform,budget,quadratic64,uniform,,0.1,0.043315971221650165,True,True,0.04879586371662228,0.8876976022640749,OK,0.04331597122164948,0.08111550938072853,0.26873138559735893,1.0,s37_confirm07,scan37,712,5904,0.2575699541743516,1.0849899089458481,0.4445484510558587,0.9438202247191011,0.9330962059620597,0.9384275787665642,
native__apss2,native,apss2,cached,,,,,,,,OK,0.015231587199987993,0.0309128333957649,0.09397546517376354,1.0,s37_confirm07,scan37,712,5904,0.26249614385386627,1.0897514292023902,0.44900034939524147,0.9424157303370787,0.9327574525745257,0.937561718465353,
native__identity,native,identity,cached,,,,,,,,OK,0.0,0.0,0.0,0.0,s37_confirm07,scan37,712,5904,0.2636235729033767,1.0927796087517287,0.4495152009066261,0.9424157303370787,0.9332655826558266,0.9378183378856074,
native__local_plane64,native,local_plane64,cached,,,,,,,,OK,0.14108201830663117,0.26493768008682467,0.5140844841423321,1.0,s37_confirm07,scan37,712,5904,0.2594724868873244,1.10928968985899,0.47052942849448015,0.9382022471910112,0.9109078590785907,0.9243536093105782,
native__multiscale_consensus,native,multiscale_consensus,cached,,,,,,,,OK,0.032793081902502755,0.06614384140889998,0.11989179618629409,1.0,s37_confirm07,scan37,712,5904,0.2582170309923897,1.0835456826552696,0.4452312563167268,0.9424157303370787,0.9330962059620597,0.9377328135289839,
native__multiscale_full,native,multiscale_full,cached,,,,,,,,OK,0.043315971221650165,0.08811616731696804,0.18831071789506149,1.0,s37_confirm07,scan37,712,5904,0.25638009244671545,1.082522042100811,0.44393907974532004,0.9438202247191011,0.9329268292682927,0.9383419121673421,
native__multiscale_matched,native,multiscale_matched,cached,,,,,,,,OK,0.03279308190250243,0.06670982111822174,0.1425637846938953,1.0,s37_confirm07,scan37,712,5904,0.25801276472363777,1.0837127675624532,0.44530646247916505,0.9424157303370787,0.9330962059620597,0.9377328135289839,
native__quadratic64,native,quadratic64,cached,,,,,,,,OK,0.04879586371662228,0.09137741182790667,0.30272852479488566,1.0,s37_confirm07,scan37,712,5904,0.25693723127525453,1.0846811317596061,0.44391722534702,0.9438202247191011,0.9332655826558266,0.9385132299057309,
native__rimls2,native,rimls2,cached,,,,,,,,OK,0.016003787921128915,0.03578367516467398,0.09732414936438388,1.0,s37_confirm07,scan37,712,5904,0.26301965750466394,1.0899325093393124,0.44817055795984284,0.9424157303370787,0.9344512195121951,0.9384165761687915,
native__v18,native,v18,cached,,,,,,,,OK,0.5629536593462924,1.0263731634743256,1.7746409459297023,1.0,s37_confirm07,scan37,712,5904,0.3403890264349666,1.0654842281720378,0.5498938294639838,0.9311797752808989,0.8958333333333334,0.9131646380525305,
probe_t0.5,probe,multiscale_full,fixed_step,,,,,,,,OK,0.021657985610824593,0.04405808365844662,0.09415535894757959,1.0,s37_confirm07,scan37,712,5904,0.25985778032955403,1.0859603765365626,0.4467579921119101,0.9424157303370787,0.9334349593495935,0.9379038467976832,0.5
probe_t1,probe,multiscale_full,fixed_step,,,,,,,,OK,0.043315971221650165,0.08811616731696804,0.18831071789506149,1.0,s37_confirm07,scan37,712,5904,0.25638009244671545,1.082522042100811,0.44393907974532004,0.9438202247191011,0.9329268292682927,0.9383419121673421,1.0
budget0.025__local_plane64__uniform,budget,local_plane64,uniform,,0.025,0.025,False,True,0.2290489124242783,0.10914699282086658,OK,0.025000000000000275,0.050098912086662374,0.10004801802552966,1.0,s37_confirm08,scan37,817,2595,0.6240939236178149,1.5314298993175248,0.5768438765838695,0.7870257037943696,0.9125240847784201,0.8451413602365204,
budget0.025__multiscale_full__alpha,budget,multiscale_full,alpha,,0.025,0.025,False,True,0.06668322271304968,0.3749068953607665,OK,0.025000000000001212,0.05164841737475703,0.14958745160700662,1.0,s37_confirm08,scan37,817,2595,0.6264701737949213,1.5416267416049563,0.5782592881546494,0.784577723378213,0.9121387283236995,0.843563137677449,
budget0.025__multiscale_full__shuffle_92401,budget,multiscale_full,shuffle,92401,0.025,0.025,False,True,0.07355344703497062,0.3398888972275341,OK,0.025000000000001264,0.051871016808871816,0.1536592416364185,1.0,s37_confirm08,scan37,817,2595,0.6273455913350355,1.5413508725166196,0.5794750585417762,0.7833537331701347,0.910597302504817,0.8421964759419174,
budget0.025__multiscale_full__shuffle_92402,budget,multiscale_full,shuffle,92402,0.025,0.025,False,True,0.07369527092161078,0.33923479332333756,OK,0.025000000000000164,0.04995003271358552,0.15872171494848597,1.0,s37_confirm08,scan37,817,2595,0.6270384123552489,1.5418655132668082,0.5789128871955167,0.7833537331701347,0.9113680154142582,0.8425259636432456,
budget0.025__multiscale_full__shuffle_92403,budget,multiscale_full,shuffle,92403,0.025,0.025,False,True,0.07279157448594947,0.34344634219755205,OK,0.024999999999999786,0.052732506612841255,0.15829199903223795,1.0,s37_confirm08,scan37,817,2595,0.6270880819040803,1.5413503498298773,0.5783584632554618,0.7833537331701347,0.9121387283236995,0.8428551517968843,
budget0.025__multiscale_full__shuffle_92404,budget,multiscale_full,shuffle,92404,0.025,0.025,False,True,0.07405531328704432,0.33758550049066705,OK,0.024999999999999228,0.051496417715745514,0.14929661775619313,1.0,s37_confirm08,scan37,817,2595,0.6274453074042566,1.5421581733082286,0.579021246281292,0.7821297429620563,0.9121387283236995,0.8421461429759769,
budget0.025__multiscale_full__shuffle_92405,budget,multiscale_full,shuffle,92405,0.025,0.025,False,True,0.07355922169645232,0.33986221473582723,OK,0.02500000000000054,0.05355184568899054,0.1511253576304264,1.0,s37_confirm08,scan37,817,2595,0.6270865690036133,1.5417244711831424,0.5788914339429644,0.7833537331701347,0.9117533718689788,0.8426905951379895,
budget0.025__multiscale_full__uniform,budget,multiscale_full,uniform,,0.025,0.025,False,True,0.09117918036880192,0.27418539954932586,OK,0.02500000000000033,0.05213374214307216,0.13857379724287167,1.0,s37_confirm08,scan37,817,2595,0.627202324543494,1.541678052403678,0.5792425906376423,0.7833537331701347,0.9109826589595376,0.8423612572615911,
budget0.025__quadratic64__uniform,budget,quadratic64,uniform,,0.025,0.025,False,True,0.09826623460320563,0.2544108879407948,OK,0.024999999999999977,0.05126583015981196,0.13224408726425613,1.0,s37_confirm08,scan37,817,2595,0.6265489196383978,1.5423661566147993,0.5787874751118095,0.784577723378213,0.910597302504817,0.8429033552348576,
budget0.05__local_plane64__uniform,budget,local_plane64,uniform,,0.05,0.05,False,True,0.2290489124242783,0.21829398564173316,OK,0.050000000000000794,0.10019782417333994,0.2000960360509773,1.0,s37_confirm08,scan37,817,2595,0.6230511403138462,1.5317056370519213,0.5846189058990026,0.780905752753978,0.9059730250481696,0.8388030680210727,
budget0.05__multiscale_full__alpha,budget,multiscale_full,alpha,,0.05,0.05,False,True,0.06668322271304968,0.749813790721533,OK,0.04999999999999873,0.10329683474951407,0.2991749032140028,1.0,s37_confirm08,scan37,817,2595,0.6279827007480896,1.5404053215923068,0.5866177191849443,0.7821297429620563,0.9063583815028902,0.8396740701756444,
budget0.05__multiscale_full__shuffle_92401,budget,multiscale_full,shuffle,92401,0.05,0.05,False,True,0.07355344703497062,0.6797777944550683,OK,0.04999999999999947,0.10374203361772666,0.3073184832728254,1.0,s37_confirm08,scan37,817,2595,0.6295423223369503,1.540817260032443,0.5889061937229291,0.7821297429620563,0.905587668593449,0.839343181052805,
budget0.05__multiscale_full__shuffle_92402,budget,multiscale_full,shuffle,92402,0.05,0.05,False,True,0.07369527092161078,0.6784695866466751,OK,0.049999999999998906,0.09990006542726368,0.3174434298969301,1.0,s37_confirm08,scan37,817,2595,0.629036569301208,1.5406326050396735,0.5879480072174675,0.7796817625458996,0.905587668593449,0.8379315218592962,
budget0.05__multiscale_full__shuffle_92403,budget,multiscale_full,shuffle,92403,0.05,0.05,False,True,0.07279157448594947,0.6868926843951041,OK,0.04999999999999914,0.10546501322570784,0.3165839980644759,1.0,s37_confirm08,scan37,817,2595,0.6291449693683421,1.538667019859614,0.586823224884862,0.7784577723378213,0.9067437379576108,0.8377178705566273,
budget0.05__multiscale_full__shuffle_92404,budget,multiscale_full,shuffle,92404,0.05,0.05,False,True,0.07405531328704432,0.6751710009813341,OK,0.05000000000000001,0.1029928354315865,0.29859323551238065,1.0,s37_confirm08,scan37,817,2595,0.6297657691032554,1.5409891215258558,0.5880694036085891,0.7784577723378213,0.9063583815028902,0.8375533734004778,
budget0.05__multiscale_full__shuffle_92405,budget,multiscale_full,shuffle,92405,0.05,0.05,False,True,0.07355922169645232,0.6797244294716545,OK,0.049999999999998816,0.10710369137798473,0.30225071526086356,1.0,s37_confirm08,scan37,817,2595,0.6290441462380987,1.5405943860987663,0.5878516868812517,0.7821297429620563,0.9063583815028902,0.8396740701756444,
budget0.05__multiscale_full__uniform,budget,multiscale_full,uniform,,0.05,0.05,False,True,0.09117918036880192,0.5483707990986517,OK,0.050000000000000176,0.10426748428613636,0.27714759448577597,1.0,s37_confirm08,scan37,817,2595,0.6292894054024832,1.540820844383948,0.588702864612698,0.7821297429620563,0.9048169556840077,0.8390119895842916,
budget0.05__quadratic64__uniform,budget,quadratic64,uniform,,0.05,0.05,False,True,0.09826623460320563,0.5088217758815896,OK,0.049999999999999295,0.10253166031968634,0.2644881745285243,1.0,s37_confirm08,scan37,817,2595,0.6279876500868382,1.5421083741259831,0.5878751450956615,0.7833537331701347,0.9052023121387284,0.8398816402429878,
budget0.1__local_plane64__uniform,budget,local_plane64,uniform,,0.1,0.09117918036880192,False,True,0.2290489124242783,0.39807733380504484,OK,0.09117918036880261,0.18271910965715651,0.3648918512435117,1.0,s37_confirm08,scan37,817,2595,0.6214802146683307,1.5335011692903133,0.5977953033031735,0.7858017135862914,0.8978805394990366,0.8381107126848947,
budget0.1__multiscale_full__alpha,budget,multiscale_full,alpha,,0.1,0.09117918036880192,False,True,0.06668322271304968,1.3673481373442748,OK,0.09117918036880247,0.18837041454298603,0.5455704492393901,1.0,s37_confirm08,scan37,817,2595,0.6312828669445366,1.5511561004351875,0.5980737301624565,0.780905752753978,0.8986512524084779,0.835651222993136,
budget0.1__multiscale_full__shuffle_92401,budget,multiscale_full,shuffle,92401,0.1,0.09117918036880192,False,True,0.07355344703497062,1.2396316426265004,OK,0.09117918036880128,0.18918227190114456,0.5604209483399942,1.0,s37_confirm08,scan37,817,2595,0.6337602802894583,1.550744376943423,0.6016938681273653,0.7760097919216646,0.8959537572254336,0.8316794813745944,
budget0.1__multiscale_full__shuffle_92402,budget,multiscale_full,shuffle,92402,0.1,0.09117918036880192,False,True,0.07369527092161078,1.2372460163120733,OK,0.09117918036880196,0.18217612168888345,0.5788846350292864,1.0,s37_confirm08,scan37,817,2595,0.633020022086457,1.5505787696175215,0.6001559144602436,0.7772337821297429,0.8982658959537573,0.8333783751828417,
budget0.1__multiscale_full__shuffle_92403,budget,multiscale_full,shuffle,92403,0.1,0.09117918036880192,False,True,0.07279157448594947,1.2526062392894344,OK,0.09117918036880207,0.1923242692700775,0.5773173892279572,1.0,s37_confirm08,scan37,817,2595,0.6333337274522229,1.5413068800665715,0.5982772254647137,0.7760097919216646,0.900578034682081,0.833666286028731,
budget0.1__multiscale_full__shuffle_92404,budget,multiscale_full,shuffle,92404,0.1,0.09117918036880192,False,True,0.07405531328704432,1.2312307695652318,OK,0.0911791803688017,0.18781604637013044,0.5445097295537464,1.0,s37_confirm08,scan37,817,2595,0.6339842193596903,1.5508664713807123,0.6003555085719294,0.7760097919216646,0.8990366088631985,0.8330052366871653,
budget0.1__multiscale_full__shuffle_92405,budget,multiscale_full,shuffle,92405,0.1,0.09117918036880192,False,True,0.07355922169645232,1.2395343271175392,OK,0.09117918036880218,0.19531253588638628,0.5511794496673884,1.0,s37_confirm08,scan37,817,2595,0.63281740736984,1.5506805883821349,0.6003836733088118,0.7772337821297429,0.8978805394990366,0.8332124901624273,
budget0.1__multiscale_full__uniform,budget,multiscale_full,uniform,,0.1,0.09117918036880192,False,True,0.09117918036880192,1.0,OK,0.09117918036880192,0.1901404751265464,0.5054018101279281,1.0,s37_confirm08,scan37,817,2595,0.6332902965091828,1.550528196282489,0.6021090928510504,0.7760097919216646,0.8971098265895954,0.8321772121495058,
budget0.1__quadratic64__uniform,budget,quadratic64,uniform,,0.1,0.09117918036880192,False,True,0.09826623460320563,0.9278790495736312,OK,0.0911791803688012,0.18697505499594302,0.48231629941496595,1.0,s37_confirm08,scan37,817,2595,0.630666908050191,1.5480310521400364,0.6009174096619022,0.7784577723378213,0.8963391136801542,0.8332498770686404,
native__apss2,native,apss2,cached,,,,,,,,OK,0.0385632822200936,0.07579315755111697,0.359170917821765,1.0,s37_confirm08,scan37,817,2595,0.6254675945531428,1.5409477610801077,0.5774799199963468,0.784577723378213,0.9109826589595376,0.8430684133089535,
native__identity,native,identity,cached,,,,,,,,OK,0.0,0.0,0.0,0.0,s37_confirm08,scan37,817,2595,0.6253592389229097,1.53909131839092,0.5693370657690254,0.7833537331701347,0.9194605009633912,0.8459675770782585,
native__local_plane64,native,local_plane64,cached,,,,,,,,OK,0.2290489124242783,0.4590040530834406,0.9166355887577654,1.0,s37_confirm08,scan37,817,2595,0.6215424381039547,1.5161832664992474,0.6413665812935746,0.7833537331701347,0.8624277456647399,0.820991125303289,
native__multiscale_consensus,native,multiscale_consensus,cached,,,,,,,,OK,0.06668322271304956,0.13776331674304168,0.3989989340234807,1.0,s37_confirm08,scan37,817,2595,0.6292039342351092,1.5493597680432136,0.591666058775274,0.7821297429620563,0.9028901734104047,0.8381826854280944,
native__multiscale_full,native,multiscale_full,cached,,,,,,,,OK,0.09117918036880192,0.1901404751265464,0.5054018101279281,1.0,s37_confirm08,scan37,817,2595,0.6332902965091828,1.550528196282489,0.6021090928510504,0.7760097919216646,0.8971098265895954,0.8321772121495058,
native__multiscale_matched,native,multiscale_matched,cached,,,,,,,,OK,0.06668322271304904,0.13905783752765863,0.36962189534959056,1.0,s37_confirm08,scan37,817,2595,0.6308078173471643,1.5445227158769055,0.594560499301261,0.7796817625458996,0.9021194605009634,0.8364437858073173,
native__quadratic64,native,quadratic64,cached,,,,,,,,OK,0.09826623460320563,0.20150800374454936,0.5198051401598126,1.0,s37_confirm08,scan37,817,2595,0.6312148653960827,1.5479756989288587,0.602833672131334,0.7784577723378213,0.8955684007707129,0.8329167051737778,
native__rimls2,native,rimls2,cached,,,,,,,,OK,0.03720044814694432,0.07104380854567145,0.3276370224640757,1.0,s37_confirm08,scan37,817,2595,0.6259201598297094,1.5397919191274778,0.5738391465284206,0.780905752753978,0.915606936416185,0.8429087839697598,
native__v18,native,v18,cached,,,,,,,,OK,0.7437807129621274,1.4735278475048907,2.888433118915548,1.0,s37_confirm08,scan37,817,2595,0.6237384235522435,1.7699333451340058,0.7325251469345798,0.7894736842105263,0.7680154142581889,0.7785967288259193,
probe_t0.5,probe,multiscale_full,fixed_step,,,,,,,,OK,0.045589590184400064,0.09507023756326345,0.25270090506396803,1.0,s37_confirm08,scan37,817,2595,0.6289064362298202,1.5410580837948336,0.5870801672966544,0.7833537331701347,0.9063583815028902,0.8403789208527058,0.5
probe_t1,probe,multiscale_full,fixed_step,,,,,,,,OK,0.09117918036880192,0.1901404751265464,0.5054018101279281,1.0,s37_confirm08,scan37,817,2595,0.6332902965091828,1.550528196282489,0.6021090928510504,0.7760097919216646,0.8971098265895954,0.8321772121495058,1.0
budget0.025__local_plane64__uniform,budget,local_plane64,uniform,,0.025,0.025,False,True,0.28123991641925583,0.08889207591262216,OK,0.024999999999999176,0.05058415077096382,0.13719817697052963,1.0,s37_confirm09,scan37,937,3341,0.8224737093900643,2.3910463393605577,0.8145486217069267,0.7748132337246532,0.7162526189763544,0.7443829618491082,
budget0.025__multiscale_full__alpha,budget,multiscale_full,alpha,,0.025,0.025,False,True,0.08689053416915693,0.2877183370898659,OK,0.02500000000000102,0.05396107402028746,0.10927130881590734,1.0,s37_confirm09,scan37,937,3341,0.8227065325040789,2.3931249601249167,0.8127960669002978,0.7716115261472786,0.7210416043100868,0.7454699305081177,
budget0.025__multiscale_full__shuffle_92401,budget,multiscale_full,shuffle,92401,0.025,0.025,False,True,0.10443514134484444,0.23938302450752755,OK,0.024999999999999585,0.05352685029051758,0.1804768264275889,1.0,s37_confirm09,scan37,937,3341,0.8230151654352726,2.388225397344256,0.8123667638813886,0.7716115261472786,0.720143669560012,0.7449897376104532,
budget0.025__multiscale_full__shuffle_92402,budget,multiscale_full,shuffle,92402,0.025,0.025,False,True,0.10344167427853705,0.24168208968353108,OK,0.024999999999999883,0.05785502322370112,0.140821782701424,1.0,s37_confirm09,scan37,937,3341,0.8230609548935669,2.3892425143685263,0.8120421298328852,0.7726787620064034,0.7204429811433702,0.7456471561277409,
budget0.025__multiscale_full__shuffle_92403,budget,multiscale_full,shuffle,92403,0.025,0.025,False,True,0.10531084606375193,0.2373924522918159,OK,0.02499999999999987,0.05647305026750596,0.18091916706114472,1.0,s37_confirm09,scan37,937,3341,0.823063302125628,2.390712375462787,0.8121271003288216,0.7726787620064034,0.7207422927267285,0.7458074341522679,
budget0.025__multiscale_full__shuffle_92404,budget,multiscale_full,shuffle,92404,0.025,0.025,False,True,0.10383562424672516,0.2407651533985791,OK,0.025000000000001278,0.05502461257369139,0.1527608054691401,1.0,s37_confirm09,scan37,937,3341,0.823247075307575,2.38921233518015,0.8126128658814796,0.7716115261472786,0.720143669560012,0.7449897376104532,
budget0.025__multiscale_full__shuffle_92405,budget,multiscale_full,shuffle,92405,0.025,0.025,False,True,0.1032074091364443,0.24223067131691103,OK,0.02499999999999924,0.05310496019583581,0.18304075519558521,1.0,s37_confirm09,scan37,937,3341,0.8230098583022812,2.3900843390888773,0.812444415910721,0.7726787620064034,0.7207422927267285,0.7458074341522679,
budget0.025__multiscale_full__uniform,budget,multiscale_full,uniform,,0.025,0.025,False,True,0.12906824288242152,0.19369598161163842,OK,0.024999999999999408,0.05712318140373145,0.16029284795189855,1.0,s37_confirm09,scan37,937,3341,0.8230921781373027,2.3898204116674204,0.8125003670351301,0.7716115261472786,0.7204429811433702,0.7451498661286406,
budget0.025__quadratic64__uniform,budget,quadratic64,uniform,,0.025,0.025,False,True,0.142019463474105,0.17603220987071505,OK,0.024999999999998627,0.05419542828150766,0.16464992547022936,1.0,s37_confirm09,scan37,937,3341,0.8223567167722784,2.394216812631773,0.8112942480071829,0.7726787620064034,0.7210416043100868,0.745967647943796,
budget0.05__local_plane64__uniform,budget,local_plane64,uniform,,0.05,0.05,False,True,0.28123991641925583,0.17778415182524432,OK,0.050000000000001876,0.10116830154194421,0.27439635394106837,1.0,s37_confirm09,scan37,937,3341,0.8213273013192081,2.3902237202359418,0.8209151255435256,0.7748132337246532,0.7096677641424723,0.7408110659488427,
