scene,method,n,kind,accuracy_mm,p95_mm,completeness_mm,recall,fscore,displacement_rms_mm,displacement_max_mm,moved_fraction,field,allocation,requested_budget_mm,seed,actual_budget_mean_mm,duplicate_budget_patches,uninformative_patches,max_normalization_factor,mean_gain_mm,median_gain_mm,relative_gain_percent,within_scene_patch_bootstrap_ci95_mm,wins,ties,losses,recall_difference_pp,fscore_difference
scan24,budget0.1__multiscale_full__shuffle_92401,18,budget,0.5383335246742564,1.1762224157261743,0.41137758418472326,0.9793346860026213,0.9208318551787235,0.061029719659752124,0.4366445024506176,1.0,multiscale_full,shuffle,0.1,92401,0.06102971965975189,6,0,1.2247479153335468,0.0012113612841496038,0.00033933593571519594,0.2245153861476723,"[-0.0002504557540921702, 0.0027965678716411176]",11,0,7,-0.05536538851847523,3.41524759108141e-05
scan24,budget0.1__multiscale_full__shuffle_92402,18,budget,0.5383998501311801,1.1769652907826404,0.4112412730972428,0.9793103652197956,0.9207522607442331,0.06102971965975206,0.43244715594364336,1.0,multiscale_full,shuffle,0.1,92402,0.06102971965975189,6,0,1.2240547481137922,0.0011450358272260342,0.00036556345271614166,0.21222253366223187,"[-0.0002374827077248287, 0.0026819051932235644]",11,0,7,-0.0577974668010301,-4.544195857945447e-05
scan24,budget0.1__multiscale_full__shuffle_92403,18,budget,0.5383780357259621,1.1758193539777948,0.41122866934997654,0.979366793514454,0.9207082652654807,0.061029719659751826,0.43997486204918473,1.0,multiscale_full,shuffle,0.1,92403,0.06102971965975189,6,0,1.211977368861574,0.0011668502324439084,0.0003754096064914614,0.2162656458824852,"[-0.00022444557031655457, 0.0026480455632819427]",11,0,7,-0.05215463733518148,-8.943743733189995e-05
scan24,budget0.1__multiscale_full__shuffle_92404,18,budget,0.5383672117441085,1.1762687781786552,0.411216440650117,0.9792812976384503,0.9207420270301456,0.06102971965975171,0.44116117660288473,1.0,multiscale_full,shuffle,0.1,92404,0.06102971965975189,6,0,1.222025089040494,0.001177674214297426,0.0004011952985060324,0.21827177774200734,"[-0.0001903234942941237, 0.0026769107990463506]",11,0,7,-0.06070422493555753,-5.567567266700429e-05
scan24,budget0.1__multiscale_full__shuffle_92405,18,budget,0.5384117206526631,1.176411181051448,0.4112126818746039,0.9792918276325255,0.9207085933635786,0.06102971965975209,0.4420453707287131,1.0,multiscale_full,shuffle,0.1,92405,0.06102971965975189,6,0,1.2176446034971278,0.001133165305742887,0.0004698307532855911,0.2100224346914259,"[-0.0002760957168868766, 0.002660924362536354]",11,0,7,-0.05965122552803706,-8.910933923419708e-05
scan24,budget0.1__multiscale_full__uniform,18,budget,0.5384131187159054,1.1764096515110947,0.4113582466993525,0.9793409393062453,0.9207526474116293,0.061029719659751874,0.42646130888257566,1.0,multiscale_full,uniform,0.1,,0.06102971965975189,6,0,1.0,0.001131767242500567,0.00038044293736889945,0.20976331570453643,"[-0.00028569538892902807, 0.0026604543052867274]",11,0,7,-0.05474005815605038,-4.505529118338359e-05
scan24,budget0.1__quadratic64__uniform,18,budget,0.5383688857795517,1.176075298884305,0.4112877924348599,0.9792526065941514,0.9206488091202247,0.06102971965975174,0.4192784179799317,1.0,quadratic64,uniform,0.1,,0.06102971965975189,6,0,1.0,0.0011760001788543415,0.0009774623890241307,0.21796150968336203,"[0.0001204925885806049, 0.002246434400896208]",13,0,5,-0.06357332936545537,-0.00014889358258791182
scan24,native__apss2,18,native,0.5385993637325571,1.1826285333067392,0.4100462736325047,0.9796213919675603,0.9207642125559902,0.028024223495767418,0.18755047219568916,0.9999457465277778,apss2,cached,,,,,,,0.0009455222258488701,0.0008269846763551136,0.1752444051377311,"[0.0005111767993402387, 0.001458437858556105]",15,0,3,-0.0266947920245681,-3.349014682246798e-05
scan24,native__identity,18,native,0.539544885958406,1.1852282730453554,0.4095801831038777,0.979888339887806,0.9207977027028126,0.0,0.0,0.0,identity,cached,,,,,,,0.0,0.0,0.0,"[0.0, 0.0]",0,18,0,0.0,0.0
scan24,native__local_plane64,18,native,0.5448572659407787,1.1884700562782535,0.4267362363199538,0.9693841883768637,0.9158954087502542,0.1541248112758037,0.9293455225285159,1.0,local_plane64,cached,,,,,,,-0.005312379982372739,-0.0026716467158123813,-0.9846038986980998,"[-0.014042240272735028, 0.0035019865709083435]",8,0,10,-1.0504151510942095,-0.004902293952558454
scan24,native__multiscale_consensus,18,native,0.5376803437397202,1.1744878109209493,0.4119528351406135,0.9788130650610763,0.920844437541683,0.06044014101749489,0.3090644326600659,1.0,multiscale_consensus,cached,,,,,,,0.0018645422186858117,0.0005957527510878913,0.34557684952823964,"[0.00014815376067302299, 0.004204304848180533]",12,0,6,-0.1075274826729675,4.673483887021293e-05
scan24,native__multiscale_full,18,native,0.5376369956578633,1.1737027520614434,0.4128872179054117,0.9786460496311121,0.9208262563839882,0.08117283183051482,0.6028957666443993,1.0,multiscale_full,cached,,,,,,,0.0019078903005426094,0.0004978604050810409,0.35361104334326043,"[-0.00024300855626653922, 0.004802870275178644]",12,0,6,-0.1242290256693806,2.8553681175466946e-05
scan24,native__multiscale_matched,18,native,0.537740168453317,1.1726417622990875,0.41238800925730534,0.9786901002934868,0.9207134904491602,0.06044014101749492,0.35696931313319946,1.0,multiscale_matched,cached,,,,,,,0.0018047175050889064,0.0005066927307781494,0.3344888538575064,"[8.006747349689511e-05, 0.00412841534486123]",12,0,6,-0.11982395943190838,-8.421225365239248e-05
scan24,native__quadratic64,18,native,0.5378207698339075,1.1734177216963915,0.41279261808492973,0.9785548348992013,0.9206533202527005,0.08639132395509425,0.6202430605202123,1.0,quadratic64,cached,,,,,,,0.0017241161244985512,0.000956986375537372,0.3195500818131025,"[8.07433118267496e-05, 0.0034646405461159027]",13,0,5,-0.13335049886046588,-0.00014438245011210037
scan24,native__rimls2,18,native,0.5388217352143132,1.1831409578398702,0.4096374169196003,0.9798454709372355,0.9207960368262413,0.025683968217886814,0.14185002121982526,0.9999457465277778,rimls2,cached,,,,,,,0.0007231507440926652,0.0005044905117719267,0.13402976525451749,"[0.00029243804631561097, 0.0011657567842971073]",14,0,4,-0.004286895057060209,-1.6658765713119095e-06
scan24,native__v18,18,native,0.5977526585522621,1.2929212691235712,0.5601499022249972,0.8937991756888698,0.8742150672194605,0.4070855954647904,1.4378866845320002,0.9999457465277778,v18,cached,,,,,,,-0.058207772593856184,-0.022777621157233377,-10.788309575107968,"[-0.10042582282873135, -0.020348020179627262]",6,0,12,-8.608916419893616,-0.04658263548335203
scan24,probe_t0.5,18,probe,0.5382625796958721,1.176186695377564,0.4113581579929464,0.9788619367008486,0.9206511163648113,0.040586415915257204,0.30144788332218964,1.0,multiscale_full,fixed_step,,,,,,,0.0012823062625337233,0.0004869242670834384,0.2376644271692263,"[0.0001783667642536695, 0.002739265415167201]",12,0,6,-0.1026403186957397,-0.0001465863380012052
scan24,probe_t1,18,probe,0.5376369956578633,1.1737027520614434,0.4128872179054117,0.9786460496311121,0.9208262563839882,0.08117283183051482,0.6028957666443993,1.0,multiscale_full,fixed_step,,,,,,,0.0019078903005426094,0.0004978604050810409,0.35361104334326043,"[-0.00024300855626653922, 0.004802870275178644]",12,0,6,-0.1242290256693806,2.8553681175466946e-05
scan37,budget0.025__local_plane64__uniform,24,budget,0.4351184452825703,1.0692560147861407,0.530900953474273,0.9226608925796779,0.9125527070169698,0.02499999999999994,0.11164709906078822,1.0,local_plane64,uniform,0.025,,0.025000000000000005,0,0,0.6508753037618302,0.0021273350451242665,0.001793606012975263,0.48653072044057,"[0.0012510013533992722, 0.0030419222306333096]",21,0,3,-0.09163346429794153,-0.00030096824006704825
