key,fbig,calibration,arm,subset,n,weighted_delta
confirmation_seed701_fbig0.10_exch,0.1,exch,anchor2_projection,twosheet_front,1000,-0.00041998378346863683
confirmation_seed701_fbig0.10_sfm,0.1,sfm,identity,base,15451,0.0
confirmation_seed701_fbig0.10_sfm,0.1,sfm,identity,big,2009,0.0
confirmation_seed701_fbig0.10_sfm,0.1,sfm,identity,misfit,540,0.0
confirmation_seed701_fbig0.10_sfm,0.1,sfm,identity,twosheet_back,1000,0.0
confirmation_seed701_fbig0.10_sfm,0.1,sfm,identity,twosheet_front,1000,0.0
confirmation_seed701_fbig0.10_sfm,0.1,sfm,test_projection,base,15451,0.31004160121386365
confirmation_seed701_fbig0.10_sfm,0.1,sfm,test_projection,big,2009,-0.31373168204922475
confirmation_seed701_fbig0.10_sfm,0.1,sfm,test_projection,misfit,540,0.0
confirmation_seed701_fbig0.10_sfm,0.1,sfm,test_projection,twosheet_back,1000,0.22129368395234023
confirmation_seed701_fbig0.10_sfm,0.1,sfm,test_projection,twosheet_front,1000,0.012993586993960119
confirmation_seed701_fbig0.10_sfm,0.1,sfm,test_veto_projection,base,15451,-0.007053115247684931
confirmation_seed701_fbig0.10_sfm,0.1,sfm,test_veto_projection,big,2009,-0.13331915019307988
confirmation_seed701_fbig0.10_sfm,0.1,sfm,test_veto_projection,misfit,540,0.0
confirmation_seed701_fbig0.10_sfm,0.1,sfm,test_veto_projection,twosheet_back,1000,0.023788625480789315
confirmation_seed701_fbig0.10_sfm,0.1,sfm,test_veto_projection,twosheet_front,1000,-0.0005339245144554014
confirmation_seed701_fbig0.10_sfm,0.1,sfm,anchor1_projection,base,15451,0.10311836155708293
confirmation_seed701_fbig0.10_sfm,0.1,sfm,anchor1_projection,big,2009,-0.26439429671342785
confirmation_seed701_fbig0.10_sfm,0.1,sfm,anchor1_projection,misfit,540,0.0
confirmation_seed701_fbig0.10_sfm,0.1,sfm,anchor1_projection,twosheet_back,1000,0.06807296450520907
confirmation_seed701_fbig0.10_sfm,0.1,sfm,anchor1_projection,twosheet_front,1000,0.004119144950109624
confirmation_seed701_fbig0.10_sfm,0.1,sfm,anchor1_argmin,base,15451,0.13945203505268294
confirmation_seed701_fbig0.10_sfm,0.1,sfm,anchor1_argmin,big,2009,-0.2708937700469135
confirmation_seed701_fbig0.10_sfm,0.1,sfm,anchor1_argmin,misfit,540,0.0
confirmation_seed701_fbig0.10_sfm,0.1,sfm,anchor1_argmin,twosheet_back,1000,0.07220404483705291
