key,phase,seed,fbig,calibration,arm,group,n,moved,harm_count,benefit_count,move_rate,harm_rate,harm_among_moved,harm_sum,gain_sum,harm_p95_moved,mae,rmse,identity_mae,delta_mae,weighted_delta,half_error_rate
confirmation_seed703_fbig0.01_exch,confirmation,703,0.01,exch,anchor1_argmin,mm,2675,102,48,54,0.038130841121495326,0.01794392523364486,0.47058823529411764,67.6889700507542,26.143502924882327,6.307256164433373,0.22288118921545816,0.6429874784456074,0.20735017346746865,0.015531015747989483,0.0020772733562935933,0.013084112149532711
confirmation_seed703_fbig0.01_exch,confirmation,703,0.01,exch,anchor1_argmin,single,17325,962,487,475,0.05552669552669553,0.02810966810966811,0.5062370062370062,1168.4157480735387,569.617858836909,6.050000000000001,0.24050870873276342,0.7389281310420074,0.20594606000337642,0.034562648729387,0.029939894461831488,0.018066378066378067
confirmation_seed703_fbig0.01_exch,confirmation,703,0.01,exch,anchor2_projection,ALL,20000,985,239,746,0.04925,0.01195,0.24263959390862944,708.353854806963,575.1990641238187,5.541533703419999,0.21279159971335593,0.6163761243565712,0.20613386017919874,0.006657739534157206,0.006657739534157206,0.0309
confirmation_seed703_fbig0.01_exch,confirmation,703,0.01,exch,anchor2_projection,base,17266,728,115,613,0.04216379010772617,0.006660488821962238,0.15796703296703296,70.94961481947101,136.3673484853913,0.23113849034005443,0.15618846879606327,0.24936073208655937,0.15997728691641078,-0.003788818120347521,-0.0032708866832960146,0.028726977875593654
confirmation_seed703_fbig0.01_exch,confirmation,703,0.01,exch,anchor2_projection,base:mm,2646,90,15,75,0.034013605442176874,0.005668934240362812,0.16666666666666666,20.27311723211619,15.496189800806652,0.27077686108049775,0.1643116126160866,0.3272959795886255,0.16250627345081464,0.0018053391652719322,0.00023884637156547663,0.021541950113378686
confirmation_seed703_fbig0.01_exch,confirmation,703,0.01,exch,anchor2_projection,base:single,14620,638,100,538,0.043638850889192886,0.006839945280437756,0.15673981191222572,50.67649758735482,120.87115868458463,0.21885445094874248,0.15471830200072934,0.23248004229306682,0.1595195784095686,-0.004801276408839248,-0.0035097330548614905,0.03002735978112175
confirmation_seed703_fbig0.01_exch,confirmation,703,0.01,exch,anchor2_projection,big,194,98,1,97,0.5051546391752577,0.005154639175257732,0.01020408163265306,3.8372309968431733,430.98611933326674,0.0,2.747620630834051,3.772132548998253,4.949419024320771,-2.201798393486719,-0.021357444416821175,0.4896907216494845
confirmation_seed703_fbig0.01_exch,confirmation,703,0.01,exch,anchor2_projection,big:mm,29,5,1,4,0.1724137931034483,0.034482758620689655,0.2,3.8372309968431733,12.114012703718654,3.069784797474538,4.01356319888785,4.440520632848123,4.298969464642176,-0.285406265754327,-0.00041383908534377414,0.10344827586206896
confirmation_seed703_fbig0.01_exch,confirmation,703,0.01,exch,anchor2_projection,big:single,165,93,0,93,0.5636363636363636,0.0,0.0,0.0,418.87210662954806,0.0,2.5251216340245954,3.6420061141906923,5.063740462082463,-2.538618828057867,-0.0209436053314774,0.5575757575757576
confirmation_seed703_fbig0.01_exch,confirmation,703,0.01,exch,anchor2_projection,misfit,540,0,0,0,0.0,0.0,,0.0,0.0,,0.1605468646992257,0.1989899490440534,0.1605468646992257,0.0,0.0,0.0
confirmation_seed703_fbig0.01_exch,confirmation,703,0.01,exch,anchor2_projection,misfit:single,540,0,0,0,0.0,0.0,,0.0,0.0,,0.1605468646992257,0.1989899490440534,0.1605468646992257,0.0,0.0,0.0
confirmation_seed703_fbig0.01_exch,confirmation,703,0.01,exch,anchor2_projection,twosheet_back,1000,116,116,0,0.116,0.116,1.0,626.626495016828,0.0,5.89816253718114,0.7870791292412297,1.9143240310708087,0.16045263422440179,0.626626495016828,0.031331324750841404,0.0
confirmation_seed703_fbig0.01_exch,confirmation,703,0.01,exch,anchor2_projection,twosheet_back:single,1000,116,116,0,0.116,0.116,1.0,626.626495016828,0.0,5.89816253718114,0.7870791292412297,1.9143240310708087,0.16045263422440179,0.626626495016828,0.031331324750841404,0.0
confirmation_seed703_fbig0.01_exch,confirmation,703,0.01,exch,anchor2_projection,twosheet_front,1000,43,7,36,0.043,0.007,0.16279069767441862,6.940513973820835,7.845596305160809,0.11549845856785809,0.1522690534736736,0.2798848191175434,0.15317413580501357,-0.0009050823313399748,-4.5254116566998733e-05,0.027
confirmation_seed703_fbig0.01_exch,confirmation,703,0.01,exch,anchor2_projection,twosheet_front:single,1000,43,7,36,0.043,0.007,0.16279069767441862,6.940513973820835,7.845596305160809,0.11549845856785809,0.1522690534736736,0.2798848191175434,0.15317413580501357,-0.0009050823313399748,-4.5254116566998733e-05,0.027
confirmation_seed703_fbig0.01_exch,confirmation,703,0.01,exch,anchor2_projection,mm,2675,95,16,79,0.03551401869158879,0.005981308411214953,0.16842105263157894,24.11034822895936,27.610202504525308,0.2819095962397602,0.20604181672893934,0.5654458285610274,0.20735017346746865,-0.0013083567385293257,-0.0001749927137782973,0.022429906542056073
confirmation_seed703_fbig0.01_exch,confirmation,703,0.01,exch,anchor2_projection,single,17325,890,223,667,0.05137085137085137,0.012871572871572872,0.250561797752809,684.2435065780036,547.5888616192935,5.562057152234432,0.21383377399810716,0.623869390008868,0.20594606000337642,0.00788771399473074,0.006832732247935503,0.032207792207792206
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,identity,ALL,20000,0,0,0,0.0,0.0,,0.0,0.0,,0.20613386017919874,0.551660951853604,0.20613386017919874,0.0,0.0,0.0
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,identity,base,17266,0,0,0,0.0,0.0,,0.0,0.0,,0.15997728691641078,0.20046386413684802,0.15997728691641078,0.0,0.0,0.0
