case,method,ok,seconds,sigma_mm,n_points,n_stations,error,independent_real_quality,output_finite,output_n,identifiable,k_method,note,false_split,false_merge,gap_err_mm,surface_err_mm,coverage,layer_match_failed,k_info,split,family,seed,gap_mm,bias_rms_mm,noise_protocol,k_hat,n_true_layers,patch_id,scene,perturbation,perturb_seed,actual_point_delta_rms_mm,recovery_vs_unperturbed_input_rms_mm,stability_vs_own_unperturbed_output_rms_mm,recovery_note,stability_note
dual_g2_s912127_b0,identity,True,0.00027992700051981956,1.0,768,8,,本轮尚未测得,True,768,True,,,0,0,0.06858270472294081,1.007544598809676,1.0,False,,synthetic_exact,true_bilayer,912127,2.0,0.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g2_s912127_b0,xyz_mixture,True,0.01973343399731675,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,0.71776400969827,0.9765362045637695,1.0,False,2,synthetic_exact,true_bilayer,912127,2.0,0.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g2_s912127_b0,fast,True,0.004537095999694429,1.0,768,8,,本轮尚未测得,True,768,True,1,,0,1,,,1.0,True,1,synthetic_exact,true_bilayer,912127,2.0,0.0,supplied-noise sigma=1 mm,1,2,,,,,,,,,
dual_g2_s912127_b0,open3d_icp_then_xyz,True,0.021332556003471836,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,0.7121573287920424,1.0299657106412134,1.0,False,2,synthetic_exact,true_bilayer,912127,2.0,0.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g2_s912127_b4,identity,True,0.0002842309986590408,1.0,768,8,,本轮尚未测得,True,768,True,,,0,0,5.163088613008398,2.581544306504199,1.0,False,,synthetic_exact,true_bilayer,912127,2.0,4.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g2_s912127_b4,xyz_mixture,True,0.00647680000110995,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,5.160257445599608,2.580128722799804,1.0,False,2,synthetic_exact,true_bilayer,912127,2.0,4.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g2_s912127_b4,fast,True,0.004762074000609573,1.0,768,8,,本轮尚未测得,True,768,True,1,,0,1,,,1.0,True,1,synthetic_exact,true_bilayer,912127,2.0,4.0,supplied-noise sigma=1 mm,1,2,,,,,,,,,
dual_g2_s912127_b4,open3d_icp_then_xyz,True,0.021182081996812485,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,0.7200206489529144,1.040640353739291,1.0,False,2,synthetic_exact,true_bilayer,912127,2.0,4.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g4_s912101_b0,identity,True,0.00025527099933242425,1.0,768,8,,本轮尚未测得,True,768,True,,,0,0,1.5826388397644147,1.9590811261939325,1.0,False,,synthetic_exact,true_bilayer,912101,4.0,0.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g4_s912101_b0,xyz_mixture,True,0.019887176000338513,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,1.873463834406711,1.8525606866237774,1.0,False,2,synthetic_exact,true_bilayer,912101,4.0,0.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
