case,goal_id,family,goal_mask,method,budget,allowed_bits,costs,removed_bit,error,error_count,mean_query_cost,max_query_cost,mean_query_count,runtime_seconds,counts
primary,mux_01,multiplexer,6939,fixed_prefix,1,0|1|2|3,1|1|1|1,,0.5,8,1.0,1,1.0,5.689998943125829e-06,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 2, ""tree_nodes"": 3}"
primary,mux_01,multiplexer,6939,adaptive,2,0|1|2|3,1|1|1|1,,0.0,0,2.0,2,2.0,4.444299884198699e-05,"{""cache_hits"": 24, ""query_candidates"": 28, ""states"": 33, ""terminal_evaluations"": 33}"
primary,mux_01,multiplexer,6939,open_loop,2,0|1|2|3,1|1|1|1,,0.25,4,1.0,1,1.0,2.447099905111827e-05,"{""subsets_evaluated"": 11, ""terminal_evaluations"": 33, ""tree_nodes"": 55}"
primary,mux_01,multiplexer,6939,fixed_prefix,2,0|1|2|3,1|1|1|1,,0.25,4,2.0,2,2.0,6.83699909131974e-06,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 4, ""tree_nodes"": 7}"
primary,mux_01,multiplexer,6939,adaptive,3,0|1|2|3,1|1|1|1,,0.0,0,2.5,3,2.5,8.284799878310878e-05,"{""cache_hits"": 88, ""query_candidates"": 76, ""states"": 65, ""terminal_evaluations"": 65}"
primary,mux_01,multiplexer,6939,open_loop,3,0|1|2|3,1|1|1|1,,0.0,0,3.0,3,3.0,4.229499973007478e-05,"{""subsets_evaluated"": 15, ""terminal_evaluations"": 65, ""tree_nodes"": 115}"
primary,mux_01,multiplexer,6939,fixed_prefix,3,0|1|2|3,1|1|1|1,,0.0,0,3.0,3,3.0,8.858000001055188e-06,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 8, ""tree_nodes"": 15}"
primary,mux_01,multiplexer,6939,adaptive,4,0|1|2|3,1|1|1|1,,0.0,0,2.5,3,2.5,0.00011100400115537923,"{""cache_hits"": 136, ""query_candidates"": 108, ""states"": 81, ""terminal_evaluations"": 81}"
primary,mux_01,multiplexer,6939,open_loop,4,0|1|2|3,1|1|1|1,,0.0,0,3.0,3,3.0,4.745100159198046e-05,"{""subsets_evaluated"": 16, ""terminal_evaluations"": 81, ""tree_nodes"": 146}"
primary,mux_01,multiplexer,6939,fixed_prefix,4,0|1|2|3,1|1|1|1,,0.0,0,4.0,4,4.0,1.2437998520908877e-05,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 16, ""tree_nodes"": 31}"
nonunit_costs,mux_01,multiplexer,6939,adaptive,0,0|1|2|3,1|2|3|4,,0.5,8,0.0,0,0.0,8.487999366479926e-06,"{""cache_hits"": 0, ""query_candidates"": 0, ""states"": 1, ""terminal_evaluations"": 1}"
nonunit_costs,mux_01,multiplexer,6939,open_loop,0,0|1|2|3,1|2|3|4,,0.5,8,0.0,0,0.0,9.45899955695495e-06,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 1, ""tree_nodes"": 1}"
nonunit_costs,mux_01,multiplexer,6939,fixed_prefix,0,0|1|2|3,1|2|3|4,,0.5,8,0.0,0,0.0,4.8080000851769e-06,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 1, ""tree_nodes"": 1}"
nonunit_costs,mux_01,multiplexer,6939,adaptive,1,0|1|2|3,1|2|3|4,,0.5,8,0.0,0,0.0,1.0425999789731577e-05,"{""cache_hits"": 0, ""query_candidates"": 1, ""states"": 3, ""terminal_evaluations"": 3}"
nonunit_costs,mux_01,multiplexer,6939,open_loop,1,0|1|2|3,1|2|3|4,,0.5,8,0.0,0,0.0,1.0483998266863637e-05,"{""subsets_evaluated"": 2, ""terminal_evaluations"": 3, ""tree_nodes"": 4}"
