family,target_id,target_mask,regime,m,rep,method,pred_mask,budget,canonical_adaptive_error,canonical_batch_error,model_error,model_objective_tied,min_true_error,max_true_error,better_or_equal_batch_optimum_exists
out_of_grammar,out_of_grammar_41,9145,uniform,8,3,exact,13209,2,0.375,0.25,0.25,1,0.25,0.375,1
out_of_grammar,out_of_grammar_41,9145,uniform,32,3,exact,13209,2,0.375,0.25,0.25,1,0.25,0.375,1
out_of_grammar,out_of_grammar_41,9145,uniform,32,4,exact,13209,2,0.375,0.25,0.25,1,0.25,0.375,1
out_of_grammar,out_of_grammar_41,9145,shift_x3,8,4,exact,14649,2,0.375,0.25,0.25,1,0.25,0.5,1
out_of_grammar,out_of_grammar_41,9145,shift_x3,8,6,exact,14649,2,0.375,0.25,0.25,1,0.25,0.5,1
out_of_grammar,out_of_grammar_45,6919,shift_x3,32,0,exact,1799,2,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_45,6919,shift_x3,32,1,exact,1799,2,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_45,6919,shift_x3,32,2,exact,1799,2,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_45,6919,shift_x3,32,3,exact,1799,2,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_45,6919,shift_x3,32,4,exact,1799,2,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_45,6919,shift_x3,32,5,exact,1799,2,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_45,6919,shift_x3,32,6,exact,1799,2,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_45,6919,shift_x3,8,7,exact,1799,2,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_45,6919,shift_x3,32,7,exact,1799,2,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_46,6878,uniform,32,1,exact,23135,2,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_47,9394,shift_x3,8,1,exact,37779,2,0.5,0.375,0.25,1,0.375,0.625,1
out_of_grammar,out_of_grammar_47,9394,shift_x3,32,4,exact,62194,2,0.5,0.375,0.125,1,0.375,0.5,1
