case,goal_id,method,budget,world,truth,guess,error,queried_bits,observations,total_cost
primary,mux_00,fixed_prefix,2,11,0,0,0,0|1,1|1,2
primary,mux_00,fixed_prefix,2,12,0,0,0,0|1,0|0,2
primary,mux_00,fixed_prefix,2,13,1,0,1,0|1,1|0,2
primary,mux_00,fixed_prefix,2,14,1,1,0,0|1,0|1,2
primary,mux_00,fixed_prefix,2,15,1,0,1,0|1,1|1,2
primary,mux_00,adaptive,3,0,0,0,0,0|1,0|0,2
primary,mux_00,adaptive,3,1,0,0,0,0|1|2,1|0|0,3
primary,mux_00,adaptive,3,2,1,1,0,0|1,0|1,2
primary,mux_00,adaptive,3,3,0,0,0,0|1|2,1|1|0,3
primary,mux_00,adaptive,3,4,0,0,0,0|1,0|0,2
primary,mux_00,adaptive,3,5,1,1,0,0|1|2,1|0|1,3
primary,mux_00,adaptive,3,6,1,1,0,0|1,0|1,2
primary,mux_00,adaptive,3,7,1,1,0,0|1|2,1|1|1,3
primary,mux_00,adaptive,3,8,0,0,0,0|1,0|0,2
primary,mux_00,adaptive,3,9,0,0,0,0|1|2,1|0|0,3
primary,mux_00,adaptive,3,10,1,1,0,0|1,0|1,2
primary,mux_00,adaptive,3,11,0,0,0,0|1|2,1|1|0,3
primary,mux_00,adaptive,3,12,0,0,0,0|1,0|0,2
primary,mux_00,adaptive,3,13,1,1,0,0|1|2,1|0|1,3
primary,mux_00,adaptive,3,14,1,1,0,0|1,0|1,2
primary,mux_00,adaptive,3,15,1,1,0,0|1|2,1|1|1,3
primary,mux_00,open_loop,3,0,0,0,0,0|1|2,0|0|0,3
primary,mux_00,open_loop,3,1,0,0,0,0|1|2,1|0|0,3
primary,mux_00,open_loop,3,2,1,1,0,0|1|2,0|1|0,3
primary,mux_00,open_loop,3,3,0,0,0,0|1|2,1|1|0,3
primary,mux_00,open_loop,3,4,0,0,0,0|1|2,0|0|1,3
primary,mux_00,open_loop,3,5,1,1,0,0|1|2,1|0|1,3
primary,mux_00,open_loop,3,6,1,1,0,0|1|2,0|1|1,3
primary,mux_00,open_loop,3,7,1,1,0,0|1|2,1|1|1,3
primary,mux_00,open_loop,3,8,0,0,0,0|1|2,0|0|0,3
primary,mux_00,open_loop,3,9,0,0,0,0|1|2,1|0|0,3
primary,mux_00,open_loop,3,10,1,1,0,0|1|2,0|1|0,3
primary,mux_00,open_loop,3,11,0,0,0,0|1|2,1|1|0,3
primary,mux_00,open_loop,3,12,0,0,0,0|1|2,0|0|1,3
primary,mux_00,open_loop,3,13,1,1,0,0|1|2,1|0|1,3
primary,mux_00,open_loop,3,14,1,1,0,0|1|2,0|1|1,3
primary,mux_00,open_loop,3,15,1,1,0,0|1|2,1|1|1,3
primary,mux_00,fixed_prefix,3,0,0,0,0,0|1|2,0|0|0,3
primary,mux_00,fixed_prefix,3,1,0,0,0,0|1|2,1|0|0,3
primary,mux_00,fixed_prefix,3,2,1,1,0,0|1|2,0|1|0,3
primary,mux_00,fixed_prefix,3,3,0,0,0,0|1|2,1|1|0,3
primary,mux_00,fixed_prefix,3,4,0,0,0,0|1|2,0|0|1,3
primary,mux_00,fixed_prefix,3,5,1,1,0,0|1|2,1|0|1,3
primary,mux_00,fixed_prefix,3,6,1,1,0,0|1|2,0|1|1,3
primary,mux_00,fixed_prefix,3,7,1,1,0,0|1|2,1|1|1,3
primary,mux_00,fixed_prefix,3,8,0,0,0,0|1|2,0|0|0,3
primary,mux_00,fixed_prefix,3,9,0,0,0,0|1|2,1|0|0,3
primary,mux_00,fixed_prefix,3,10,1,1,0,0|1|2,0|1|0,3
primary,mux_00,fixed_prefix,3,11,0,0,0,0|1|2,1|1|0,3
primary,mux_00,fixed_prefix,3,12,0,0,0,0|1|2,0|0|1,3
primary,mux_00,fixed_prefix,3,13,1,1,0,0|1|2,1|0|1,3
primary,mux_00,fixed_prefix,3,14,1,1,0,0|1|2,0|1|1,3
primary,mux_00,fixed_prefix,3,15,1,1,0,0|1|2,1|1|1,3
primary,mux_00,adaptive,4,0,0,0,0,0|1,0|0,2
primary,mux_00,adaptive,4,1,0,0,0,0|1|2,1|0|0,3
primary,mux_00,adaptive,4,2,1,1,0,0|1,0|1,2
primary,mux_00,adaptive,4,3,0,0,0,0|1|2,1|1|0,3
primary,mux_00,adaptive,4,4,0,0,0,0|1,0|0,2
primary,mux_00,adaptive,4,5,1,1,0,0|1|2,1|0|1,3
primary,mux_00,adaptive,4,6,1,1,0,0|1,0|1,2
primary,mux_00,adaptive,4,7,1,1,0,0|1|2,1|1|1,3
primary,mux_00,adaptive,4,8,0,0,0,0|1,0|0,2
primary,mux_00,adaptive,4,9,0,0,0,0|1|2,1|0|0,3
primary,mux_00,adaptive,4,10,1,1,0,0|1,0|1,2
primary,mux_00,adaptive,4,11,0,0,0,0|1|2,1|1|0,3
primary,mux_00,adaptive,4,12,0,0,0,0|1,0|0,2
primary,mux_00,adaptive,4,13,1,1,0,0|1|2,1|0|1,3
primary,mux_00,adaptive,4,14,1,1,0,0|1,0|1,2
primary,mux_00,adaptive,4,15,1,1,0,0|1|2,1|1|1,3
primary,mux_00,open_loop,4,0,0,0,0,0|1|2,0|0|0,3
primary,mux_00,open_loop,4,1,0,0,0,0|1|2,1|0|0,3
primary,mux_00,open_loop,4,2,1,1,0,0|1|2,0|1|0,3
primary,mux_00,open_loop,4,3,0,0,0,0|1|2,1|1|0,3
primary,mux_00,open_loop,4,4,0,0,0,0|1|2,0|0|1,3
primary,mux_00,open_loop,4,5,1,1,0,0|1|2,1|0|1,3
primary,mux_00,open_loop,4,6,1,1,0,0|1|2,0|1|1,3
primary,mux_00,open_loop,4,7,1,1,0,0|1|2,1|1|1,3
primary,mux_00,open_loop,4,8,0,0,0,0|1|2,0|0|0,3
primary,mux_00,open_loop,4,9,0,0,0,0|1|2,1|0|0,3
primary,mux_00,open_loop,4,10,1,1,0,0|1|2,0|1|0,3
primary,mux_00,open_loop,4,11,0,0,0,0|1|2,1|1|0,3
primary,mux_00,open_loop,4,12,0,0,0,0|1|2,0|0|1,3
primary,mux_00,open_loop,4,13,1,1,0,0|1|2,1|0|1,3
primary,mux_00,open_loop,4,14,1,1,0,0|1|2,0|1|1,3
primary,mux_00,open_loop,4,15,1,1,0,0|1|2,1|1|1,3
primary,mux_00,fixed_prefix,4,0,0,0,0,0|1|2|3,0|0|0|0,4
primary,mux_00,fixed_prefix,4,1,0,0,0,0|1|2|3,1|0|0|0,4
primary,mux_00,fixed_prefix,4,2,1,1,0,0|1|2|3,0|1|0|0,4
primary,mux_00,fixed_prefix,4,3,0,0,0,0|1|2|3,1|1|0|0,4
primary,mux_00,fixed_prefix,4,4,0,0,0,0|1|2|3,0|0|1|0,4
