key,seed,fbig,calibration,alpha,support,arm,subset,eligible_count,n_moved,n_dmg,dmg_rate_N,dmg_rate_moved,dmg_mag_mean_moved,dmg_mag_p95_moved,e_after_mean,e_after_rmse,big_repair_cov
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,eligible_no_bh,identity,base,8491,0,0,0.0,nan,nan,nan,0.15991600295170863,0.20008070010310489,nan
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,eligible_no_bh,identity,big,8491,0,0,0.0,nan,nan,nan,4.897638271001144,5.185929345487895,0.0
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,eligible_no_bh,identity,twosheet_back,8491,0,0,0.0,nan,nan,nan,0.16092870138098506,0.1990959968393023,nan
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,eligible_no_bh,identity,twosheet_front,8491,0,0,0.0,nan,nan,nan,0.15538293725503008,0.194595392197561,nan
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,eligible_no_bh,identity,misfit,8491,0,0,0.0,nan,nan,nan,0.1633295264038677,0.20450697983783359,nan
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,eligible_no_bh,identity,stratum_flat,8491,0,0,0.0,nan,nan,nan,0.2059326751584591,0.5411915657596348,0.0
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,eligible_no_bh,identity,stratum_medium,8491,0,0,0.0,nan,nan,nan,0.2064962988150283,0.5598773843806678,0.0
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,eligible_no_bh,identity,stratum_sharp,8491,0,0,0.0,nan,nan,nan,0.20209280818627617,0.5280569675533303,0.0
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,eligible_no_bh,projection,ALL,8491,8491,4322,0.2161,0.5090095395124249,1.1173125278892515,6.12418208528414,0.6180415073289836,1.7439594812677297,0.7315789473684211
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,eligible_no_bh,projection,base,8491,7202,3383,0.19588882455124493,0.4697306303804499,0.7016411959955259,6.008438829735912,0.4205543443955732,1.371335406680209,nan
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,eligible_no_bh,projection,big,8491,142,3,0.015789473684210527,0.02112676056338028,0.12042253521126757,0.0,1.616908076014844,2.790332798658382,0.7315789473684211
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,eligible_no_bh,projection,twosheet_back,8491,757,757,0.757,1.0,5.651499584497713,6.303556815485793,4.439113886845754,5.100537090030655,nan
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,eligible_no_bh,projection,twosheet_front,8491,390,179,0.179,0.45897435897435895,0.3553733212386858,1.2422331862721676,0.2633322533214582,0.9128053098620199,nan
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,eligible_no_bh,projection,misfit,8491,0,0,0.0,nan,nan,nan,0.1633295264038677,0.20450697983783359,nan
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,eligible_no_bh,projection,stratum_flat,8491,969,782,0.11729413529323533,0.8070175438596491,2.96793200455318,9.689656274096057,0.6233989889760199,1.813683579287911,0.2727272727272727
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,eligible_no_bh,projection,stratum_medium,8491,3431,1997,0.29957995799579956,0.5820460507140776,1.1002136216331155,6.0437906948857405,0.6987666375320234,1.8190921667877518,1.0
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,eligible_no_bh,projection,stratum_sharp,8491,4091,1543,0.23143842807859608,0.3771693962356392,0.6933125460944471,5.809935629042366,0.5319710036430296,1.589238727536503,0.9508196721311475
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,eligible_no_bh,argmin,ALL,8491,8491,5619,0.28095,0.6617595100694853,1.249341970371397,6.350000000000001,0.6778406201606557,1.8241055374487498,0.7315789473684211
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,eligible_no_bh,argmin,base,8491,7202,4615,0.26722640416907933,0.6407942238267148,0.8264864631521843,6.25,0.4775429854421402,1.44389307743004,nan
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,eligible_no_bh,argmin,big,8491,142,3,0.015789473684210527,0.02112676056338028,0.123943661971831,0.0,1.539695376490792,2.779562440048391,0.7315789473684211
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,eligible_no_bh,argmin,twosheet_back,8491,757,757,0.757,1.0,5.8818166254488355,6.600000000000001,4.6134638868457545,5.299307334324313,nan
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,eligible_no_bh,argmin,twosheet_front,8491,390,244,0.244,0.6256410256410256,0.4760819931711114,1.5415020702294944,0.31544109199026116,0.984417423536667,nan
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,eligible_no_bh,argmin,misfit,8491,0,0,0.0,nan,nan,nan,0.1633295264038677,0.20450697983783359,nan
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,eligible_no_bh,argmin,stratum_flat,8491,969,924,0.1385930703464827,0.9535603715170279,3.4042833817823306,10.129999999999995,0.6881021264614811,1.938437225548985,0.2727272727272727
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,eligible_no_bh,argmin,stratum_medium,8491,3431,2597,0.38958895889588957,0.7569221801224133,1.2445296901793688,6.250055457235495,0.7798351263680527,1.8953737369859216,1.0
fbig0.01_exch_atgt0.5_seed101,101,0.01,exch,0.5,eligible_no_bh,argmin,stratum_sharp,8491,4091,2098,0.31468426578671066,0.5128330481544855,0.7429554403498022,5.922231298199457,0.5655999060634439,1.6223878436133008,0.9508196721311475
fbig0.01_sfm_atgt0.2_seed101,101,0.01,sfm,0.2,original_bh,identity,ALL,3454,0,0,0.0,nan,nan,nan,0.20484051126801642,0.5431980601729477,0.0
fbig0.01_sfm_atgt0.2_seed101,101,0.01,sfm,0.2,original_bh,identity,base,3454,0,0,0.0,nan,nan,nan,0.15991600295170863,0.20008070010310489,nan
fbig0.01_sfm_atgt0.2_seed101,101,0.01,sfm,0.2,original_bh,identity,big,3454,0,0,0.0,nan,nan,nan,4.897638271001144,5.185929345487895,0.0
fbig0.01_sfm_atgt0.2_seed101,101,0.01,sfm,0.2,original_bh,identity,twosheet_back,3454,0,0,0.0,nan,nan,nan,0.16092870138098506,0.1990959968393023,nan
fbig0.01_sfm_atgt0.2_seed101,101,0.01,sfm,0.2,original_bh,identity,twosheet_front,3454,0,0,0.0,nan,nan,nan,0.15538293725503008,0.194595392197561,nan
fbig0.01_sfm_atgt0.2_seed101,101,0.01,sfm,0.2,original_bh,identity,misfit,3454,0,0,0.0,nan,nan,nan,0.1633295264038677,0.20450697983783359,nan
fbig0.01_sfm_atgt0.2_seed101,101,0.01,sfm,0.2,original_bh,identity,stratum_flat,3454,0,0,0.0,nan,nan,nan,0.2059326751584591,0.5411915657596348,0.0
fbig0.01_sfm_atgt0.2_seed101,101,0.01,sfm,0.2,original_bh,identity,stratum_medium,3454,0,0,0.0,nan,nan,nan,0.2064962988150283,0.5598773843806678,0.0
fbig0.01_sfm_atgt0.2_seed101,101,0.01,sfm,0.2,original_bh,identity,stratum_sharp,3454,0,0,0.0,nan,nan,nan,0.20209280818627617,0.5280569675533303,0.0
fbig0.01_sfm_atgt0.2_seed101,101,0.01,sfm,0.2,original_bh,projection,ALL,3454,3454,2376,0.1188,0.6878980891719745,2.7961698655572715,8.55,0.6451409605013947,1.8239495766231166,0.7105263157894737
fbig0.01_sfm_atgt0.2_seed101,101,0.01,sfm,0.2,original_bh,projection,base,3454,2383,1497,0.08668210770121598,0.6281997482165338,2.065657437369857,9.16183911615122,0.43310108924534857,1.435087850054118,nan
fbig0.01_sfm_atgt0.2_seed101,101,0.01,sfm,0.2,original_bh,projection,big,3454,145,8,0.042105263157894736,0.05517241379310345,0.29150284995171977,2.5199999999999467,1.782878542406013,3.1221499188308375,0.7105263157894737
fbig0.01_sfm_atgt0.2_seed101,101,0.01,sfm,0.2,original_bh,projection,twosheet_back,3454,794,793,0.793,0.9987405541561712,5.578650859847898,6.305620862085406,4.590348128372636,5.184272611456909,nan
fbig0.01_sfm_atgt0.2_seed101,101,0.01,sfm,0.2,original_bh,projection,twosheet_front,3454,132,78,0.078,0.5909090909090909,1.9984268668198177,10.400809365404179,0.40587040307285904,1.4890662142336095,nan
fbig0.01_sfm_atgt0.2_seed101,101,0.01,sfm,0.2,original_bh,projection,misfit,3454,0,0,0.0,nan,nan,nan,0.1633295264038677,0.20450697983783359,nan
fbig0.01_sfm_atgt0.2_seed101,101,0.01,sfm,0.2,original_bh,projection,stratum_flat,3454,1091,1019,0.1528423578821059,0.9340054995417049,4.031642502265019,10.646264589184316,0.8523736246958474,2.2738968182215897,0.2727272727272727
fbig0.01_sfm_atgt0.2_seed101,101,0.01,sfm,0.2,original_bh,projection,stratum_medium,3454,1139,843,0.12646264626462647,0.7401229148375769,2.700349869623208,6.552975504789974,0.6157608800383565,1.6787136665919424,0.9682539682539683
fbig0.01_sfm_atgt0.2_seed101,101,0.01,sfm,0.2,original_bh,projection,stratum_sharp,3454,1224,514,0.07709614519274036,0.4199346405228758,1.7841096766036328,5.949999999999999,0.4672839699782505,1.4112453921316128,0.9180327868852459
fbig0.01_sfm_atgt0.2_seed101,101,0.01,sfm,0.2,original_bh,argmin,ALL,3454,3454,2699,0.13495,0.7814128546612623,3.001199064642934,8.884608858051621,0.6836083350230898,1.906428933129074,0.7210526315789474
fbig0.01_sfm_atgt0.2_seed101,101,0.01,sfm,0.2,original_bh,argmin,base,3454,2383,1801,0.10428488708743486,0.7557700377675199,2.2588361305408404,9.55,0.46403136207665613,1.500517205673969,nan
fbig0.01_sfm_atgt0.2_seed101,101,0.01,sfm,0.2,original_bh,argmin,big,3454,145,8,0.042105263157894736,0.05517241379310345,0.30874422926206463,2.6799999999999424,1.7072778790779535,3.1510266048053204,0.7210526315789474
fbig0.01_sfm_atgt0.2_seed101,101,0.01,sfm,0.2,original_bh,argmin,twosheet_back,3454,794,794,0.794,1.0,5.8571403362615255,6.6922320979280014,4.8114981283726355,5.43039365892525,nan
fbig0.01_sfm_atgt0.2_seed101,101,0.01,sfm,0.2,original_bh,argmin,twosheet_front,3454,132,96,0.096,0.7272727272727273,2.181800984569861,10.695809365404177,0.43426620774240976,1.5514060339012445,nan
fbig0.01_sfm_atgt0.2_seed101,101,0.01,sfm,0.2,original_bh,argmin,misfit,3454,0,0,0.0,nan,nan,nan,0.1633295264038677,0.20450697983783359,nan
fbig0.01_sfm_atgt0.2_seed101,101,0.01,sfm,0.2,original_bh,argmin,stratum_flat,3454,1091,1064,0.15959202039898004,0.9752520623281393,4.3625761418825,10.88607234437887,0.9071034851928441,2.3821506845165152,0.2878787878787879
fbig0.01_sfm_atgt0.2_seed101,101,0.01,sfm,0.2,original_bh,argmin,stratum_medium,3454,1139,948,0.1422142214221422,0.8323090430201932,2.893718124014375,6.850000000000001,0.6520308696158533,1.755272967361548,0.9841269841269841
fbig0.01_sfm_atgt0.2_seed101,101,0.01,sfm,0.2,original_bh,argmin,stratum_sharp,3454,1224,687,0.10304484775761212,0.5612745098039216,1.8877663849922488,6.150000000000002,0.4916859138775798,1.4655052843508094,0.9180327868852459
fbig0.01_sfm_atgt0.2_seed101,101,0.01,sfm,0.2,eligible_no_bh,identity,ALL,7689,0,0,0.0,nan,nan,nan,0.20484051126801642,0.5431980601729477,0.0
fbig0.01_sfm_atgt0.2_seed101,101,0.01,sfm,0.2,eligible_no_bh,identity,base,7689,0,0,0.0,nan,nan,nan,0.15991600295170863,0.20008070010310489,nan
