case,seed,gap,sigma,method,status,seconds,dependence,surface_mae_mm,matched_rms_mm,balanced_source_mae_mm,worst_source_mae_mm,coverage_1mm,model_k,slope_error,slope_angle_deg,single_false_split,actual_x_layer_correlation,cov_u_layer,ols_slope,label_ols_slope,noise_ols_slope,ols_predicted_slope,ols_identity_error,alpha,beta,assignment_error,fitted_gap_mm,fitted_perpendicular_gap_mm,source_gap_from_assignment_mm,source_gap_from_slope_mm,fitted_gap_error_mm,source_gap_mm,source_gap_error_mm,source_gap_relative_error,gap_identity_error_mm,balanced_midplane_crossing,counterfactual_source_gap_mm,counterfactual_geometry_mse_mm2,assignment_delta_mse_mm2,geometry_assignment_cross_mm2,total_mse_mm2,decomposition_error_mm2
s9161101_g2_n1_l0,9161101,2.0,1.0,spatial_free,OK,0.1095163100035279,0.0,0.10020679315591137,0.7856659553088831,0.39187859374776257,0.39537442376644694,0.8567708333333334,2,0.1838664455738653,0.21069447678974534,,-0.006180518035991964,"[-0.002085762234571915, -0.00337153425893306]","[-0.063615610517606, 0.029320515673808528]","[-0.004574020286768968, -0.010132478786131733]","[-0.05446756994406797, 0.049585473246071966]","[-0.0636156105176059, 0.0293205156738085]",9.71445146547012e-17,0.15625,0.15885416666666666,0.15755208333333331,1.99043581340329,1.9904223554589002,1.3632411951173575,1.8415434863066705e-05,0.00956418659670999,1.3632596105522206,0.6367403894477794,0.3183701947238897,0.0,0.15755208333333331,1.990454228838153,0.014553410248933652,0.6241953151050629,-0.021477732022576718,0.6172709933314199,8.326672684688674e-17
s9161101_g2_n1_l0,9161101,2.0,1.0,spatial_oracle_slope,OK,0.08865902300021844,0.0,0.05938697431454837,0.795141928478195,0.36705449842638316,0.41498421387911905,0.8528645833333334,2,0.0,0.0,,-0.006180518035991964,"[-0.002085762234571915, -0.00337153425893306]","[-0.063615610517606, 0.029320515673808528]","[-0.004574020286768968, -0.010132478786131733]","[-0.05446756994406797, 0.049585473246071966]","[-0.0636156105176059, 0.0293205156738085]",9.71445146547012e-17,0.12760416666666666,0.19270833333333334,0.16015625,1.986671888696598,1.986671888696598,1.350316049348469,0.0,0.013328111303402057,1.3503160493484685,0.6496839506515315,0.32484197532576575,4.440892098500626e-16,0.16015625,1.9866718886965975,0.003519879585706674,0.6321151286204283,-0.003384321782112012,0.632250686424023,1.1319070680748666e-16
s9161101_g2_n1_l0.5,9161101,2.0,1.0,constant_free,OK,0.9713893879961688,0.5,0.3562033041248498,0.8003161394387848,0.5737806751041148,0.6440871205793959,0.7864583333333334,2,0.617545766370852,0.7076193415580276,,0.479325489999105,"[0.16175974235262539, 0.010413169241969411]","[0.6556720248396029, 0.11176036304847514]","[0.3550697973918354, 0.031087444901201577]","[-0.05446756994406797, 0.049585473246071966]","[0.6556720248396029, 0.11176036304847511]",2.7755575615628914e-17,0.2994791666666667,0.16927083333333334,0.234375,1.693633174931914,1.6935040119801106,0.8997426241825791,0.39804092154846193,0.306366825068086,1.2977835457310414,0.7022164542689586,0.3511082271344793,2.220446049250313e-16,0.234375,2.091674096480376,0.1405724683389842,0.6722796870070208,-0.17234623229980453,0.6405059230462004,8.326672684688674e-17
s9161101_g2_n1_l0.5,9161101,2.0,1.0,constant_oracle_slope,OK,0.7441763129972969,0.5,0.02870981931235751,0.7762864705711968,0.3295900763031593,0.3514228992535755,0.87109375,2,0.0,0.0,,0.479325489999105,"[0.16175974235262539, 0.010413169241969411]","[0.6556720248396029, 0.11176036304847514]","[0.3550697973918354, 0.031087444901201577]","[-0.05446756994406797, 0.049585473246071966]","[0.6556720248396029, 0.11176036304847511]",2.7755575615628914e-17,0.16927083333333334,0.140625,0.15494791666666669,1.9429238543365044,1.9429238543365044,1.3408198473936814,0.0,0.057076145663495614,1.3408198473936817,0.6591801526063183,0.3295900763031592,2.220446049250313e-16,0.15494791666666669,1.942923854336505,0.00085036778313787,0.5849211189404017,0.016849197668346288,0.6026206843918857,1.491862189340054e-16
s9161101_g2_n1_l0.5,9161101,2.0,1.0,spatial_free,OK,0.10981435600115219,0.5,0.10441738497015768,0.7016114645506171,0.33449373950706796,0.376132110616944,0.8841145833333334,2,0.19338073257547694,0.22159689140403477,,0.479325489999105,"[0.16175974235262539, 0.010413169241969411]","[0.6556720248396029, 0.11176036304847514]","[0.3550697973918354, 0.031087444901201577]","[-0.05446756994406797, 0.049585473246071966]","[0.6556720248396029, 0.11176036304847511]",2.7755575615628914e-17,0.09375,0.15625,0.125,2.0297287097847043,2.029713529164314,1.5222965323385282,-0.07069421772784865,0.02972870978470432,1.4516023146106796,0.5483976853893204,0.2741988426946602,0.0,0.125,1.9590344920568559,0.0168433177363656,0.5149748294155351,-0.03955949996303891,0.49225864718886186,9.71445146547012e-17
s9161101_g2_n1_l0.5,9161101,2.0,1.0,spatial_oracle_slope,OK,0.0924872499963385,0.5,0.03664512310377486,0.6923214066172712,0.27371262417787173,0.2821782263737201,0.8880208333333334,2,0.0,0.0,,0.479325489999105,"[0.16175974235262539, 0.010413169241969411]","[0.6556720248396029, 0.11176036304847514]","[0.3550697973918354, 0.031087444901201577]","[-0.05446756994406797, 0.049585473246071966]","[0.6556720248396029, 0.11176036304847511]",2.7755575615628914e-17,0.10677083333333333,0.13802083333333334,0.12239583333333334,1.9601163505569141,1.9601163505569141,1.4802962022435027,0.0,0.03988364944308587,1.4802962022435033,0.5197037977564967,0.25985189887824833,6.661338147750939e-16,0.12239583333333334,1.9601163505569146,0.0016952566124840997,0.4702516590178803,0.007362014430152383,0.4793089300605171,3.3566899260151217e-16
s9161101_g2_n1_l1,9161101,2.0,1.0,constant_free,OK,1.034271580996574,1.0,0.4177544162515771,0.5584553124042368,0.4504593289653568,0.4577943136920455,0.9427083333333334,2,1.2201528868460598,1.3979147692109024,,0.8571032751955485,"[0.2892498059418501, 0.0023600581605018067]","[1.2154080937862788, 0.06300272890767733]","[0.6349378318651736, 0.006708627830802838]","[-0.05446756994406797, 0.049585473246071966]","[1.2154080937862792, 0.06300272890767764]",4.440892098500626e-16,0.3854166666666667,0.4453125,0.41536458333333337,0.9803894612815726,0.9800976761105984,0.16595134110234944,1.4101853691205144,1.0196105387184273,1.5761367102228634,0.4238632897771366,0.2119316448885683,4.440892098500626e-16,0.07161458333333333,2.3905748304020866,0.21941255351646857,0.39923327494484256,-0.3067734925087973,0.3118723359525138,5.551115123125783e-17
s9161101_g2_n1_l1,9161101,2.0,1.0,constant_oracle_slope,OK,0.7108461520037963,1.0,0.061014143386814434,0.7737022170597586,0.35715291754820244,0.36480393402710587,0.8658854166666666,2,0.0,0.0,,0.8571032751955485,"[0.2892498059418501, 0.0023600581605018067]","[1.2154080937862788, 0.06300272890767733]","[0.6349378318651736, 0.006708627830802838]","[-0.05446756994406797, 0.049585473246071966]","[1.2154080937862792, 0.06300272890767764]",4.440892098500626e-16,0.12760416666666666,0.19010416666666666,0.15885416666666666,1.8843761806220631,1.8843761806220631,1.2856941649035953,0.0,0.11562381937793687,1.2856941649035953,0.7143058350964047,0.35715291754820233,0.0,0.15885416666666666,1.8843761806220636,0.005967317869724285,0.5640710650933421,0.028576737720119372,0.5986151206831859,1.1102230246251565e-16
s9161101_g2_n1_l1,9161101,2.0,1.0,spatial_free,OK,0.10659437799768057,1.0,0.042956341179532086,0.22100615788891162,0.06566387279919866,0.08031285898536626,0.98828125,2,0.07895382199286641,0.0904743403336933,,0.8571032751955485,"[0.2892498059418501, 0.0023600581605018067]","[1.2154080937862788, 0.06300272890767733]","[0.6349378318651736, 0.006708627830802838]","[-0.05446756994406797, 0.049585473246071966]","[1.2154080937862792, 0.06300272890767764]",4.440892098500626e-16,0.015625,0.0078125,0.01171875,1.992443088928319,1.992440604872074,1.9457452040315615,-0.04910373571346788,0.007556911071681105,1.8966414683180934,0.10335853168190656,0.05167926584095328,2.220446049250313e-16,0.01171875,1.9433393532148509,0.0027727094050268675,0.046521439015057266,-0.0004504265952656077,0.04884372182481853,1.0191500421363742e-17
s9161101_g2_n1_l1,9161101,2.0,1.0,spatial_oracle_slope,OK,0.08886717400309863,1.0,0.028963811128409997,0.21642920934975343,0.05184214550726529,0.07511327983500311,0.98828125,2,0.0,0.0,,0.8571032751955485,"[0.2892498059418501, 0.0023600581605018067]","[1.2154080937862788, 0.06300272890767733]","[0.6349378318651736, 0.006708627830802838]","[-0.05446756994406797, 0.049585473246071966]","[1.2154080937862792, 0.06300272890767764]",4.440892098500626e-16,0.015625,0.0078125,0.01171875,1.9418272860011205,1.9418272860011205,1.8963157089854692,0.0,0.058172713998879466,1.896315708985469,0.10368429101453103,0.051842145507265514,2.220446049250313e-16,0.01171875,1.94182728600112,0.0010920627279559904,0.04418781103896654,0.001561728892836887,0.04684160265975942,8.673617379884035e-19
