phase,case,seed,gap,sigma,bias,retain,n,method,status,seconds,identifiable,geometry_scored,surface_accuracy_mean_mm,surface_accuracy_rms_mm,surface_accuracy_p95_mm,reference_sample_coverage_1mm,reference_sample_coverage_2mm,reference_sample_distance_mean_mm,output_point_count_ratio,matched_point_rms_mm,matched_normal_mae_mm,within_source_layer_rms_mm,reported_model_k,model_k_note,layer_balanced_source_surface_mae_mm,worst_layer_source_surface_mae_mm,independent_surface_mae_mm,support,source_group_gap_mm,source_group_gap_error_mm,source_group_gap_retention
development,s9140111_g4_n0.5_b0_r0.25,9140111,4,0.5,0,0.25,447,apss_1.0,OK,0.003929243999891696,True,True,0.3159802614777583,0.4050305560193738,0.794373287127763,0.9776286353467561,1.0,0.31495413470713185,1.0,0.4051655047177535,0.3159802614777583,0.4023761325149616,,self-report; not geometry-derived layer count or success,0.3032909935289393,0.3336230939199666,0.3159802614777583,0.9530201342281879,3.929629543906371,0.07037045609362913,0.9824073859765927
development,s9140111_g4_n0.5_b0_r0.25,9140111,4,0.5,0,0.25,447,apss_2.0,OK,0.005060063999962949,True,True,0.21751374629621756,0.3074911764252481,0.6104577055751972,0.9821029082774049,1.0,0.21772451974346108,1.0,0.3087470792829369,0.21751374629621756,0.30042223767439347,,self-report; not geometry-derived layer count or success,0.2192709605597324,0.22347136043027319,0.21751374629621756,0.9530201342281879,3.8979594048757584,0.10204059512424157,0.9744898512189396
development,s9140111_g4_n0.5_b0_r0.25,9140111,4,0.5,0,0.25,447,apss_4.0,OK,0.006156831999987844,True,True,0.21537261532613658,0.36856709352622763,0.8139776839267618,0.959731543624161,1.0,0.21550439682013098,1.0,0.37070025838155435,0.21537261532613658,0.34455835663993367,,self-report; not geometry-derived layer count or success,0.22546736052299404,0.24959758032510793,0.21537261532613658,0.9530201342281879,3.777116301185383,0.22288369881461678,0.9442790752963458
development,s9140111_g4_n0.5_b0_r0.25,9140111,4,0.5,0,0.25,447,apss_8.0,OK,0.008023553000157335,True,True,0.3203393866919672,0.5208407163579566,1.154936879787297,0.9060402684563759,0.9932885906040269,0.3216885118329354,1.0,0.5265675819550337,0.3214611839888266,0.4573379562964269,,self-report; not geometry-derived layer count or success,0.3263897028941035,0.33817070797784016,0.3203393866919672,0.9530201342281879,3.5594106855524634,0.4405893144475366,0.8898526713881159
development,s9140111_g4_n0.5_b0_r0.25,9140111,4,0.5,0,0.25,447,rimls_0.5,OK,0.0038525429999936023,True,True,0.37593624026016687,0.476403483436224,0.9502282630030905,0.9619686800894854,1.0,0.3729843808226167,1.0,0.47668027186378936,0.37593624026016687,0.47467351487605075,,self-report; not geometry-derived layer count or success,0.3679004334969385,0.38710901971706174,0.37593624026016687,0.9530201342281879,3.9390319522617343,0.060968047738265696,0.9847579880654336
development,s9140111_g4_n0.5_b0_r0.25,9140111,4,0.5,0,0.25,447,rimls_1.0,OK,0.004904026000076556,True,True,0.31713375221956147,0.40626896255555006,0.798462003511806,0.9798657718120806,1.0,0.3187181914312221,1.0,0.4075324945476121,0.3171337522195615,0.40370905336404633,,self-report; not geometry-derived layer count or success,0.30441562195541205,0.33481671408415425,0.31713375221956147,0.9530201342281879,3.9327931845594106,0.06720681544058937,0.9831982961398527
development,s9140111_g4_n0.5_b0_r0.25,9140111,4,0.5,0,0.25,447,rimls_2.0,OK,0.007783499999959531,True,True,0.21878217716686474,0.3042933685048724,0.5887377800115194,0.9821029082774049,1.0,0.221362107428451,1.0,0.3074470435567449,0.21878217716686474,0.2994170525852906,,self-report; not geometry-derived layer count or success,0.22167996440340954,0.22860676063194174,0.21878217716686474,0.9530201342281879,3.925744882139997,0.07425511786000305,0.9814362205349992
development,s9140111_g4_n0.5_b0_r0.25,9140111,4,0.5,0,0.25,447,rimls_4.0,OK,0.013044185999888214,True,True,0.2139969886601689,0.3444161945967916,0.7469368635832349,0.9686800894854586,1.0,0.21632203145287557,1.0,0.3506889004340493,0.2139969886601689,0.335376087387874,,self-report; not geometry-derived layer count or success,0.232238679379206,0.27584314863808085,0.2139969886601689,0.9530201342281879,3.906787730206995,0.09321226979300512,0.9766969325517487
development,s9140111_g4_n0.5_b0_r0.25,9140111,4,0.5,0,0.25,447,rimls_8.0,OK,0.029766210000161664,True,True,0.29597164040414503,0.4672067476718871,1.034076033677131,0.9261744966442953,0.9977628635346756,0.2976349053821302,1.0,0.4719108996553428,0.2960121353283075,0.4521830560865761,,self-report; not geometry-derived layer count or success,0.32656556212431154,0.39959968927839634,0.29597164040414503,0.9530201342281879,3.895352416023787,0.1046475839762131,0.9738381040059467
development,s9140111_g4_n0.5_b4_r1.0,9140111,4,0.5,4,1.0,768,identity,OK,0.0009634560001359205,True,True,3.0679996986408598,3.7968081247157666,8.16882443593181,0.12760416666666666,0.26953125,2.5224465848807047,1.0,4.0369293070175525,3.4605534033358567,4.0354872355961335,,self-report; not geometry-derived layer count or success,3.4354472998957273,3.5793389972242293,3.0679996986408598,0.0,4.2144329151729,0.21443291517289964,1.053608228793225
